year,1,2,3,4,5,6,7,8,9,10,11,12
2051,36.280941908641545,42.78596692221508,44.11125353577319,44.67875769042972,42.73947341971452,39.68844305419925,35.87344453216883,34.36384196783909,34.193387317233636,35.88570314797025,37.8557633073595,36.99017108384002
2052,37.34457963676866,41.53980492364796,43.81272368072183,44.33669060092504,43.69472605387372,40.38205419752335,36.05966122042751,33.98556408953926,35.651251841227236,38.26475970196471,37.944081666734505,38.82491717923075
2053,38.276140614171204,42.197697147187746,42.98082635859009,43.9458606075711,42.826356769209035,40.30889189995662,36.20972996250278,35.25299778435823,35.84053589206274,38.32446439587996,40.45498141818578,40.37939322686967
2054,39.59992790796426,42.55891839163645,44.750425021263894,43.51549117702911,43.78175277709964,38.54339311896433,34.31214795512541,33.90486464305592,34.2830966457791,36.74756866947298,37.73983284505209,36.23408762613934
2055,35.4925852917087,40.98526796431771,42.8640190288585,43.776486011081296,42.34428775582265,39.442621783786386,35.78740046347343,34.70726926249844,34.71937112257218,37.45150553549492,40.05540017191571,39.706345529863924
2056,38.82958826044556,43.57527582622712,43.88770145867463,44.6985938703749,42.93499212121453,39.90240784708661,37.59890068169052,34.761478245232716,36.115418363783114,37.732442847631326,39.66230432128908,40.26671100903586
2057,37.894572030344335,43.14181348709834,44.411787660660295,44.33427223036028,42.46296812816335,40.6944478217231,36.63449033019366,34.58181536438647,35.17847797478573,37.14144615419452,40.07135149807403,39.75775465278219
2058,39.439964504447055,42.87771880921866,44.966035125076154,45.19506083001033,43.37299002042383,40.10899914720325,36.829103859522036,33.329468270578715,35.32232737223309,37.294998221448694,39.16792463005916,37.12566171297466
2059,37.514932910550044,42.96169414338613,44.369378173171846,44.74737602912058,44.88114484503964,40.40136459350588,36.4899436944121,33.31958939583073,34.175765775892486,36.41826800930886,39.078741794162354,37.3683862698463
2060,35.87219575615342,41.52132866814026,42.88802430183658,43.46042308383519,43.14950406310382,40.067358407151985,35.608638194094446,34.86568889004289,35.49182296752932,36.37608728880526,39.53036383734811,38.29633227112475
2061,37.13505897111792,43.21193525223507,44.4210012325164,43.61407151963978,43.97943792691796,40.905013448079444,35.560892635878716,34.03247430780884,35.31006473795575,36.80266572193435,39.14645280965171,39.66204941124047
2062,39.29430682274605,42.65903651646207,43.8788683721071,43.99601570129396,42.99680262411797,40.35365531412763,36.84560976089973,34.202364826817686,35.06816079711916,38.448760851558575,40.33152753363718,38.36617874473656
2063,38.3591462445003,42.37738529750281,43.0571222727786,44.10589368353953,42.20205281575523,39.99852870008682,36.290191866967,35.51239424249794,37.64250302171499,38.92400830012498,41.36097079467776,41.648579954282724
2064,40.578772619267966,41.97439942859471,43.976942512758335,45.13987888590497,44.34784063523818,40.22833755154082,35.88366102813394,34.32534187070788,34.38415310329864,35.936559256276794,38.33806416490345,38.45855060372303
2065,36.77253912320704,40.96717740376793,43.92897832070631,44.41013927374948,43.73188516104096,40.46283306910199,36.22216117223927,34.00156369281074,35.03466035800511,38.036688647526596,39.313527213202605,38.73187127062071
2066,37.41089225687008,42.38222444080173,43.81091035576281,43.82459121025934,43.00071039343395,41.10181689792212,35.77905194190243,35.05841868738976,36.51751581917659,38.50118556095249,40.800637001885335,40.159138887466945
2067,38.491237121910196,44.3577738316854,45.17869956313924,44.93584761193173,43.67392027660085,40.66963063897029,37.102688580584804,34.19414343064833,36.01608027988012,37.10458182222102,39.08686751810712,37.406934852189934
2068,38.190244711599064,42.34817694527765,44.93476396129979,44.72774815029571,44.24719084216706,39.82966086832685,36.92012812296551,34.567386469605175,35.855992460462794,37.3692654091784,39.516535171508814,38.98305833878059
2069,40.00651454474339,42.8807942581177,44.58895051689561,44.21267632208932,44.702845178419565,41.51791118177628,37.51728491207658,35.69617430152485,36.67241412492542,38.33227642100346,41.67153980670507,40.616277733259324
2070,41.529610725189556,43.640745521000476,44.5805268959948,45.627523696899424,43.50995887838387,40.75362715657554,37.410323352920386,34.949120128377295,35.66203514777292,37.30266332061114,40.1505369788276,38.86897650441818
2071,38.837441327494986,42.52606487637477,44.846006443474906,45.12585967017282,44.21939481101089,41.31509887356231,35.629987699873745,34.366380946661856,35.42583553059898,37.5017122034873,39.16819447496205,37.68875035275697
