year,1,2,3,4,5,6,7,8,9,10,11,12
2051,35.76382156700219,40.44523053487145,41.74406946489889,42.56194338819718,41.499457622240975,37.87041691080731,33.7586198244977,32.764223381912096,33.26395033910118,36.36066450359388,37.48210812416926,36.30032019994594
2052,37.501222261818526,41.050775277274006,42.36114085819697,42.40020692274308,42.87831427625433,38.27764899190269,33.354116037020134,31.747898380730764,32.83542812432185,35.68356489119993,37.30285573520239,36.58098669564855
2053,35.19312095231909,40.61164755684991,42.44087593488798,42.777588760376005,42.16143876762802,38.30125403340659,33.932553093481594,32.91771488297987,33.27737192789716,34.70799183178976,37.23543160163034,36.80901068246495
2054,37.240794891029296,39.90258055369061,41.36300176476921,42.639817923651826,41.67903366745161,39.23372765716555,33.55347760436358,31.15499978506439,31.88421913146975,35.803084382087974,37.092572736952064,35.66740127399407
2055,35.70435071063301,40.154253894260975,41.473235933463826,42.81716444566517,41.91074737056612,38.22853652275935,32.58432978804396,31.640188764346565,32.87454910956491,36.0526759715747,36.71457554626467,36.62627360190117
2056,35.725976756106164,40.329715492611854,42.25567212340655,42.778279186672655,41.91579097296605,39.377000690036375,33.924192119311286,32.18633761334165,32.771259287516294,35.36195492488084,36.89127520412871,36.78025299892633
2057,35.35302527643021,40.481494691031344,41.963523767943045,42.70165365600588,41.13756407692203,38.065038040161156,34.34175951871156,31.99502997121506,32.14140690782337,35.98999098254791,36.99221349589032,35.88414664483842
2058,36.82717381138958,40.922887482452424,42.36304186055175,43.08350819736059,42.049300215526316,38.31113172705759,34.02306595012709,32.429475985291205,32.20337891811798,35.19282816076794,37.25853883334692,35.67198858445694
2059,35.82978402414632,40.26176654634024,38.488050964831295,43.22006064500599,41.68288295622797,37.2267487962511,32.544023652435655,30.943960802632017,33.207584199693486,35.52245430895079,36.044798431396515,35.241296575402714
2060,34.84724013625937,39.70881267547609,40.52666080269764,42.45173000420468,40.88637049028953,37.88935913425025,32.75221165974936,31.389770389679963,32.859900773790166,35.125855645620724,37.20224109056263,37.161234247351224
2061,33.999832666868826,40.52560226985389,40.81686794157954,42.31005860731339,42.517370643205574,37.64662217712405,32.63443797613987,32.84851781373386,33.1771666836209,35.145267742526165,37.126541829427104,36.78171791158699
2062,34.86273963846188,40.300468868073985,41.48302819200744,43.393720304701084,43.00141352827833,38.01270138380265,34.48613944999123,32.78619925679855,33.47435801676434,35.32187250280896,36.824528277927,36.50588849467618
2063,36.619208883962344,40.76843600863504,40.57579600836644,43.31036064951581,41.97816103863462,38.32796981641983,34.265789717807586,31.497101243542104,33.33793954467775,35.11085674819128,37.07277189636232,36.06826984528575
2064,36.30152791669294,40.43365813300725,41.30242538124005,42.17927653164336,42.153029002528065,37.5809238416884,33.19743439705144,32.09992009480797,32.615634780883816,35.92743412485432,37.25957163153757,36.53096981762304
2065,37.42497141684257,41.27893481118339,42.132823992558976,42.94515536917795,41.01263935540314,37.77877180989586,33.37937063893966,32.252638282874344,32.10177951558433,33.713091402771674,37.3134643571642,36.830486916162656
2066,35.260308829687,40.4389675213042,41.524993860388335,41.59710680135093,42.51097051476922,35.85961446465389,31.92269026069233,31.8237963932817,32.7600219421387,35.96394165531284,37.3814447614882,36.522323544409986
2067,36.26757323398387,39.9869625418527,41.38673622869678,42.369549214681015,41.37540223808702,37.22360997009279,33.45631437568257,32.937570339096254,32.87803562927248,35.48372843260409,37.10098239305287,37.208101122456235
2068,36.35839578115814,40.119023882548035,41.49424207625854,43.18863856167266,40.875639533586416,37.940814478556334,33.45812438964846,31.679052552253996,33.04070220438641,36.04971265567247,37.03698679606122,36.779433813607845
2069,37.732579536027814,40.806247031802236,41.012337300290376,41.95129830763077,41.858957250451546,37.41736912875708,34.223654817577106,31.985541953138156,32.71678329298233,35.96388723886143,37.205970030042884,36.20273704938993
2070,36.15304685531127,38.97363983154299,40.0488342859412,43.69536660936146,42.73623295655612,39.26705557225548,33.5610472172563,31.592048346406692,32.96477288479277,35.827203536495105,36.871410547892275,37.05178786247011
2071,37.090240017470514,39.869014129638686,41.672184814125,42.63562382676868,41.635933995154616,36.38596220228409,32.86237595260787,31.252739077332226,33.76458408610028,36.219395176385056,36.165891608344204,36.896624401461715
2072,36.86096663936494,40.77751271543959,40.945043413716,43.63813683403865,40.87369165071879,38.19395522732207,33.84124211301088,32.961900868175896,32.94810586717396,35.440580532935385,37.26300252361723,36.664881811654716
2073,35.53547140470117,40.38290781475251,42.14936088808123,41.796491595798095,41.83394004104781,39.40103028772992,35.22221777648928,32.2788299609769,32.11414905802412,35.15787136775193,37.07301167636449,36.62450264715382
2074,34.66903367565527,39.01790360042029,40.075413140737915,42.073357604980494,41.29799766130348,37.78524763488772,33.469108540524736,31.398117629840836,32.745182518853106,35.370552051503196,37.26338923475479,36.772675415367246
2075,36.672722519085,40.6046211896624,41.61218616767804,42.48473366631404,41.69943165932935,39.21222050815161,35.216222788706155,32.12118511076899,33.48105551018611,34.448156661166955,36.8876597747803,36.90704953265448
2076,35.524823235952745,39.95899304889501,41.24718909150813,42.62759534878203,41.82536834552725,37.80689199320477,33.30637971611436,32.36245643369615,33.06255987209746,35.40067454676477,37.21927871195478,36.14693590389787
2077,36.78346897084227,40.252257185436456,41.83999698433828,41.888208745320654,40.89062648814213,37.93231461758085,32.79886481172297,31.343868122716124,31.832438710530614,34.76761385025519,37.06274933030873,36.815112239058315
2078,34.63469249274143,40.23262225923086,41.18201096073276,42.85503995259605,41.4653578054777,38.864581553141306,33.253728747624244,32.261102731011526,34.02147865804039,36.29110356648766,37.042871420966286,36.57270743749476
2079,37.205361307451824,40.772986684526735,41.28387515160348,42.41481754218209,41.17793768277735,37.96369244478016,33.86588725100283,31.506518003402245,32.84586208936906,36.24880645259736,36.77669293212893,35.930478783064004
2080,37.54146562071772,40.54741123381118,41.70017367947488,41.240059126112214,41.22739811887027,38.960123067220074,33.64826372044063,32.15635778283563,32.28822187466093,34.80736453804921,37.072920313517265,36.05104903049267
