year,1,2,3,4,5,6,7,8,9,10,11,12
1991,16.365436998592934,18.270999772208103,21.688118583104963,24.27413848368328,25.107065277099636,25.477101971096484,24.86699758386101,23.865912574029757,23.35654633585614,24.064351151989378,19.410838070339654,16.820513981644844
1992,15.908831224339005,18.22046638670424,20.290601071593606,24.078652630276174,24.281072845459004,24.094447035047768,23.76727069649647,22.939451103620655,22.852839526706294,23.091171226911673,18.39075336541072,17.65197211644985
1993,16.34489230576384,17.54379638671877,21.159307684129303,23.052970884535075,24.40104407033615,24.25054368930395,23.543260919714513,22.981065324352652,22.64548273891875,23.732042324927562,18.97214835442439,16.62681340371411
1994,16.225548917708885,17.43415062132338,19.80643493652346,23.981424794514986,24.684138621668684,24.368782545301674,24.262889545399677,23.945747613394147,22.901083184136308,24.029906425886278,21.00192530822756,16.769143181257373
1995,15.77063316591327,16.919681447347024,20.684721133324427,23.95257182312014,24.81887192756901,24.190796959771074,24.1685174773842,23.6176999098255,23.13807966783314,24.181602284421228,19.742197436862547,16.652277311279974
1996,14.687577237365092,16.371287198747932,20.321843834333546,24.04643150007462,24.498617630825272,24.510211242675805,24.015783717657953,24.032585191624168,23.237729305691214,23.89789403443697,20.550874391343875,17.420848227880363
1997,15.747928977063928,17.904817079816567,20.27800152850409,23.746542744954453,24.60142492971115,24.69360114712188,24.3809542797458,23.78086236769156,23.539632258097352,23.937925333002585,21.487688851250564,16.174710557178802
1998,16.118571480371642,18.96185945756097,20.959392068514283,23.886889672173414,24.643357753958778,24.75630340576174,24.599717899445587,24.609437700497224,24.04110463460289,24.130168291317545,18.913627858479842,16.61811635007143
1999,16.598368261193738,19.843231431870255,21.643418626682752,24.223731674448672,24.971931157265963,25.530262949625673,24.4702264781665,24.708591935352636,24.130165805392817,24.64024489536083,20.440942092895522,16.8440310258763
2000,15.673022341164232,17.415976262773807,21.562329254150416,24.594496383667018,24.65513663179134,24.862648306952607,24.025586830057144,23.632325677359,23.517724585639122,24.355555587276356,20.953446770562085,16.490140144594278
2001,15.40842320103802,17.55896928151451,21.56348716161587,24.07349448310007,25.06171275969476,24.958910948011628,24.35734079340455,23.67205208234892,23.59117911105689,24.622476319343843,19.694481179131422,16.57073669269523
2002,15.308990862446471,18.795108126685758,21.375469791863583,25.024918463812956,24.87546270555067,25.135124323527034,24.556037258025167,24.042152422833205,23.99378357442222,24.052056573026942,19.61566623094349,16.64190356182798
2003,17.211681820449034,20.3433038221087,21.714730416574803,23.94019116550025,25.244178580007272,26.21395158894859,25.323786704771003,24.118959411292977,24.069414684719526,24.912487571470223,20.34302431742353,17.14689984393378
2004,17.13183685794956,19.399838549822874,20.903487563594716,23.621873416476795,24.463108879827704,25.73881376139325,24.37180493590654,23.9125902237431,23.071808156331404,23.826302093177738,20.454720592922662,16.516496486868935
2005,15.299054302912909,18.31935301099507,21.087028483729227,23.80716865370011,24.641775824434035,24.732699861314583,24.0859345237158,24.132121042231095,23.530438235812746,24.445987248574554,20.936398242526604,17.4561733664236
2006,16.124886126774637,17.951936723618303,20.941133260419313,23.552090877956836,24.43793586648923,24.284005320231145,24.283875396072244,23.87352507888632,23.719500615437845,24.054747296405118,19.045240739610485,16.479120087982526
2007,15.187696721887097,18.10359947204592,20.440488837457497,24.891726507331025,25.431176007998904,25.02985539754234,24.198483374811012,24.021899479691722,23.23170331149634,23.881904992544538,19.321276724921354,16.70043401902724
2008,16.309056184830226,19.037344300805977,20.88330696352069,23.942208143446212,25.015406722202123,25.183396258884027,24.647857726722652,24.356538346813597,23.904538952297667,24.049077611123376,20.114536497328036,17.227490188434583
2009,16.6181382636614,17.42422005244666,22.09376958703485,24.075545476277693,24.514703488913945,25.40956268649633,24.568125872868396,24.264199016940232,23.772278667873834,24.528945676742087,20.290556193033872,16.18155969763317
2010,15.921620261899912,20.11480473031546,21.045368544055595,24.58333857896595,25.061884380053474,25.463361351860915,24.802740025674176,24.522999024750106,24.154825195312522,24.620563553020535,19.946890233357774,17.211379775180628
2011,16.244363866006193,18.48897377740771,20.82885764337358,24.86204031880699,24.85754549252092,25.093978927612337,25.760381023448026,24.518027455319665,23.829750400119384,24.945220033379034,19.103357798258482,17.18905972880704
2012,16.81952075753163,17.79928651173912,21.603930119340163,24.05957520378963,25.231834324662422,25.659461669921892,24.96332511491675,24.84054816133235,24.333817652384464,24.843296246272285,19.490100338406055,17.11633506735527
2013,17.579409678469446,18.306294246855263,21.018255167315107,24.092145850287572,25.10130064605387,25.887486543443483,24.477626249251852,24.051398138230866,23.92507691446942,24.579041805472446,20.369175949096697,17.31616506268903
2014,16.298549109018,19.020071421269027,20.36634153468637,24.09606318325469,24.969475286340227,25.064663636949355,24.59889016100158,24.465540571315334,23.478211732652476,24.625418153840773,20.175953909979953,17.485342704198715
2015,16.13869779033048,18.77807771228611,21.52718160441411,23.6960817548964,24.305696368473857,26.26393959554039,25.359261359758296,25.0203680518366,24.454164815266953,25.821998464933028,22.106644683837906,17.017315449048137
2016,17.131800647038308,19.16240144638791,21.83961465322845,24.879697565714544,25.11711854668076,26.34144871520999,25.486191422657317,25.082191360637722,24.481928227742536,24.732391052246122,19.9515429263645,16.90947894352741
2017,15.727086908484045,17.717341047014532,20.85843792330836,24.54456980387372,25.143240702639364,25.351914586385114,24.811810222338625,23.796002228439516,23.727312227037235,24.644012459375546,18.23092142401804,17.681174810134742
2018,16.16014640890144,17.90062302544006,21.119932065574094,24.229853026038295,24.755349235944877,25.02023265075686,24.619261687904302,23.738954031339276,23.380350192599856,24.480142740229144,20.61626853222319,17.64267955656977
2019,16.842757386238368,17.491809903099448,20.940511765018613,24.463919815063505,24.777216760778966,25.679424769083692,25.09101821243124,24.324478756484186,23.806948111640107,24.828230869744438,21.26037204149037,16.61919469197593
