year,1,2,3,4,5,6,7,8,9,10,11,12
1991,15.548388337166099,17.434958439781575,20.523217396069622,24.286444381713885,25.20340792124761,26.58051284790042,24.682412383376935,23.518627115885433,23.019151185777478,24.59861825922486,19.22280843607587,16.48374995570031
1992,14.913535776445963,17.56445582980204,21.199228049657698,23.540861606174072,24.30379017491496,24.03493525356719,23.68918382378037,23.538099936208443,23.546781319512288,24.59343326691661,20.142799880981467,14.362330007245482
1993,14.506858023366645,17.346815105619914,20.761077400125505,22.7911066775852,24.664080608737102,24.373904349433072,23.625920835105354,23.167298355922927,22.584102145724845,23.695105731923114,16.272449717203802,16.09607254684615
1994,15.37282120079125,18.198752884637766,21.457395186885737,23.996181181165927,24.647981153918877,23.85937261115182,23.356872110674477,22.681332238310144,22.942239712185355,23.55282139439739,17.33141306898331,16.15395667783678
1995,15.098222341229867,18.590761607942152,20.435345158730804,22.680731229994056,24.21822813300677,23.872651521470836,24.017118635280177,23.45943602695262,23.062591993543858,24.06011455248763,17.515120759752087,16.62560693556265
1996,18.775599437377295,19.259352687654065,20.394816087292106,24.47828310648603,25.02743601152976,25.519765511406817,24.75709714992074,24.059051219981225,23.483138653225392,24.784955952962253,19.883074527316648,15.856857012676961
1997,16.804448430871474,19.162833353678412,20.572592545376054,23.63630733744306,24.909793051442815,24.933652838812957,24.479219335740638,24.42278979229673,23.35748268296986,24.283620721960606,17.65487656995987,15.902276109264765
1998,16.755332065705353,19.39948498135524,20.534872510356312,24.627939807468014,24.534589774839358,25.951879989624043,23.88229521720642,24.22961027083861,24.25799747043188,25.00516382525046,19.772469585842586,15.587487389349192
1999,15.044560747044084,17.412536797296458,20.589254120857515,24.57677982076012,24.757167172995974,25.32392167833119,24.226154411069828,23.535102078017395,23.50241421847875,24.43388490574336,18.67181995137535,17.197167975312944
2000,16.638383782499606,19.05702638353623,20.884155453917824,23.971221545749266,24.96153761504801,25.641819403754365,24.685361310076992,23.711248482324766,23.4558222232395,24.650891959897955,20.527638387044295,17.870808664957703
2001,17.42123954854988,19.21714943960283,20.734980157011325,24.116876091851154,25.66523846041774,25.678921190049934,24.827561935917053,24.174529174476564,23.524640769110807,24.58054123909245,19.2706411878798,15.12652259088334
2002,15.804221257035472,16.586648870195685,19.74929278958231,23.407220569186773,24.798450637325196,24.38325994364423,24.171300665742628,24.097033409200705,23.58221469794382,24.753552643150435,19.35405648973255,15.478006163566368
2003,14.462700421733267,17.81637912750246,20.964631199990574,23.268371317545597,24.00946027366066,24.577956514146617,24.05357427125338,23.534691293367803,23.025294821845183,24.804118099417767,19.96453799268937,17.666460169310234
2004,15.457046941941808,18.07425770169215,21.67250157674156,24.230290539211726,24.76559101720012,24.806857525295698,24.840099910613052,24.334353534329345,23.889302139282243,24.473435992169147,19.200811860826303,16.40156541393652
2005,15.763338143953733,16.960953928629582,20.083992678734585,23.257952282375786,24.116824751002838,25.007339847140866,24.627625520767722,24.126959860196703,23.489761962890647,24.568001046129474,19.172840974595836,16.532387442640104
2006,16.91787278862412,20.150560791378954,20.81967764577561,24.829372609456403,25.30857823689781,25.64095556979711,25.300286533806933,24.43517733338062,24.129272238837373,25.022941968364115,19.939001386854404,16.296044559273692
2007,14.602755361577545,18.12080461411252,20.318406951248026,24.083679058498827,25.109855571459725,25.77228542751739,25.770338113436157,24.318411463255543,23.657772772894983,25.315080359674294,18.67885414971248,16.852197214762395
