year,1,2,3,4,5,6,7,8,9,10,11,12
1991,15.333881704679122,18.15867996579127,22.018399973223303,24.979694591946096,25.11921435120288,25.863804404364714,24.356014866982758,23.837274314306146,23.54389605034725,24.236961323727865,19.321786514282245,16.341680918047523
1992,15.649126445811303,17.20380217415948,19.90140988749845,23.92232468668623,24.068964418800952,24.4797894643148,23.730635674589454,23.201753766459824,22.7004674648709,23.11359579270888,16.720715918646942,17.949558328608052
1993,16.04118541922623,17.286364548092823,20.866828424597326,23.592549340142167,24.37585761285599,24.193330020480712,23.65625559324862,22.756980178997104,22.875059134589325,23.308225586593814,18.11864335632327,16.375347465597194
1994,16.771041709325672,18.455931178501697,20.970567361154885,23.93911114671498,25.17994429721629,24.796408933851474,24.19405775008665,23.49336137997209,23.207977238973005,23.615235479211314,17.942980602688287,16.252900208503988
1995,14.46932214388286,17.152275557745092,20.851451288038707,23.367070861816433,24.518663323515224,24.2977710147434,24.421782092022667,23.360752962173976,23.233206843058294,24.348665166055024,20.897209489610486,16.612502797444687
1996,14.049602090158793,16.552995694478376,20.54755369617096,23.78812502712676,24.39490809286797,25.47358507113989,24.16066414781799,23.771883659772996,23.416534235636416,24.36975033831855,20.97711607021758,17.53761761737129
1997,14.424854017688409,17.683346532185897,20.33740228468374,24.132400568644226,24.749630379625575,24.98948688083227,24.43983331495718,23.496544816212012,23.08685759311254,24.052798658801684,19.473879145304384,16.00908407231815
1998,15.767925677555885,18.373295994713214,21.273307114467844,23.100531555175802,24.073459216702393,24.313110682169622,24.42366842454481,23.706797413159467,23.238601265801343,24.19290504373532,19.77706891038685,16.28685829244636
1999,16.097343142929923,19.353279453459262,22.043958505610004,23.891331012301997,24.716680035334782,25.569990249633815,24.32394155522831,24.777613942136067,23.952576356675912,24.643540803642704,19.827331442938934,17.00883314563384
2000,15.391588420252667,17.216749118623305,21.585932569606353,24.59243112521704,24.7795811544439,25.753150939941424,24.170847525647915,23.689133958714002,23.26353395419652,24.72009975310297,20.734536136203364,15.191305684735722
2001,15.419661514118177,17.239644909813315,20.78463781377323,24.086706037733318,25.050795273319387,25.115868940565345,24.165969512283183,23.65056627663235,23.809781616210966,24.491230823147706,19.016067840576195,15.622857925250987
2002,14.54812715591925,18.55746925898963,20.301887947000505,24.356381120469855,24.57063607984976,25.433200264824784,24.47168033394765,23.20759040914559,23.831224982367647,24.077808686943488,19.387129869249158,16.149701666062903
2003,16.72091968659434,21.66942850022091,21.671059197866807,23.615464574178077,25.14127163302516,25.80232074483238,24.986106378698885,24.322732174781088,23.83271732415096,24.821313284597117,20.715908642239068,16.252898851620277
2004,16.512814304803033,20.033131333832532,21.000153096516947,23.491768422444686,24.24013480894029,25.42646481492786,24.47302164057252,24.12936742803104,23.20510802205406,24.459172487976748,18.386381132337807,15.588269858411582
2005,14.851717721262311,18.51975379035589,21.29568134759064,24.049826804267063,24.443547000679942,25.036165152655727,24.54642872307892,24.01692401352751,23.672487508138044,24.274791637133557,21.47394671461319,16.356933367329283
2006,14.859265779884936,16.762968210492843,21.15786812238798,23.990109124077716,25.61480183427054,25.337845377604193,24.393242709252167,24.525613519812165,23.39032759094241,24.442937300487255,19.94632159932457,15.666437376288977
2007,14.868986939461024,17.968994623820013,20.305336753270982,23.3619754231771,24.708667830600557,24.39313562859432,23.909093870757747,23.769099931614388,23.458014244927323,24.145542504095285,19.57992498948841,16.47782417543475
2008,15.161290194603726,16.74701436723984,21.028292931997672,23.65502943081329,24.327682565668603,24.35464595370825,24.45253289827739,24.281790602489203,24.278227849324562,24.821066282538975,18.90285527377661,18.143084716796896
2009,16.328006260369435,20.073175119672523,20.826565386044106,24.99086151631675,25.33624311221546,25.987864730834985,24.624092774750114,24.70840093469109,23.841612506442626,25.274798533121764,21.692241163465734,15.282266256681073
2010,15.363535231723606,17.225118219284806,20.216623331705748,23.138554424709767,24.78750603788645,24.88101520623103,24.304353060158377,24.062702265913792,23.647965352376325,24.09152404949231,20.125069310506206,16.610069160051264
2011,15.338661677863035,16.698484052022323,20.902561195947815,24.87713053724503,25.473248338596818,26.103762168036592,24.57854256086454,24.05188089514294,23.901406366984073,24.668390716224607,18.881116039699997,17.204557301511066
2012,16.767597871185654,18.05263184320361,21.153887478408016,23.430658657497855,25.40152674193025,25.86854610358347,24.81408905029299,23.95308287589783,24.005373535156274,24.385940491050828,20.993051751030844,17.271039300734017
2013,17.830476095548264,18.405946666172593,22.38931598622314,24.0011178877089,25.227589665894886,25.471639487372524,24.94973476615005,24.933320094282927,24.044770419650636,24.616159233175317,20.851613033718557,16.470226762012793
2014,16.42149606520132,20.163270899454776,22.344272300145978,23.6031868845622,24.465212016772217,24.925311594645205,25.210805060273877,24.75881493189004,24.249746293809704,25.425006497290852,19.259416607326955,17.90112846128405
2015,17.426630864297213,20.04364747728622,22.024774448846,24.685447370741123,25.87994606756397,27.056678385416692,25.67030545798684,25.487397191857802,24.87984168667266,25.297442817277826,20.36981138102216,18.158714199271277
2016,17.770379008631576,19.292169659932476,22.115990065707983,26.316043092515752,25.887178700765,25.659084564209003,25.296808696459717,25.32641851937901,23.971192208184153,24.905166593161987,20.625266932169623,16.659642161707747
2017,15.998470560709661,18.185082090468658,21.142770449730683,24.902873135036916,24.880776688770602,25.219071624755877,25.45173205303891,24.877375014110303,23.98453352355959,25.30257686984157,19.623855863783113,16.514716586861578
2018,15.937064222110239,18.445722414652526,21.386880906628043,24.46620856560604,25.119712237286333,25.965423178778774,25.182964257681263,24.624441180485572,23.960880067613417,24.54815565868093,21.458213773939363,16.756578231319327
2019,14.702097783242525,16.99132426852274,21.086128195485788,24.008288196139883,24.68496499174387,24.94981912740074,24.22777151456445,23.485957561205822,23.164260053846593,24.612967124036587,20.10133426751033,17.888608109669043
2020,18.34295489567585,18.482405192057318,21.45312588927569,24.627574723985482,25.508521945092006,27.09794186231828,25.127432086903585,24.62538064772085,23.93394099765356,24.77902965586675,18.737944159613736,17.145652122907766
