year,1,2,3,4,5,6,7,8,9,10,11,12
1991,15.395209119243033,19.34813009171261,20.569940746676558,23.630400039672868,24.443406444262457,24.469951378716384,24.385577020132438,23.449557337607125,22.935180369059264,23.576743405249836,18.241681267632398,15.485216899584719
1992,14.279281865601924,16.499573518662253,20.196216094314433,23.626199133978968,24.321971251785136,24.220137776692727,23.887221131683695,23.225418898059498,22.89395132615833,22.935201078025262,17.912218136257614,15.832117521224507
1993,14.866739172166419,17.70389455522812,20.75092641850956,21.81962011718753,24.002432899064946,24.186602478027364,24.33106992660033,23.21336261872324,22.60814898342559,23.61190435265984,18.556227069430903,16.725713794667257
1994,14.834175733340706,18.248306901114354,20.65867320891352,23.73001876831057,24.23522486368817,24.90395220438642,24.231564559116187,24.018706130161103,23.164882678561767,24.283615965484312,18.96552843051489,15.86608113278627
1995,16.07159335228707,17.542021702357726,20.079099954584617,23.262645421346047,24.24142839165146,24.547693272908546,23.847310321766862,23.424878717237924,23.17044448513457,23.660551027687674,19.065053302341052,16.409541068128384
1996,15.338549501152473,16.87713020869666,19.95753094252722,23.227899203830315,24.18364830427275,23.871393783569356,23.780696084627564,22.960500793457058,22.85988818868004,23.80927327802107,19.771740398830865,17.2016427070864
1997,15.964151599843039,17.027735339573475,19.491831080939193,23.002543896145315,24.53055752990069,24.40389272223581,23.56331405475578,24.075848167173348,23.424502721150738,24.629652319467223,19.39273771328398,15.652395413306474
1998,15.927142827844131,17.883384021577406,20.20105381627239,22.94414326985679,23.59349024618828,25.509668992784313,24.884251887823968,23.56475993822982,23.69484876844621,24.346390349685525,19.630412924872527,15.919314146964801
1999,15.706523074898687,17.96816795530776,20.736773204188218,24.42369459328548,24.767635581724125,25.770756232367646,24.310926503827517,23.949362387708465,23.530032562255876,24.37779400733212,19.735179887559703,16.173499522875737
2000,14.786286599764287,17.182939603896394,20.493049551030662,23.42781054178876,24.615908347509265,25.566954581366666,24.30879781907607,24.05998955019061,23.20086699930829,23.6054789356519,21.212173173692516,18.05992227451778
2001,17.80162738759033,18.621742595490982,21.770673007760017,24.194569017198372,24.917146606445343,25.436711507161483,24.51220974501745,23.574796014601212,23.937234022352456,24.953757317655853,20.211205644395644,16.16362201485585
2002,16.360099159158707,19.44731890723821,21.072744829731626,23.959878650241446,24.69143989480954,24.729587644788975,24.349292871618818,23.062420695315144,23.11035740492081,24.18797351139851,19.125337741427977,16.323827888734897
2003,15.267698940154071,18.398376230512365,21.087433776855494,23.109405929565458,24.08158234298873,24.644185665554495,25.059483078167023,23.429215302826275,23.481734337700757,23.99713171846125,19.986670111762173,16.37639768703012
2004,16.49859545799996,18.197470568702357,21.017755679879162,25.18797701348201,25.112579521261253,25.529283579508483,25.039115357757915,24.072250758345426,23.618661188761415,24.83556818808281,18.326164855957057,16.297645052017728
2005,14.978078577185215,18.45340506417413,21.60314404395321,24.17116127522788,25.424088512133544,25.64531564331057,24.30651030017486,23.97134370209071,23.47448656887481,23.44444210257583,19.45828707207576,15.759234945645915
2006,15.172349541776947,16.942326692853676,20.493036305417323,23.05239992607967,23.996850311935614,23.764625210232236,24.411535359044258,23.88497252925752,23.839353856404653,25.18584437708703,19.99339508226185,18.204482139669466
2007,18.232258770030054,19.877209352057346,22.15381618704849,23.853771984524222,24.838122607815677,25.254290562947613,25.044327018491703,24.948589822092387,24.081497180514887,25.125668430123298,21.585096366034634,17.118520306002733
2008,18.14298845680813,19.326593953087237,21.628001766409955,23.692359573364282,25.135484379594065,25.011263281928187,24.778663661505604,24.282212151968377,23.547680153740803,24.53049408943424,19.7415244852702,17.254984157111075
2009,15.79866068193992,18.121442989167736,20.744811813190445,23.62886896430124,24.393228055892475,24.69815628221302,24.20430410733789,23.949462490286905,23.160740739610482,23.603275532055953,19.682938878377296,15.777255419659387
2010,14.297055636170112,17.159898216610884,20.433470657512732,23.979630545722138,25.355671586887834,25.756570278591603,24.165035999257103,23.768901194910875,23.60366702609595,23.953774528913627,18.527364588419623,16.469381146174626
2011,16.608911503617502,18.94885955810549,21.468180384482128,23.639505747477234,24.225173772996495,26.284666958279104,25.380537227507585,24.817571717949352,23.963267454359286,24.579403563468716,19.489076222737655,16.97867331884243
2012,15.869128718222361,19.86158507744928,21.456208407494355,24.29143135240345,24.69691076791417,25.859542656792552,25.024909815634473,24.314411268336823,23.523717795477992,24.298888377528062,19.155005588107667,17.48591962752806
2013,16.249723912721063,18.008632721673898,20.932639977239813,24.320126296997095,24.7928494508805,26.82412798563642,25.113367588494434,24.700868938815237,24.425796829223653,25.39641827326951,21.933343405829557,17.91554688648513
2014,16.53000671714867,20.750191398802283,21.893029081283096,24.896398539225284,24.96372337423348,26.902751239352774,25.854121439944056,24.777231215610314,24.087376229180254,24.742746938069683,21.785162758721274,16.832435248590308
2015,18.107319042509367,18.82669815063479,21.017224631360808,24.646807718912783,24.70063544160579,26.11164477199981,24.988206560688656,23.755429029567292,23.578028501722574,24.530021670761954,19.285900199042448,16.224076047507687
2016,15.522214411253595,18.35450877416704,19.55750582295082,24.202100579155843,24.414356553272555,25.3781232147217,24.686521296347365,24.560318349202497,23.81754276021324,25.29605753580731,22.098078592936222,16.940873119395288
2017,16.023054460094844,18.22686134338381,20.37936828285137,22.908810874091277,24.84652230972784,25.962415042453365,25.951207895586588,24.381755458052467,23.955553527832055,24.983391840124668,20.011658988104944,18.407403462727885
2018,15.58827972248039,16.93323549179806,21.231851770544584,23.71577587212459,23.995396155900877,25.355322438557966,25.149812221732212,23.90153848791637,23.481272028605165,24.43780967794441,20.092900817871115,16.271736798030094
2019,14.452568918863955,17.819155769348164,20.447117455595304,24.9295127902561,24.69622136762067,25.38531510416669,24.751787253759257,24.83849190496631,23.217555433485266,25.37781474123721,20.638112252129474,16.702429625808573
2020,16.779806553092076,18.54811031159903,21.066190702639368,24.156442165798634,24.57600265502932,26.640167122734947,25.603048835672375,24.922219591038225,24.00986623128258,24.464995953959825,21.176485360039628,18.44010026501073
