year,1,2,3,4,5,6,7,8,9,10,11,12
1991,16.66319953347485,17.675328705197316,20.119973827074954,24.134808225843663,24.66263171288277,24.189820736355276,23.640054021035493,22.871229162728937,22.6759502902561,23.997115253735632,18.41402311197919,16.607233612716858
1992,16.062298221383067,19.092105720156734,20.563593748359292,24.300726570977126,24.43641338061263,24.01142959764271,23.370320121190904,22.965644944713986,22.516939108954553,24.209764866982756,19.63898590087893,16.133342646116876
1993,14.708826195501533,18.609384231567407,21.13892533004927,24.555117138332815,24.798239363803685,24.648013637966603,23.667076309368195,22.916767857049123,22.726111868964324,24.37127749863494,18.945416973537892,15.922523303288312
1994,16.217990906418034,18.953552474975613,20.735217913555864,24.281667485555033,24.42350002493913,23.510166615804057,23.514983904438655,22.943909624981657,22.879300555759027,24.23184731760335,17.882276351928734,15.718205243182458
1995,15.586615685903919,17.654042133149666,20.528356482393022,24.191984673394124,24.671350529168265,23.820234164767818,23.66736299412227,23.491237586236792,23.112043665568056,24.36372559414117,19.24596725633411,16.658004176642326
1996,15.608175012732092,17.02965396517801,21.881064398980936,24.548565511067736,24.038320105768044,24.915337509155293,24.354415086315548,23.74599207560224,23.757414369371222,24.70427321403259,20.688062789917016,17.86811031546646
1997,15.249997786655243,18.5673870722453,20.821239115397155,24.115079627143043,24.7169711845152,25.409919016520202,24.194577379124162,24.562015863234024,23.9596428748237,24.599940873012766,19.04737451171877,17.02149897585635
1998,16.03841530092303,17.69220380510605,20.79532088413036,24.211787462022592,24.44904525100546,24.440815451727996,23.90989518852647,23.331603537938953,23.130559861924937,24.457860497915632,17.995277976142056,16.359954320435904
1999,16.104485660676055,18.397763628278483,19.979028568062752,23.741726506551128,24.530323113882442,24.708712517632403,24.008254115607176,23.40492740097869,23.225989003499368,24.392141789262027,17.857361273871554,15.806171873359292
2000,15.049117393903854,17.096491383143853,21.20291881274154,24.267797653198265,24.72537818170365,24.16518695916072,23.92078330419399,23.27797840733684,23.09494454616973,24.782919007988408,21.788827370537668,17.467237493043324
2001,15.615744210520123,20.232678085744972,20.713538424584193,23.656392556084555,24.942122719057167,25.4620580190023,24.32712020709952,23.711132251370362,23.426220870971704,24.096020302721275,18.394070300632077,17.005347618185084
2002,15.425541718185613,18.291164238339405,21.038125951623428,23.897489337497305,24.39796613795785,24.346392016940662,23.660773568102133,23.043046056275745,23.103906938340952,24.494765990882815,21.250105592515755,17.503342283515543
2003,16.960645758516073,18.98762931460428,22.15820853284612,23.22475004747181,25.496778339673142,25.49302318149145,24.422658719298678,23.970339531026887,23.479416142781595,24.981595419606883,21.866981572469104,16.604148341353245
2004,15.500055420578189,17.697170241219684,21.534435795609696,24.089362453884572,24.52102632255967,24.79421346706816,24.45040324549524,24.16924185968217,23.577932574802,24.294607593167235,20.045335140652153,17.21187611241497
2005,16.64391315747335,20.48783150351391,21.937407930435697,24.75753156873917,24.18339017806517,24.763092383490694,23.9599794777491,24.2006226258637,24.02776678297257,25.913907519925047,22.25113597615562,17.87038949804821
2006,18.031663813437216,20.95785290309363,21.976705328828572,25.20658472357858,24.843503783851563,26.584062337239608,24.819497987480595,24.413419622605876,23.873978535970075,24.172212268460203,17.747388553195552,17.347128103933052
2007,16.12365853586507,18.65538550785612,20.655146317020566,24.613341008504257,25.370138928813347,25.042673887464762,24.385661297869962,23.880942267961423,23.5099606289334,24.297309695008003,18.562067765977666,17.161487116659863
2008,15.674671010663458,17.95669710795087,21.19699838289652,24.193792163425048,25.235561503748766,25.027852851019986,24.387194315592474,24.37219526065296,23.526903701782253,24.86747712494227,22.011167071974032,17.650517407489104
2009,15.547463470787156,18.660620665777323,20.60021972820325,24.51121421135798,24.70163213586296,25.454593092176673,24.41070576821606,24.563370638611524,24.11206909518774,25.62783138316167,21.800864135742202,16.73280782227878
2010,15.244875909948883,18.734555404299808,21.617339423394995,24.58517592875165,24.962156801941596,26.005512049357115,25.44043275566514,24.679120926395555,24.088784544203044,24.854480836929834,21.72989918348527,16.466308242633797
2011,16.405788119736563,16.703820920671756,20.857274407827752,24.31680898030601,24.84438000258581,25.45333382500545,24.454091683664647,24.290982695548788,23.77534029812286,24.625218261390625,20.83309151543513,16.894271287815567
2012,15.464425765827162,17.94065395355227,22.495763624621993,23.804487979465087,25.34451859997167,24.927608856201193,24.565169292162846,24.112744198050574,23.745140151977566,24.839058419504493,19.935384941948808,16.40072441347186
2013,16.401281618507983,17.812835408165363,20.619218933761786,24.256135411580427,24.745050362207582,25.38250534566246,24.532036931848037,24.29337597590623,23.784185390896294,24.74648423225651,20.179600487603103,15.555887936827977
2014,16.660939160418792,17.55843790326802,21.00653026621831,24.346299441867433,25.024661683113365,25.418359629313173,24.772129843106857,24.460051003733017,24.035335671318922,25.337271677653014,20.858031665378167,18.23967053813322
2015,18.172492767022266,18.72390626271568,21.777961762130918,24.282807215372745,24.81079107961349,25.610995812310133,24.59107692595454,24.110040107645037,23.951454949273025,24.534414930446196,18.94309945170087,16.4658805617466
2016,16.00342704854988,18.28737563487464,20.622914162912693,23.545085761176242,25.039057692661103,26.541986143324138,25.163938649495464,24.53785076346451,24.089111216227238,25.117194387784597,21.237395991007507,17.83573823821368
2017,16.899580726213372,18.527301252455963,21.61321124825429,24.089474489000125,24.753122903147066,25.595468478732663,24.806817856655353,24.347879315448083,23.78302549235028,24.645381605907183,18.804026062011737,17.58992549116896
2018,16.764704041839952,18.08408728100007,21.64292064871843,24.35049038865834,25.4212594309161,25.403418692694796,24.67363700456519,24.048530622913017,23.699170120239287,24.726553974766908,21.538433575100388,17.702440925516132
2019,17.024177684168684,18.661218922932964,20.432962487333587,23.971820368448913,24.899392544325984,24.906979366726365,24.591855091382126,24.49508399881345,23.63613922119143,24.946515358545472,21.14899660746259,17.66844400877596
2020,17.201094227452455,18.82393762860982,21.551448382305868,24.754140684339756,24.838699741158464,25.933041907416467,24.948207530360087,24.479209100866857,24.33140254889596,25.28958504789621,20.530444052802217,16.723417981875865
