year,1,2,3,4,5,6,7,8,9,10,11,12
1991,16.70078869563279,17.797657679603237,20.937920753725145,23.947720655653242,25.0372127656014,25.409567469278993,24.11570709228518,23.76914651522075,22.68249122789173,23.44810538343207,18.321281321207703,16.61361707625853
1992,15.172480424450315,18.581160503569127,21.477065521568406,24.418192443847676,24.378798143940614,24.63414883253312,24.435727197790676,23.40086171468101,23.755606747097453,24.596891655050314,21.31293938022192,17.591654628630632
1993,16.537028695383405,18.721313431149458,20.67456973988525,23.984935331556546,25.161522119993826,24.54176741027834,23.629512524348463,23.11852528233684,23.00773878139922,24.13992608019103,19.4361062978109,16.690668879683322
1994,15.862189191592662,18.514896908714682,21.654195604221822,24.62674254523385,25.16572749148135,24.76123003472225,24.265247984855424,23.46015828942742,23.187529444376644,24.76713943809593,18.381588400946743,17.055612879927462
1995,15.21614866687408,20.393641925993442,22.397335444624726,23.871708799574133,25.11064080515218,25.3616186303033,24.351707765312632,24.345675122660996,23.246082134670704,24.016278238604166,20.141282306247312,17.72158345376294
1996,16.627809704196096,17.195687455676875,20.557259572347025,23.433214204576306,24.820444196475467,24.42963085428876,23.73835129932693,23.623689501362485,23.2899666815864,24.879888637091547,18.573472376505556,17.19156771259926
1997,16.362032173731016,18.713687021164684,20.650156250000023,24.22950554402672,24.753231334071028,24.82532775878908,24.21520295666112,23.567930731004303,23.97757079060875,24.446582018124186,17.616820561726907,16.078292047644194
1998,17.205863002654073,16.85221163250153,21.73119363436137,23.50277126227487,25.135146043018647,24.515976008097354,24.08394814768148,24.009094824021883,23.69168196784128,24.74254114130494,21.527343276977565,16.975255307433446
1999,15.638657941920808,19.17230033692862,20.8593094446326,24.644499764336505,24.67330307006839,24.93354134623212,23.680912767635892,23.570668000252034,23.653986202663873,24.928974551949473,18.761640823364278,16.1966446808846
2000,15.300896001015964,18.977098481314545,22.57515730498941,23.830856689453142,25.3950567495695,25.404045484754803,24.454188839491998,24.070775786369094,23.41176101854115,24.308578791464548,19.34168481614857,16.953537290839762
2001,16.5747990433888,18.93914428347635,22.522007810531154,25.509802964952275,24.8907943446662,24.71633634948733,24.964042337068964,24.213889736052504,24.078350747002517,24.53919755833126,18.11647015041778,16.835346814227382
2002,16.65278718681748,18.307736838204544,21.48390695059174,23.569076344807968,25.700897202030326,25.55439757792157,24.965806902813675,23.584843577723376,23.87037073771161,24.64980960476785,21.000787345038546,17.074250739312966
2003,15.620678461546563,17.73267932165239,21.057036014679966,23.783712265014675,24.86865974508309,25.85157850816518,24.00378949237129,23.70464533487958,23.411431757609073,24.564298256494684,21.98160346815324,16.99781516126409
2004,16.792349774760606,18.86527564457487,21.448914105815298,24.288194383409316,25.37527544575355,24.992851481119818,24.583779267341882,23.59839497227825,23.618491751776823,24.854297972648393,20.0927478993734,16.878021752142157
2005,16.22346470986646,18.25640300569082,21.315982572494036,24.005946768866675,24.675782283659938,24.841769061618404,24.612818206458986,24.451494772306074,23.629279332478863,24.387895007389872,19.675754753960526,17.764212858138563
2006,16.08936123427527,19.434233836219448,23.634184901641543,24.84542326354983,24.81577122349895,24.82450093248157,24.043399919079214,24.03256709437219,23.25658922492136,24.432447754234424,19.33629136488175,17.78285883749687
2007,18.014371149206696,18.103934854779954,21.249826512490575,24.680186338636638,25.198562521985803,24.960519931369383,24.644955724900793,24.088295076431788,23.739348883734838,24.480583666729693,20.296395625050888,17.48471408967051
