year,1,2,3,4,5,6,7,8,9,10,11,12
1991,18.768967798704765,19.95973191215881,21.895672139813847,24.25366692267526,24.657216573735738,24.50942739529082,24.102689418997844,23.811084949124268,23.217110039605057,23.271876724407257,19.17192974344892,19.275768381754578
1992,17.288451186969738,17.75518161592032,21.309338510164675,23.446528939141196,24.3079993085964,24.310049936930362,23.459732766100178,23.24039131410662,22.776084474351688,23.488918525941937,20.261026107788112,16.995829786075085
1993,15.478326565322076,17.19565162840346,20.842001188544838,24.545308366563606,24.672077654766802,23.909130165947836,24.186614458637877,23.512322553409064,23.111853213840085,23.654174757106357,20.30723232184518,18.475788636566513
1994,17.530880346810967,17.279097357250418,19.38166703090875,24.618119903564473,24.35101638301728,24.145627382066536,23.39780828988683,22.917276814778663,22.850331380208353,23.570803439232627,17.732218375311977,16.03005823278942
1995,16.152406228998686,21.240092328389512,21.265695871332664,23.64651802910701,24.17838322136994,24.87364856974286,23.92170660039433,23.52793381557672,22.978593721177866,23.57489272414999,19.124223158094647,17.91711940150109
1996,15.869942787744687,18.623502998352077,20.66067294049009,22.382017500135664,24.067661405173705,24.080693528917127,23.91072028047298,22.883365609774046,22.851370446099203,23.21443260438983,19.73102385965985,17.518804395121936
1997,14.1933410726568,16.757825212024528,20.562190958658874,23.832512140909856,24.099089022400587,24.826861511230494,23.960700864074074,23.826033700922505,23.595852228800478,24.216787284933133,20.042646930270745,17.722049279982063
1998,16.200417332803074,19.613877176557292,21.618117815243327,24.279268454657686,25.046601685554773,25.043205674913217,24.565641881471056,23.80677051175028,23.467402323404972,24.91553720945955,18.955325817532035,15.710969730500276
1999,16.762740304598267,19.513217530023507,21.806491876417617,23.88120232645673,24.871091364378593,24.82322718471953,23.968281356647477,23.831722039663674,23.437742645263697,24.018808162238034,19.314069697062198,19.02368326166627
2000,16.61492527787406,19.447497685750353,21.37469828287763,23.651751854790607,24.438782717797086,24.507621258205862,23.96716151739964,23.660342456448486,23.42160100809736,24.228957849318004,19.79300096808542,18.231389553931475
2001,15.077404566939185,19.605090315682563,21.64135808637068,23.771362162272165,24.715846569102315,25.643049163818382,24.349223276774108,23.876157295473185,23.340658593071854,24.28490118375391,20.53967074415421,18.535699612197078
2002,19.233342153897873,16.21432404472717,21.532173235493342,23.700136510213245,25.161443125406915,25.656379355536583,24.666172992337156,23.88852517568939,23.298614191691108,24.141403439429517,20.104166220770967,16.069536531509918
2003,18.84901233960226,19.386784041268506,20.94203112202308,23.91428211636016,24.135698703232652,24.881750540839324,24.226011019470892,24.31767341531735,23.827668443467903,24.088018270513082,19.37644427998863,16.786356384933658
