year,1,2,3,4,5,6,7,8,9,10,11,12
1991,15.452063065395583,17.513987308683873,21.527713839623264,23.670914900038003,24.1640773059476,24.256631747775636,23.67361039520594,22.92615379579608,22.874154057820657,23.740953569309706,17.127155158148888,17.600671780493975
1992,17.991275682346817,19.864021384829588,21.271450160857196,25.718196092393683,25.42623476254045,25.215805199517163,23.5015176785377,23.244422180832096,22.68247767469621,24.07352183680383,18.258290271335195,17.398683350265692
1993,19.068761914981334,18.48177342914402,20.952149251302107,23.819418482462595,24.764621823218583,24.99969983588327,24.139348984585034,23.7890298773653,23.03408797878692,24.066229134836526,20.863280449761305,16.964109594825025
1994,16.814165779031757,20.45860670362202,20.731461221018172,24.075110444810676,24.18800138247913,24.438402279324027,23.47585597212599,22.898374635429818,23.01605599127878,23.337599203458424,20.571484815809487,16.666449169856268
1995,16.205788607033373,18.199081831432547,21.640828901721605,24.652957877265106,25.945562565301078,25.675042000664632,24.39518928609871,23.6483321273968,23.064101465861025,24.367935372629493,21.50851559617787,17.315400490709553
1996,15.037874470372378,19.231570601690404,20.377435584939956,23.252368910047768,24.2313024410125,24.028213187323704,23.845185942290954,23.123306556619657,23.131915174696204,23.974099670738322,18.497117453681117,16.76403977588943
1997,15.69659725066157,17.510769591558574,20.545893256074656,25.043398574829133,25.19982510638496,24.841923795912024,24.08689615229127,23.31337826636532,23.120656611124694,23.317812454059577,18.98582149251304,17.579297726538893
1998,18.50195389614312,18.499705828712127,22.06253637990646,23.96890145704484,24.333177884009604,24.688703825208894,24.343365636025727,23.71846342517486,23.63334288024905,23.946395393289567,20.71670514255102,16.24820746144943
1999,16.577993725192187,17.80236586434503,21.363755386516633,24.42953611077205,25.706789155365335,25.448570488823812,24.375829539965586,23.569306335449234,22.997131267971486,24.122525683987547,19.184658052232557,17.528897263721777
2000,15.432134999921269,17.858976318722704,20.824415796751634,23.594827638414195,24.85660543298211,25.064523049248617,24.389634547079794,23.71352621591222,23.342042404174826,24.303546971146798,18.082082283867756,16.529496692944623
2001,15.38056811260923,17.190881233215357,21.460471911686742,24.56100935872398,24.59401661862612,25.254484142727346,24.57885990101806,23.856296555713964,23.16044045850968,24.172349341607887,18.951876483493404,16.706363020045806
