year,1,2,3,4,5,6,7,8,9,10,11,12
1991,15.258248651976253,18.010033832731725,20.451132161130207,22.624021731906495,24.57109831943309,24.958348534478105,24.046306490334157,23.507511355492404,22.892173928154865,24.612676263624635,19.07060831705731,15.955528969713457
1992,15.156520866476102,17.693530157180085,20.474000206403858,22.633740310668962,23.97938238492579,24.805646306355815,23.642690459220667,23.35496009908699,23.166313205295165,24.589693754462807,20.191404700385227,16.567402091077604
1993,16.071341257402995,17.72745611099972,20.841672104045934,23.445248446994388,24.55841637888264,24.312890513102232,24.844054243846628,23.66228847708756,23.661982559204123,24.76163833946313,20.531618704901824,17.98647878070137
1994,15.066851347236245,19.420411582220197,22.05095300325786,23.864187679714654,24.995489439605407,25.955680821736678,24.332758150818545,23.810341385051792,23.133295338948592,24.701671482209257,20.185703340318486,17.12295120567406
1995,14.766607698830253,17.091766161237466,21.282230116321216,23.089159003363736,24.130199845837033,25.715881281534852,24.47302298433039,23.914943255352743,23.538413167317735,24.523053831695247,17.453221574571423,15.356170657578357
1996,15.322572110083822,18.631528552827405,19.360607967581824,23.155979334513365,24.032292659308347,24.6762025095622,23.776428819881993,22.97544736636585,23.028497302585198,23.404820072625302,19.427194291856573,17.26241415700607
1997,16.401639084354546,15.827363544645786,20.363055812056366,23.4501383955214,24.403913877753823,25.500585201399083,24.77563609789778,23.782575703282532,23.508028683132622,23.322060648600278,20.337431443956188,15.564252586774954
1998,17.919498090452812,18.534422144208655,20.78120448122744,23.82309311314903,24.25362604120729,24.415286849975608,24.275780959590808,23.755548550185363,23.056093995836076,24.153724434145058,18.009239542643254,15.02921382288781
1999,14.136637558475636,16.42153524852937,19.926178344398437,24.172492875840955,24.345185705599246,24.89088455030656,24.70664972612937,24.096767771731162,23.390295737372522,24.957485149752735,16.54535349527997,15.482166250905708
2000,14.919290889616956,17.473168502081034,22.224476006522256,23.85834319898819,24.397349974929668,25.090453165690125,24.536208085911277,24.608149286085578,23.91142144266767,24.970762967345554,20.62098840671118,16.51452371904929
2001,15.751454881237422,19.515225730169412,20.63094598093343,24.151036463419622,24.836913022277205,24.604194763183614,24.50586071711717,23.989626541958085,23.6761842532688,24.518199960031847,18.572866772121873,16.905137606384958
2002,15.839163856096192,18.17741238366992,20.58738277804469,22.642585886637388,24.658031965686448,25.779031004163983,24.777500969671458,23.956370473882227,23.63286656358509,24.39736964892317,18.119188491821316,15.857856578211647
2003,16.017789519935544,18.172307917277045,20.357681472942414,24.529145494249157,24.557190299085416,25.436732447306344,24.667212609732047,24.047651993946385,23.524233827379035,24.082042365945817,19.844943572998076,17.70689825406641
2004,17.129383423507875,18.693437007722423,21.944173227945985,24.50857231648765,24.973134223560645,25.033395151774112,24.499124678745094,24.904995765275874,24.33053218756784,24.756404323782995,20.08828415256078,17.256461548753986
2005,15.739742448047952,17.239966772170312,20.982701273272138,23.93648020306059,24.401785119169524,24.957236835055905,25.2965474020025,24.706073452529107,23.555448798285614,24.216208642118744,18.362615815904427,17.134519248060027
2006,16.778872662616056,19.393020242963537,20.743989313597343,24.143998845418324,24.969496843891783,25.691976689656595,24.470301236388522,24.11132917834868,23.809889957004142,24.126329818233394,18.906027462429496,16.445745719991727
2007,14.88137648551697,16.34993378230506,20.225480581304105,23.436135998196097,24.378074959375542,26.438789930589497,25.426381050027846,24.31264673868817,23.5371229722765,24.641149738270773,18.665613435533334,16.641680137060046
2008,16.03921697801162,17.3747277795701,21.379172466647265,23.290240943061004,24.293263013286,24.892152147081184,24.809494023476898,24.386902137674333,23.182637939453148,24.50905837848624,20.728558066474083,17.000107577744373
2009,18.2701656809161,20.001993292290848,21.168784601355135,24.332720030042882,24.466459560599397,25.244041961669947,25.07964601578253,24.065154038295976,24.014868414984836,25.291271944763864,20.696477703518365,16.469204254150412
