year,1,2,3,4,5,6,7,8,9,10,11,12
1991,15.648685680102297,16.77994768960138,20.653683934365567,23.292524054633272,24.576124892696278,24.590544297960093,24.186534932454457,22.896296157016568,22.962617162068714,23.688957795173916,17.905381710476373,16.78589505103329
1992,15.461035623858075,17.273826926095172,20.639515983007303,24.208586357964442,24.598724642517773,25.637616019354944,23.910256513370005,23.49826458510534,23.06662059190541,24.50268130394723,18.05709865146215,15.92432813254738
1993,15.426435008715583,18.425482982453868,20.389748382568385,23.262097769843226,24.603212424657695,25.159566209581183,24.375971937282134,23.916923266995358,22.99407962714303,24.027609561386953,19.94558139716257,16.02390650759463
1994,15.36224257274343,18.349665307544562,19.55524929743943,23.644991870456295,24.265015219411566,25.076822424994592,23.856339491977504,23.349421214442117,23.068543355306016,23.32122443414506,18.39626257324221,16.544818317044186
1995,16.522227858676725,18.504327474321663,21.18881139283541,24.07013993835452,25.01613591840193,26.109643434312627,24.66258804977583,24.211292494907198,23.61155221727162,24.5344753782211,18.524431833903016,16.489586928172805
1996,15.022057841311241,18.069616179693337,20.653943125406926,22.883485315958684,24.663060831049464,23.012450156317836,24.25342725856332,23.637364365772555,23.508352750990145,24.985038552232986,20.071110102335634,18.030729311050926
1997,15.611696401616602,19.06538152240574,21.270250995594996,24.45248471408422,24.95523576962053,24.721617111206076,24.312329643003423,23.459824182653968,22.936641633775523,23.700699138026103,17.917933707343234,15.675955741636237
1998,16.783621440600346,19.069551148187568,20.438467358004683,24.422135069105384,24.892264632358373,25.302608539157465,24.145359638173115,23.37805024834091,23.346125298394114,23.775451957128404,19.76581400214304,15.219370506040539
1999,14.112490477203062,17.084186997186595,21.83064914170134,23.350264965481248,26.01389544743366,26.12441279093427,24.38912372384023,23.616428645964614,23.10709888543025,24.069889209706318,17.317846111721487,16.023519347816407
2000,14.401586356214326,16.337246422540602,20.155630265102612,23.460301439073376,24.769041820239014,24.508416888766842,24.526008025138626,23.59592785250758,23.457650397406702,24.4091669898905,19.943171232435464,16.112970864901005
