year,1,2,3,4,5,6,7,8,9,10,11,12
2021,17.346533298287362,19.382410214742045,21.72986852994531,24.138862121582054,24.25516286378268,24.185221377902582,24.518348969490315,24.083753498036394,23.990328209771068,24.28616182716946,18.702273430718343,16.864231862714238
2022,15.241734502648818,16.614161095392163,21.220412425379617,23.733506335788324,24.937670373403925,25.01099415249297,24.831437816004623,24.109927757017104,23.658591247558615,24.192451826526295,18.987419664171025,17.117810870755125
2023,14.689119136359126,17.707373864310153,21.147105645620716,23.93429460325455,24.185335873839694,25.27830926683216,25.0747857403499,24.33578926496611,23.77406288994686,24.732850756901588,19.446960096571207,17.508225414317167
2024,19.713229168307418,18.515122571672737,20.945883757888645,23.824269658406596,24.76661296885503,25.190069547865146,25.529191928986602,23.81597253614859,24.28687805006241,25.217602929556257,19.538413074069574,17.314456675539756
2025,17.210095392042614,18.08705998920261,20.428395014937234,23.788793190850175,23.905751726704285,25.36392228190106,25.09379318565453,24.3629055671282,23.986919813368083,25.569164351596644,22.39382401190866,17.328366200436854
2026,16.70834365188437,18.22367574055992,20.183371357251264,23.9871910332574,24.860894174883466,25.58370958624948,25.565065857261764,23.874474236273016,23.47585092502173,25.108120340326806,19.465698647393143,17.83460912396833
2027,19.759174629129415,18.801920600164525,22.06219772225659,24.626876356336826,24.74922473866455,26.40421558125816,24.54153324414327,24.352911506570827,24.048312618679493,24.505272577757502,19.862671930948917,16.527648620605493
2028,16.625135929558887,17.78626237415134,20.52587584919265,25.018523223876976,24.19352806173347,25.58484900071888,24.171989349037112,24.642927372429988,24.15317790052628,24.0995061894899,20.067061165703695,16.63453345514115
2029,17.08326091479232,18.2878067434402,20.75145882555236,25.16494236896093,24.658449600383825,25.623258024427653,25.21625980336182,24.33647628620109,24.184581759982663,26.563270796121596,23.085046927642843,18.8500980259065
2030,16.704361136553384,17.847386062258792,20.54460500901747,23.576242684258375,25.13269933557,26.20033084954158,25.358464074903942,25.070293380573258,24.009831893920918,25.350670612294213,21.437207556830536,16.89134805822888
2031,17.36407431325607,19.970097318376837,21.935076915782005,23.76429907904733,24.82502135738252,25.64759881930884,24.719325623871196,24.032905549080166,24.03177196757001,25.755562160040764,20.027720470852344,18.468418986002625
