year,1,2,3,4,5,6,7,8,9,10,11,12
2021,17.53984040753767,19.63416773114888,21.93665676650183,24.617740834554063,25.453975895707348,26.27522301907012,25.677645578692054,24.475499687605037,24.581455501980276,25.49527534238756,20.71215076361764,18.233594078146027
2022,16.465103909072077,19.016536890665716,21.786825865058518,24.23764335801869,25.86938740884106,26.997492865668427,25.583331830424676,24.813974717663204,24.123166414048963,25.22055141161848,21.494445728268115,17.574205222181117
2023,15.898332140522642,19.95580815996445,21.525690903202197,23.684094100952166,25.547259393507456,25.957061765882727,25.545972321212957,25.0073744890767,24.454664176093235,24.953169655748614,19.959081468370247,17.781738256639073
2024,16.652178206905266,18.884499010358564,21.274660099808912,24.229603246053085,24.30599173925258,26.1325969526503,25.307841834611814,24.665939887262184,23.766867636786586,24.687428437920047,21.783285451253278,17.41795076267696
2025,16.346806302634644,18.393883374532084,21.708995566419397,24.261253984239385,25.39437614851102,26.035169452243405,25.29867763888454,25.002430611887313,24.202206683688715,24.732594855523896,21.377568801879907,17.787466368316345
2026,17.193049484449837,18.831463383265923,21.94709192091421,25.268254632856607,24.97523363339006,25.888913618299714,25.222399753037347,24.596878913141087,24.60726468404137,25.521694286715622,19.77520494757761,16.609171811995992
2027,15.792414122550744,18.7370422163464,21.931609374015586,25.642071359049503,25.575645456621743,26.325808361477346,25.475115628806517,25.032363151632353,24.28435074191626,25.104849294026717,19.558431891547336,17.47647439936158
2028,17.06763875102384,18.537679218110608,21.168174008605323,25.088950639512824,25.27381161318545,25.8907241075304,25.11165671235774,24.57717084002753,23.851736345079235,25.114211032006075,21.185883717854836,17.435916227935486
2029,17.049799322312897,18.290619341532413,21.642916382820392,24.14280758158368,25.533088398595037,27.33458641730417,25.47450378746118,25.045937979093182,24.652989478217254,25.23445649013727,21.5157308705648,18.17072376210205
2030,17.136136169433616,19.1326924296788,21.299564778317716,24.810269600762286,26.12793150214741,26.619818791707377,25.56557197324694,25.08141374485469,24.91915166897247,25.703723306963543,21.43924451192223,17.68059477119038
2031,16.22854948310444,18.191921671912805,21.755794703986076,25.088195366753492,25.13575091782439,26.362725333319794,25.31349461709302,25.09313510197467,24.4342593282064,25.481866638839914,20.703112053765214,17.499787457029303
2032,16.694424047982842,19.197048009236678,21.53671497468028,24.339869925604955,25.318836310602027,25.759274517483206,25.040950120495232,24.846430793680188,24.198489274766736,25.404656918433428,20.548820493910068,17.283929063021773
2033,16.486513716174734,20.478508095514233,22.879330360658727,24.331323889838345,25.65285735427695,26.648800308227568,25.489977147912487,25.287791152461903,23.883348178439697,24.995765231552966,20.01146061367461,17.4473433390956
2034,16.42169924172024,18.19532489413309,22.606708390430764,25.14556646304663,25.287415576237528,27.091946392483205,25.456300762545695,25.08405229794084,24.503194098578586,24.47842898297056,19.436354324340837,16.79409372309205
2035,16.346389537524175,17.925769115629674,21.514532816897177,24.80464534505211,25.873158618557866,25.274798860338016,25.556214125438423,24.800860953382294,24.549366792466923,25.505311333440993,19.516164584689694,17.455663594891966
2036,17.724441413469233,18.53049106779555,22.04482509654057,24.941131876627633,25.32422514720632,27.220168372260222,25.917853741389468,24.99507950977615,24.240485029432527,25.716499942164287,21.249576799180794,18.18795039226575
2037,15.77299441922098,19.493800961794193,22.346652415712438,24.901665747104243,25.197227120348227,27.079378470526823,25.726579143565214,25.487041266656714,24.68869479644778,25.278559274981124,21.305117582651793,17.956500030698077
