year,1,2,3,4,5,6,7,8,9,10,11,12
2021,15.723015560027111,17.66983687082929,20.788486398676408,24.84876056586374,24.668607571509597,25.059543609619162,24.763087543774695,24.612762155840493,24.2818223414612,24.463405079175097,19.79173314751522,16.308917779409782
2022,14.921666343442878,18.589629015241375,20.045420051492698,24.21804018825957,23.972276563746973,25.851576870388477,25.46569209109073,24.466427193918552,24.03808935038251,24.641978454540645,22.27151148647734,18.013593940324704
2023,17.11580221852951,19.443484113784084,21.438659270912115,24.544220921834327,24.541814529254896,25.68465509033205,25.205688809630715,25.004908138726368,24.129143369818816,25.19380909745413,21.313597235785608,17.095042005969653
2024,15.924392221102174,17.941371209280852,20.78590016190726,25.281261177690308,25.004518004386682,25.41962633090551,25.0049935519311,24.219138567524592,24.328157969156916,24.897106459422798,20.07118432956274,17.060819288684495
2025,15.591813295425927,16.933507881164577,20.83049666045817,24.4477641703288,24.28361903364942,24.442800121731253,24.535271411198465,24.43599452849359,24.119016009860584,24.98767336445473,19.41511684502498,16.658196470199112
2026,16.058174568094255,18.39048797425772,20.454023708220475,23.453629450480165,24.442519721574705,24.851695134480817,24.656353006670575,24.2654956399241,23.70750199381513,25.062205078781314,18.25970098198787,18.36460246588597
2027,15.89552953740604,17.67600787208196,20.64382199523272,23.772107486301028,24.284511034565607,25.34623475307891,24.688612516669842,24.419778453867945,24.377719750298418,24.71313125282208,19.84513477749297,16.72588972686442
2028,16.52360974875832,18.082508203415664,20.8234668559413,24.361523703460715,24.90040898312806,25.367368150499154,24.92433545676613,24.730876293715628,24.56730209011504,24.939953078403292,18.721761072794614,16.894687972530267
2029,16.48717714699368,18.350162220909507,21.050033780990127,24.420677456325972,24.96536357100294,26.410133219061983,25.881326627013536,24.302380610640355,23.833824296739394,25.252617558305005,20.991743433634458,16.62258281584711
2030,16.360536814043623,18.816890218825595,20.66242653634679,25.45791277228464,24.557029409100956,26.280714191012933,25.286213139359692,25.064760220435378,24.149553717719208,25.237280849333754,22.00186601426869,18.80724497659337
2031,16.400970191545408,17.192439219156928,19.968036955146403,24.535622795952712,24.54905677549303,25.45552791171606,25.06728144655948,24.265076645061555,23.52597150166832,24.51743255287091,17.917701444837803,16.570961090416056
2032,16.595473431002734,19.458752385094073,20.76719913110222,24.300043485853426,24.591348245616654,24.63069832695858,25.324452828027887,24.747638727003547,24.108742390950543,25.118937351678028,19.535068859524223,17.458275943370555
2033,15.457073986094509,18.619976664951896,21.233800893804098,24.867085884941968,24.662767714633766,24.68976629130048,25.35687918058008,25.04378489176435,24.206701716105165,24.239798076998824,20.051668389214438,16.01734995195945
2034,15.438773984191261,17.40195786794029,21.185804057115142,25.72372374065825,25.198746054044356,25.39447880723744,25.49662316435129,24.65776338146581,23.92847107950849,25.543107967581822,22.4148429090712,16.854120806622277
2035,15.957802127304918,17.19764794485912,20.85585579984934,25.035053036159965,25.180310386739773,25.72225928582088,25.526744447310275,24.753332910025012,24.00262292480471,25.466707571706486,19.238687469482446,18.412843551570134
2036,16.90000626758865,18.798336059933636,20.585640457317417,24.560692311604843,24.379117590791456,26.062138287014456,24.410694022229944,24.66332275882846,24.049619467366558,25.340498651828582,21.22013380601673,17.88891103108726
2037,17.128196148616038,17.934060027712892,20.34817705708167,24.86131521097821,24.594825838150538,25.100231414794944,25.45249921244962,25.332653662568795,24.377360361735047,25.343714401081062,19.710186260647262,16.985900678737217
2038,15.232810609879055,18.893120289103212,20.849093570504156,23.711766454060896,24.26985742712536,25.47141459994848,24.990386359102004,25.040362012309426,24.07740151977541,24.665442326043273,19.61352927652997,16.2052857282085
2039,15.189336702080203,17.278411449250747,21.555765188893982,23.90328735182023,25.088790936213694,25.853558642917232,25.54163294802433,24.99572716640352,24.3019005822076,25.33124043454408,21.39312098863392,16.833257948352465
2040,15.15733425345474,16.824134995596772,20.786595271941177,23.377182535807318,24.17239561675699,25.65680580647789,25.53553734399941,25.188834123246416,24.267001820882186,25.492292510001903,20.786427552964977,17.957450927406253
2041,16.616360119235154,20.003648348563082,22.074839559575587,24.47365562778051,24.00721080985123,26.270569483439154,25.35392266222228,24.48949101273733,24.363603042602563,25.574756516897573,19.912764972262934,18.024191176793927
2042,17.729128152170507,19.076207711356055,20.934482656499416,24.70315856933596,24.688203403924124,26.277123621622746,26.118976278965462,25.39197153727216,24.259580500284855,23.82165247763359,20.217260418362116,16.82103572066115
2043,16.256220023862802,16.700258629208538,20.833729182417695,23.764287107679603,24.715886771909673,25.801054484049505,25.284987369660435,25.294233198268458,24.698362926907027,25.414468528173323,19.342868347167986,16.663920627717065
2044,17.31004745030559,18.139096808660618,21.007184750136535,24.993891581217472,25.105217293359924,26.133825675116668,25.499632512574575,24.423443053871093,23.77056600613066,25.108883883568566,19.94512190622968,16.585919773553027
2045,16.656833276235947,18.8202620152065,22.531424962033533,25.250357215389695,24.330434064967683,25.987062011718766,25.777052498175532,24.8327661526588,24.422005697106272,24.845728674447688,20.729662853664845,16.125439172560192
2046,15.6648192801527,17.650338467189265,21.01861166513097,24.89528244188099,24.3073902581328,26.369960093807666,25.75301595216159,24.58218823996926,23.958775605943494,25.380968667307233,21.51792916531036,17.67345804358044
