year,1,2,3,4,5,6,7,8,9,10,11,12
2021,16.75498953542404,17.11255259922575,21.648546693863427,24.443589207967143,25.32918906427201,26.94596352301706,24.371863828269408,24.24692835653984,23.73883814324275,24.919045021303262,19.127374204847573,16.387426488732803
2022,15.207930205970703,19.576316003345333,21.394197466450375,24.405440707736563,25.631856029879682,26.405195639716283,25.067136947467784,24.060634339035218,24.166819912380667,24.572809531919443,19.381544023301895,17.33140975131786
2023,17.286694527902938,21.1213665480841,21.1775084743705,24.726387044270858,24.586792284237468,25.565952106052,24.70904762186033,24.22578602452434,24.182238069322395,25.504046973771974,20.474718836466494,17.436182191647784
2024,18.012238278953,20.47641797036673,21.672763084493678,24.265529386732336,24.82583416026128,25.867090154012068,24.863768725651592,25.063485205865696,24.531598005506755,24.59524557790451,20.489681206597243,16.598917069203385
2025,17.739116707931046,19.898540976388137,21.54867950665876,23.83184300062394,25.32899687244048,25.676723980373822,24.46199113579209,23.872143520232193,24.064930569118943,25.824104333693004,21.43643593682186,17.613416917042084
2026,16.524212626795638,17.86883048466276,21.734977904289025,25.329980756971597,25.08889364755284,26.306736128065342,24.930312291627313,24.916394028202202,24.074632814195446,25.337195654428154,22.39346330939401,17.331690301382434
2027,17.42941402968542,19.27502161116829,22.406988589772894,23.63726344638403,24.164411676878586,25.62512142605254,25.400287718413995,25.31987270232172,24.479356453789624,25.13063525456256,20.527301303439696,17.093673010385185
2028,17.205630033759682,18.6269904581706,21.04050382552611,24.447704762776713,24.903232464534007,26.430194841172984,25.472308561263567,24.635397484892184,23.933570222642707,25.105658380652013,19.771814293755444,17.18985229328117
2029,16.69277027089111,17.916521967933317,22.255262462657015,25.22844269816083,26.053634886382753,26.671201012505442,26.407607682751088,24.669427393431324,24.14444855753583,24.742269311720353,20.92061671617298,17.299714836202664
2030,16.857872726276376,19.843161637442474,21.827426926807714,24.199662214491127,25.0181876660419,25.176852715386307,25.369816167687883,24.744433821811494,24.380509918212915,24.034186626147225,18.912536141289635,16.11628115582212
2031,16.530649238504417,19.79600601196291,22.029752819102317,25.874807291666688,25.849716500116184,26.981526150173636,25.110137629355172,24.13889823667467,23.857024536132833,25.142425369754942,22.2453986612956,17.653306843747394
2032,16.36792182184037,17.59570192246212,21.60043295911566,24.35497059461808,25.19729890556748,25.91170691426598,25.24359524798652,25.119648048647008,24.397659784952825,24.694865214029974,20.43938310919869,17.739260816676666
2033,17.275398859348115,17.9443877174741,22.381732130153225,25.06420805528431,25.45294715963386,27.395403547498933,25.474200790569363,25.025325115573043,24.61588076951771,24.446601569062942,20.261054065280515,16.913315334525183
2034,17.687604201122017,18.59245776861284,21.24125750798054,25.481318895128062,26.133523923812394,26.151696404351153,25.470138110089064,24.79195274599139,24.56285302056209,24.94533728322677,19.958837098863416,16.606998358285573
2035,15.950314987346715,16.925338843209428,22.017593685683405,25.562943222045924,26.26840642949588,27.8447960747613,26.013749831004827,24.726142724149994,24.178084194607226,25.368035537555674,21.148550915188284,17.024466918617193
2036,15.544732769381639,19.289436874389672,21.688982361824298,26.420644031100824,25.469518345658518,26.497505859375018,25.39377688664264,24.978018980949173,24.401951946682424,25.203507580500805,20.431935472276496,17.240059379659694
2037,16.2691581151819,19.00789034162251,23.637759047297013,25.71971770053442,26.61063947452014,27.59269314066572,26.0067925926947,24.974985906129263,24.393210832383925,25.758248400944552,21.21901148647734,17.853348222958168
2038,15.866504221270183,19.23694892701651,21.162536481631722,25.80431804402671,26.47262104321554,27.59500345018177,24.925894329112086,24.9346260891166,24.379179200914198,25.97374807870518,20.35077331882055,17.201990436841104
2039,16.236832785657683,19.90960485896159,22.497818355765425,26.164777014838357,26.231207174518563,26.980095384385876,25.83915168023881,24.96270395094351,24.7434217122396,25.282002668483305,20.782072185940237,17.06159640240415
2040,16.020537378454748,18.549820736476374,22.30486123854117,25.476867740207275,25.550575787944197,26.047123358832483,25.39351427139777,25.22568597608999,24.80834782579212,25.69464070802096,21.20905620659725,17.472288523027995
