year,1,2,3,4,5,6,7,8,9,10,11,12
2021,16.72143454602972,18.151289351327105,21.91251109789779,25.275837882147922,25.326910098496327,25.95446491326228,24.953272296536376,24.70507790186074,24.286945724487325,25.633476961197417,20.57659066772463,16.96694208616854
2022,17.139265189222133,20.12138788132443,23.19676215551235,25.47803007676869,25.35798081920996,26.819001030816,25.269135456700496,25.379782890401884,24.70253838094078,25.450687101630773,22.83161170959475,17.97788924514609
2023,18.263182382891284,17.262215843200707,21.746869490428658,24.331279391818605,24.828722504646574,25.050052688598658,24.90484944497388,24.45567106349496,24.12668563673233,24.647795382263865,21.79072781372073,18.034569762855472
2024,17.87649832448654,18.95961343674435,21.15970884097522,24.610178183661592,25.371938476562512,26.16571984693741,24.486590503979777,24.543889001005454,23.766115804036474,24.92745750509285,22.11893898518883,18.247194128549257
2025,17.96535654221404,21.802617677961102,23.113222342870586,25.279665406968878,25.324646914902583,26.675952117919948,25.565735701694308,25.15535010060958,24.58598857964412,25.426149374028714,20.33125881788468,18.105747836533435
2026,17.06516952842797,19.276371323721772,22.973929177561143,25.73890488349069,25.50697534868797,26.39235519578724,25.887814655919254,24.62855850383802,24.12790506829158,24.090285078479425,19.7166427697076,17.15407910910988
2027,17.170168401246457,17.90826582409089,22.365934100407454,25.179579142252635,25.404660583824263,26.118229259914845,25.39991512503677,24.685970312959423,24.73802622477215,25.832369640719534,21.28702903578019,19.0458602265389
2028,16.6248685726043,18.25222186860587,21.558588934457457,24.629688157823374,25.134694960399365,25.316548000759564,25.084520109443275,24.461611887613955,23.978181750827392,24.89959897769397,20.08553976609975,18.89794136293475
2029,17.186333892165997,20.61785447620213,23.093492936985488,25.283357406616233,25.897534079602995,26.419276140001102,24.779789504184535,24.732719628118723,24.563945451524546,25.057673098656466,21.068227866278782,18.767163013745403
2030,18.685966979094495,18.895868337722074,22.455800387474824,24.047123133341493,25.45426984753355,25.91150993008086,26.080560022169568,25.678309765887548,24.92487063259551,25.71333213231899,21.215594280666803,18.961382667787635
2031,17.77592490247503,18.979313608805366,22.824415135537446,25.285351630316867,25.026921222645775,26.791808990478543,26.077324169528122,25.836457846036545,25.0394641638862,25.93130407682031,21.72764960903594,18.42513424945136
2032,16.846467273671163,18.976334381103538,22.442454435287008,25.949107883029534,25.425297744915078,26.98383459303116,25.680092574909192,25.377400453629054,25.074840510050482,25.566444101641277,21.665586846245684,18.68855664817238
2033,17.225534736879432,19.02764888218473,21.772287294121224,24.400962593926348,24.7363659454674,26.454034708658874,25.998831998763567,25.407353070987185,24.56541129896378,25.736846050959787,20.572621315850174,18.252035940847108
2034,18.580745675692018,18.811288294111005,22.428551071331086,24.625154313829235,25.208801896290133,26.926575965033656,25.536240396807287,25.502079305341198,24.554978322347036,25.852105872041452,21.07691693284778,19.980745752806328
2035,16.89369187385808,18.763146545773484,22.027327359107257,24.62031859673397,24.825209388322747,24.849322174072288,25.232939835415113,25.13689597509243,24.561423607720293,25.55189627206456,24.836881864861407,20.833717497893318
2036,16.76295611637897,20.149843361264207,23.16240688200922,25.334081636216926,25.92701592558176,27.6405536770291,26.21805552328789,25.640765717209057,25.030347910563176,25.70430444368754,21.264702777438725,18.70224471389609
2037,17.239531968639767,18.688707021077494,22.272846436859478,25.118012525770425,25.30410986787532,26.981696399264887,26.116101257980528,25.729065159623367,24.985580095079232,26.44441804291102,20.280329601711724,17.690767825547113
2038,18.134997069656233,20.141738021487303,22.646732701127274,25.38643181186254,26.089236012120423,25.770800396389458,25.88303365727909,25.69881640854704,24.880671595255556,26.084142265730026,20.66242210388186,19.34578996063563
2039,16.439862547843713,21.245237039838543,22.45562239780223,24.527338263617647,25.61723125771145,26.61516624450686,25.87650543541039,25.455331448790876,25.05691273837622,26.015768444102314,20.2524928792318,18.237781833115466
2040,18.35109763196722,19.64818532852902,23.4131910508679,26.21366281636558,27.07472726965466,27.623968500773135,26.501236565702722,25.678067907517978,25.243145177205427,25.42409543273272,21.448372290717256,17.720571006856964
2041,17.033126394620535,19.593261635189986,23.091806926112053,25.02174712795683,25.363287722679893,27.412608557807093,26.409087012506326,26.041093807425572,25.690123053656713,26.79718336371967,22.92065929158531,19.84541719990395
2042,17.532838357904932,21.63913373674668,23.351049560218748,26.06934323289662,26.33712110950103,26.74172471449112,26.05053791497345,25.462649324478665,25.30526037936743,26.358623189618537,21.683340328640433,18.855653607768424
