year,1,2,3,4,5,6,7,8,9,10,11,12
2021,18.521304085023967,20.149548528762118,22.232087538524368,25.7183544989692,25.402835822977067,26.95592540147571,25.759843262703217,25.3586433640347,24.4065248887804,25.42962827292823,18.977494913737,17.581365230109128
2022,16.333977106566092,18.946306481134346,21.455082179243867,25.508645328097888,25.147905665571997,25.07055328538685,25.132994315854987,24.503613443682298,24.500571694268142,24.69799926265595,21.363071831597246,18.314674228135
2023,17.07940878427159,19.13434890383768,21.361979242140272,25.196166876898886,25.37078939130232,26.099366085476372,24.802194207304282,24.51919596518242,24.03919434441463,24.86902285340014,20.495915842692078,18.443748095850808
2024,18.442885417322977,18.051712949843658,21.629525707614057,24.395384360419403,24.230256572436282,25.137708724975607,24.363209287581935,24.46526301394229,24.232296902126755,25.467592801329932,20.202575642903664,19.79197149172549
2025,15.847320364675234,18.878810381208172,21.421321832800444,24.98585916137698,25.221960344212054,25.97850611707902,25.659871419270857,25.082325907061197,24.314505423651823,25.261174756121914,21.13697876146107,18.241195062748105
2026,19.772407792040124,18.7734194837298,22.884170463315925,25.168446592542878,25.735803828085643,26.03778419155547,26.068460721251803,25.477327879218674,25.125549879286048,26.282371422552313,21.122658888075104,17.80038496284077
2027,17.204233762679582,18.652068884713337,21.79734292963502,25.574731936984616,25.445406110209817,26.337813412136526,25.404099268759474,24.7501330812516,24.25713774956599,25.20044570102489,21.21995067342125,17.688305806806035
2028,17.46112503872125,18.228426838829424,21.62086571478077,26.5603920762804,25.68093412173694,25.656977723863406,24.91372970581057,24.87252952657722,23.886900473700656,25.230706532796248,21.893608393351254,17.362766400409022
2029,17.01122678367043,19.60026470002676,21.429357160342658,24.8164155459934,25.29867361909602,26.069216471354196,25.175322990827677,24.85620895385745,23.954070337931338,25.517676421134727,22.715429719713022,17.911510500343926
2030,17.409861588016657,19.1942271659488,21.483033767208,24.318838853624154,24.332266952350597,25.193677825927754,24.640210059381314,24.734695761075603,24.436313381618945,24.281251704718496,21.112832829793312,17.36996490806664
2031,16.26794377973005,18.507124621073427,20.482020307971606,24.623454513549824,25.118349074497043,24.87694187588164,24.311828432800972,24.444642964024723,23.877960413614932,24.543719516877232,20.609179590861025,17.634290832191404
2032,15.593018263950164,18.657535645621188,23.15018504317091,24.98524425252281,25.25127990066366,25.38637575276695,24.705129927768525,24.838264056790283,24.45972193739151,25.403354534846496,19.996266949123825,18.13831105221986
2033,17.44246966946512,18.51692429497131,21.974251689295635,24.62952279493546,24.92629501342776,25.99992283969458,26.429896789878946,25.641054488971697,25.181918382432748,25.873488497170097,21.418998119778127,18.281422445645923
2034,18.419252937891173,19.693738227117652,21.782006291215158,24.538221108330642,24.908798847813788,27.4596600494385,26.28397192185927,25.703593764766598,24.56180686272517,25.772187888853036,20.84686678059898,17.853977812079993
2035,15.406514938518589,18.041421568734325,21.17825364635839,24.968241499159085,25.506788303826465,26.6547483842638,25.373199311943488,24.9237358700332,24.583663233439154,25.27033138316166,22.272915306939044,18.597282933060868
2036,16.711652932115804,20.07949287596205,21.60226333618166,24.252538124932205,26.399399509224867,26.702591342502195,24.82453438051287,24.386033668107906,23.93293753560386,24.86199824015301,22.40218865797257,17.281292291456673
2037,18.44948242679721,19.084549186343256,22.32443344608432,24.741139662000887,25.169001710953278,25.829468889024543,25.731877605479276,25.040616569929252,24.807812672932965,26.22836294850998,20.764901570638038,20.49458947130431
2038,15.840451072774936,21.080044804527667,20.81632210188016,24.511296374850826,25.645243362919004,26.674936740451415,25.5113686953309,25.51292092928325,24.52912262810603,25.97847870037122,21.44524319966636,17.801392333328103
2039,16.495306978943553,18.829494465419252,20.980694151847608,25.25106335788305,25.306831825830624,26.842329123603005,26.038749662009646,25.512420508271923,24.83985300360789,25.925826778616976,21.7089042951796,18.57954769831834
2040,17.44421553416921,19.01468183426632,21.752147835352112,24.41027668084041,25.879954707648178,26.683777135213237,26.10980417395153,25.583597704159345,24.955274000379802,25.58823314215549,22.04708787706166,18.943427862351964
2041,18.21657016056843,20.067319944472562,22.154123038015076,25.169694798787457,26.12245086998071,26.32152609592016,25.773376005439367,25.116333669026716,24.631751452975827,25.089923328686808,21.95410604349775,18.071218087801395
2042,17.361730450045698,18.193954309736004,22.66599931122157,25.460383073594855,25.381881984587668,27.0170610046387,25.978360595703144,25.71123500864995,25.364176240709117,26.371139285179893,21.02730224609377,19.701569826745498
2043,17.706354002035837,20.064972172691736,22.83883430398923,25.834593214246986,27.060146013485504,28.893696085612003,27.601219436481454,26.493411287697437,26.236626307169615,26.02202740248816,19.578179843478758,18.049715548279483
2044,16.71730101062408,19.605444256010536,21.49345783356699,25.413849465264242,26.206619937035367,26.940146540323916,25.488796280071327,25.316383265013354,24.11749808756512,25.615671975740845,18.85797778998483,18.525383668304794
2045,16.29066458261143,18.863139312380856,22.273214854578836,24.628957855224634,25.406748455416796,26.74231941901315,25.2114737660398,25.038869968537384,24.500710728963238,25.67118657101869,22.002309889051674,17.19896426785379
2046,17.672117542553995,20.963294147309824,21.12952020296488,25.351522225274003,25.753281031782937,26.62644862704809,26.05432390766761,25.445809126002846,24.771578803168428,26.425008720480008,23.56956209818524,19.202048963321175
2047,17.144396854523713,18.874101656959194,22.64635816840718,24.84842071363663,25.477859075402723,26.185990619235586,26.375770296486497,25.60599461709301,24.92648152669273,26.227340215867585,20.979056623670814,18.764664410006638
2048,18.59089466616725,19.71003588176911,22.565378321165703,26.326475775824676,26.525527125532935,27.52460022989911,25.44945324477331,25.13392138245288,24.537043175591393,26.445701389107676,22.536212341308616,18.872810923258484
2049,18.566938806349256,20.317700220743838,22.694888615762057,24.723776194254583,25.631278834189157,26.502588996039517,25.865567717193304,25.332864709669565,24.712279719034857,26.187478112661733,22.31274738057457,19.510125633978095
2050,19.40169083790115,18.37735707419261,21.55530512163718,25.641498962402363,26.319530821769494,27.628607950846376,27.077122881489444,26.154464349233997,25.31831004672583,26.910713834044778,23.71650185818145,19.076559369815318
