year,1,2,3,4,5,6,7,8,9,10,11,12
2021,16.799692330309163,19.53129323868527,20.85806654407134,24.218980815294078,25.18058759791879,25.752703074137397,25.512270010671337,24.495345109508907,23.944080713907898,24.987744066792175,21.736495471530514,16.98284508982014
2022,16.82524437196796,18.044096561613564,21.43155400922224,24.639250379774328,25.509784952799503,26.448406265258814,25.339280175650014,24.465969892932545,23.899463994344092,25.275254338434706,22.037622170342363,16.812580033169024
2023,16.677065698767244,18.948826663625834,23.48127203828548,24.897218435533333,24.28820908413141,25.88277524990508,25.228472726473267,24.40160181681317,24.3968461371528,24.38293025519261,20.202733527289517,17.25391319685088
2024,16.431390909174457,17.19362218402683,21.062669195359778,23.526542614407035,24.203371750501432,24.661938176473004,24.79551657235754,24.25497101650445,23.838235643174936,24.924222455884074,18.76414459737144,16.342479600803852
2025,16.970116501674877,19.75165991494318,20.222776559809226,23.52124698215063,25.227409051054288,26.265324076012526,25.154474090248055,24.73546885664747,24.15383628675675,25.440155833254597,20.063423733181445,16.893464063418833
2026,16.440285980880926,18.278650846935474,21.63313132432509,24.013219195895747,23.92034652217744,25.649015240868486,24.729987691243515,24.921089594030917,24.056211318969744,24.97475661411083,19.862829572889563,17.037071387178177
2027,16.56403413998186,19.05037587483727,20.749430699502287,23.304963658650742,25.648364442772017,26.629649672648135,25.143612024450828,25.1261372293452,24.187176110161694,24.347615100491456,21.902541978624146,16.970772327300065
2028,16.037371854064308,20.31351235427859,23.21720766304592,25.638481078999856,25.407774835401987,26.841653016832158,25.35867486112864,24.7743204457273,24.427305904812307,24.901594778081442,19.29511062791615,16.67826319704776
2029,18.03622396863714,19.002759116036575,22.337078758978098,24.096663567437083,24.23251550982078,25.663126520792666,24.851529316235638,23.996154204337845,23.4426962873671,24.89566867131062,19.59046703253854,16.933653114893126
2030,16.007877092258926,19.282867863973003,21.65325700786962,25.026868121677,25.011153323823685,26.220732376098663,25.203701928251554,24.902456364785486,24.490067860921247,25.347517879034907,20.909829159206836,17.789310727929568
2031,14.696253683438888,18.33728448232017,20.588952748288413,24.569218843248173,24.294864101615023,26.35662181874595,25.712871485884495,24.619109541370044,24.41191361285741,25.60137587798746,19.611698886447506,17.245291900634783
2032,16.350633156068884,19.51870635259721,22.08187230263989,24.70094143507218,23.895277590187675,25.621409176296684,25.52040494693225,24.229750297103404,23.960149141099752,25.14184313872965,22.067590498182536,18.278187000200845
2033,16.949391420950963,19.973481129237605,21.472809167677386,24.009310450236022,25.412874895321448,26.222629306369374,25.857359293209623,24.070870850265685,24.533419679429816,25.17470970563993,21.647918935139998,16.989914247246226
2034,15.961326815697479,20.17196865248909,21.960876827445105,24.102149627685574,24.433481332102147,26.261751602172872,25.000400501161,24.47837030226187,23.63010191175675,24.845861944383213,20.140610801188174,17.600660680955478
2035,17.629648568758423,18.780779475257532,21.09143997520531,24.585489429050043,25.58863863873228,26.463180291307264,25.35100154917729,25.034204657769997,24.33566576300729,25.33452447750955,20.980994181315126,17.418284821869246
2036,17.022925848191807,19.519056511452106,21.22948304466331,25.05274961683488,25.222868132232364,26.376850653432236,25.56652322912731,24.167887302521763,23.89051909891767,24.112028244182643,16.82931823221845,17.01639778711465
2037,14.506838344450937,16.773689246404764,21.156321754045408,24.011788282606364,25.40496891637005,25.970794481065568,25.29708748438027,24.662436502108033,24.363866487443737,24.46114232709333,18.74463926018611,17.343508377895578
2038,16.3474752020067,19.237819103059337,22.047267221430317,23.631587939792237,24.449404451103646,25.356101643880233,24.76967473512057,23.903908647106565,23.447853198581285,24.22861600486183,18.45851014031307,16.49261868712725
2039,16.913961275162258,17.870320599873885,21.177617378333327,25.533315523902065,24.82753342331099,25.442810542110887,25.15495371828799,25.022732624160625,24.426169887695337,25.129109081965645,22.046399691433404,17.60513487959012
2040,15.780289111393776,18.587194153921963,20.82129390265354,24.988826895124667,25.632390944204044,26.273522023518904,25.315930453064645,24.868450035964816,24.594087009006103,25.52576549242904,19.767118064032683,17.38020013460551
2041,15.768122054889659,19.16450285956975,20.42661761376167,24.582526266462562,24.630834211123908,26.869885292900957,25.857479151243826,25.45373379641299,24.61641926423817,25.57585552748815,21.598732041507322,17.0048487082861
2042,16.004971528412224,21.435029992857448,20.938515643048053,25.56326744249134,25.553002335743265,26.87422296820749,25.082452051306305,24.758049525927497,24.628967942979628,25.30229373902353,20.919876827663863,17.686895282704363
2043,16.134905518562586,18.12839381445024,21.533544362402495,25.012331189626074,25.01699649610624,26.05041539340551,25.570238339003716,25.231348625527684,24.69888423156741,25.373889243981168,22.461683938310433,17.65539685033985
2044,19.216880626456984,21.4330534777687,21.219632397723473,24.988439878675702,25.174455871582055,26.739606097751217,25.69669949275193,24.50687214916601,24.009576526218016,24.521850101922173,21.531758387654644,17.234737678445818
2045,17.601577868717996,19.696658445085824,21.315189333679882,24.126735860188827,24.977109435707032,25.928464029947936,25.332911336804482,24.436527521277004,23.891244081285286,25.444648652435653,19.83935238477921,17.65386761244909
2046,14.487949377900835,18.093645272027903,21.56649317259431,24.757392833947097,25.456492949455036,26.573075305514887,25.26037901683522,25.24054384422715,24.43883532714846,25.1001980886152,18.60851691521541,16.93635148407313
2047,16.350569228305634,19.221283071608788,22.151772554360697,24.926548269636392,25.20313078193257,26.79358747694229,25.65513459999333,25.221043943655392,24.416884031507724,25.290841290529332,20.51828625657826,17.786509194322836
2048,18.614422202899913,19.30654578072686,22.4346995142619,24.892513378567195,25.15043541653543,26.816251045922193,25.736771807795726,24.531807539745067,23.926902433607335,24.56272140683412,19.07584205796986,16.93556328065936
2049,16.424399225378576,18.00311709449407,20.507955763622014,23.91999559529625,24.857904698148356,25.725868184407577,24.91090533841044,24.999722838042906,24.271305657280838,25.109054604479084,20.399833177354626,17.198387203421667
2050,17.286710458472488,19.412154461379306,21.726304501769384,24.78332548892553,24.97527159988241,25.629915072970938,25.02103873796362,24.044107703752438,24.16254302978518,24.314648284912135,19.555834949069574,16.934634469965474
