year,1,2,3,4,5,6,7,8,9,10,11,12
2021,17.35657160769229,19.18961564563572,21.25771889471241,23.7062726932102,25.16962558213103,25.208256725735154,24.70225503572855,24.114738574284402,23.71554179043242,24.084813937935802,19.29854905700686,16.71091841831004
2022,16.598201523647536,18.36742137545633,21.86901434785578,24.8263843519423,25.028792348882224,26.095940031263588,25.20131632322909,25.273597197173764,24.42448089090986,25.50776148642265,20.720931391398143,16.42864593177716
2023,16.473608931674775,19.674285792396205,22.55824990372199,24.54972851053876,25.134442757227113,26.166732352362764,25.516251895043176,24.704855998049528,24.2105530632867,26.040745400049378,21.13410776943633,17.312331332955328
2024,16.923519190306326,18.656447078159896,22.06556729716642,23.798577841864716,24.858442597748155,24.938840913560675,25.387819238478166,24.571559225102934,24.391380008273682,24.828161381547186,21.712791454739065,17.19657015728696
2025,17.654126406433782,19.982878645034084,19.892485167800757,24.589556228637715,25.49774422430225,25.108957928127726,25.034464372204216,24.522583122663626,24.273273583306228,24.555223633140667,20.36540062798396,15.244042612711606
2026,14.501477543000274,17.381650172642328,19.920172384938912,23.632252422756633,24.985292491297596,25.643697745429165,24.815226379722702,24.83748406851166,23.637984783596487,24.50159140145909,19.770046418931774,15.950108043711692
2027,15.91486413935182,17.880423395066053,21.065434988698673,24.580429955376545,25.286345054052237,26.45191619364423,25.309649792743006,25.076553580991703,24.1819227684869,25.557051271828293,19.610781767103433,17.499122276716356
2028,14.629449362806117,17.07001281193327,21.08211158178188,24.348434678819466,25.393984041931837,26.976505477905295,26.25805142146287,25.554482392341882,25.096883138020857,25.60091477260797,21.719473424275737,16.915577369607927
2029,17.2621569003854,19.218978591192357,22.58096324961675,25.908787914700007,26.383688480828418,26.241708821614605,26.675432859031126,26.21549137238535,25.934498920016836,26.632707396476512,23.189747621036133,19.905130903100478
2030,18.885391774298576,21.20011992420017,21.717969347225747,24.860553324381538,25.901680881951464,26.541425954182962,25.189836940970494,24.272979947982314,23.57162157355417,24.387576165968394,20.15861375427249,16.14285788915493
2031,16.562120430238807,18.58653036934991,20.030830937867545,24.24038937377932,24.37275867913361,25.206680996365037,24.779046921268606,23.859593087473247,23.582675328572613,24.50485796692553,19.65274582417808,15.594049687539401
2032,15.564685025779175,18.580861078898135,20.29824649769775,24.497364530775304,24.151656904323158,26.051055233425586,24.95067749351585,24.575212978240014,24.63581460401749,25.706020094348556,22.803019831339537,19.304847851874257
2033,17.988992430902314,19.10649321238202,21.859771992673178,25.23998708258738,25.896306368920133,25.35144234381784,26.287492825087703,25.47705580680603,24.913050477769666,26.797718486170638,25.16337399771799,19.264770938258042
2034,19.01210738453201,20.12885018303283,22.486312142649027,26.13819783927072,25.53120109640144,27.036213728162995,26.742252059444326,25.63976925101334,24.931104754977778,25.727281359600784,20.44428749762643,16.92679087813185
