year,1,2,3,4,5,6,7,8,9,10,11,12
2051,17.272388231831233,21.212161572774278,22.635169124808385,25.294944096883164,25.302805533460415,27.29193523661298,26.693172157861873,27.259395817582348,26.598081829494923,26.89476018598005,24.137083250257724,19.26261185840896
2052,17.594976396458147,20.53943503243585,23.569318658955908,25.64203176879884,25.509678264330816,27.14441179741756,27.01326958769113,26.317018585205098,26.52784032694501,26.789305764475206,24.62859760369197,17.957919021114254
2053,17.492496472430506,19.933535919189474,22.604035404984693,25.22567810906306,25.30499248217513,25.953781673855282,26.871139457456554,26.519135642103,26.26080507744685,26.969564535489667,22.561394370185027,19.206708734984066
2054,18.800582336097662,20.79460027058921,21.501611787529423,25.271798500908766,26.22844831733296,27.026953182644334,26.38249554049586,26.367733982865555,25.391998051961277,26.94411021406935,24.24035069469878,19.489151978851666
2055,16.570912585514876,20.83662158966067,20.820917586459935,25.49856088087296,26.202332871960078,27.457879616631427,26.87776315504507,25.851961430375315,25.056498647054056,27.427455596923846,24.437614005194792,19.460296908142762
2056,18.154921123545677,21.257372352963422,23.014137783255652,24.775025453355607,25.385373259513635,26.096434105767166,27.410855804771526,26.64094648188111,27.176687047322613,26.748410012850222,22.714632756551126,18.96494479435749
2057,16.727162985852992,19.099027504693915,23.401105882525723,25.433312555948916,26.732331388264345,27.62162284681534,27.364185497324975,25.006294058522894,24.883050508287237,26.312200788272357,22.866862192789736,19.244504097559144
2058,18.857370333107593,19.435612896510555,23.638481305850476,26.324562722100172,26.030260879352554,27.550360868665926,26.55844530003048,25.815136482484903,24.930002624511744,26.063920834449053,22.09742636108401,18.86851614182998
2059,18.78256630682178,21.629740967523503,23.367749737155076,26.109160212198912,26.923748976217315,27.777447421603753,27.532024590276922,26.694103467387556,25.448094026353647,26.76020042337399,22.607478598700652,18.062513655795872
2060,18.168841656100394,20.96326698121573,24.400610973399196,26.003487536960197,26.778695378342512,28.772252539740688,27.46524902179679,26.304270775907803,26.19440857442222,27.18860004605531,22.9598671213786,17.912687816004617
2061,20.33155365646529,20.584676459176222,23.395709840507934,25.95918051435685,25.141327437534148,27.069596971299937,26.286256818873927,25.60427773588449,25.930137134128174,26.48803284511773,22.365242597791905,18.73014609880347
2062,19.749136803739837,21.372336354936895,23.93396264353109,25.714385216098382,25.852639363606798,27.155442314995685,26.279557332684938,25.38078180948896,25.11370582241484,26.815743874170465,21.264358600192622,19.98481118315011
2063,17.13061422860753,19.155317780630952,22.542459029331024,25.233067284478107,25.348387155840502,25.841026511298306,26.825919273130374,27.62483957926434,25.443614983452715,26.416199923279496,22.8935343712701,19.513252442062566
2064,19.595556081136085,21.384501004900276,24.924428658434163,26.246651102701843,26.26972840996201,28.62628634011165,27.310607004473308,26.933459429997285,26.419685218031166,27.78753421906504,25.293736156802733,20.159198728171756
2065,18.353216703681557,22.744847470238113,24.075798352821945,24.86478590901695,25.815109987500943,26.926407328287784,27.341409787413916,27.91679678576072,27.37366710238989,27.76431281298567,24.909870737101258,21.652817417645227
2066,19.7756376516691,20.832544105166505,23.603437373663812,26.948396916707384,27.181173071042974,29.211099763929596,27.95694771223173,27.464822917503465,27.100082889133056,27.789309034056327,24.415534132215733,19.461833309050554
2067,17.96547488633025,21.234675016857356,23.77975262877764,25.840338158501538,26.012477384177608,28.324310587565133,28.36232679469614,27.842717682065274,27.093486234876863,27.62830635316913,23.6920033874512,20.22799921343405
2068,19.216463618124706,21.29783919641406,22.228482710315355,26.024702781185592,26.369710352530554,29.25546116299101,28.685772055184987,26.96860786355954,26.70187339104548,27.02479736492201,24.065630764431443,19.723293621104272
2069,17.812107488160514,21.279171505882655,24.370458982734295,25.852945279608857,26.72401960048883,29.274183939429413,28.403241254449682,27.051684373424926,26.440010520087366,26.112543221750588,24.387985171847895,17.657538762246432
2070,16.80729176675122,22.295799209958055,23.738098448066324,25.42115168592667,26.79476256832002,28.650090759277365,28.272209822131764,27.147707489998133,25.517631481594535,26.01972574377575,21.832571426391628,18.34395934402304
2071,18.50879433744699,19.830914481026806,23.10954039378835,24.795300619540765,26.492941740302648,27.98832243516712,28.32929009512626,26.590146038096456,26.05872284444176,27.24704424294094,24.90417194281686,19.33417682278543
2072,16.354236533872566,19.731735100519114,23.297898448000698,25.845365702311224,26.5975016390893,27.179356940375456,26.976935072047763,26.50197442167551,26.157895677354627,27.13932597990961,23.291768959893144,20.19065245143113
2073,18.490270024781605,23.469852544403093,24.576073432331714,27.043397765740313,26.79941010341851,28.41768743726944,29.091955553116364,28.197933916268315,27.71381597878351,27.90840946773408,24.73413002014162,19.179929371495422
2074,18.569482987926882,18.889912794204008,22.9964309741605,25.6163315853543,26.190508314563402,27.422158221774648,28.162050508560696,26.834505692348706,26.763305216471377,27.908358213363176,25.041909821658685,19.760683121219778
2075,17.85170456917058,20.79996317908879,24.32456504414878,26.554579169379355,26.403573322911438,28.778302415754556,28.22709579287296,28.091049791036642,27.237301764594203,28.073700333412766,24.741970204671247,21.085350894148654
2076,18.886729409822877,23.452377646310016,25.026993393436584,27.19047862582739,26.616437315581965,28.878956548055037,28.42379220449799,26.684020543252284,26.38093930731882,27.394649699221397,23.99032212490508,20.083143397505587
2077,18.094664492043133,20.645969548906617,21.94616415044315,26.20740073988175,25.97602933329923,28.6467433641222,27.921184749808383,27.983021568380398,27.344644924367294,27.82735039331582,25.585995766601584,20.190810154740554
2078,17.46662759760377,21.468140187944698,24.76153880666099,27.778471318105083,26.804537238664548,29.22822387044273,28.037832856537214,28.283742181396505,27.241686513264995,27.736191759154636,23.68288724870472,18.946262413763257
2079,19.155316295008532,23.232385095777992,23.490364877302948,25.82024548339846,25.8955681219778,28.61210924106177,28.606133335892896,27.69270100747387,26.480269220987974,27.639593929709175,25.831700726979587,22.102649420067593
2080,19.964376694874115,22.532738749186223,22.94772022042226,25.949529084947393,26.226881974743282,28.636185258924723,28.38730064638202,28.339833510171236,27.75578314444649,27.525663487998408,23.74521084425187,20.511846364749402
