year,1,2,3,4,5,6,7,8,9,10,11,12
2051,19.308390104232327,21.892184695289274,24.115233533305528,26.520884494357666,26.23824282410327,27.159020804511197,27.147707829629244,26.62583686090287,26.098434575398787,26.762837393155685,22.597184214274105,18.124657920919464
2052,17.794329661707742,19.397900882902622,23.058944940054314,25.687813251071532,27.260313479745538,27.874527064005562,27.503618552915533,26.11691530453264,25.576612586127407,27.27588799097207,23.242276192559157,16.79969094061085
2053,17.88846271473877,19.27349853333975,21.854520283360657,24.99016263665096,25.88012414255452,27.12985756768123,26.86893369285011,26.8237961586573,25.762430779351146,27.38863604637887,23.36967125447593,18.417524663453484
2054,18.656540532265957,19.979207384018697,22.786840954852384,25.109041678534634,27.25666174939886,27.79180979749894,26.640176002748575,25.66656858546762,25.095984451293972,26.736628941361648,23.020911407470727,18.190930937079997
2055,17.068641155612106,19.72813435872398,24.11044653615646,26.13223334248863,26.739830205773824,27.697488099839973,26.873047470585014,26.48150160430582,26.457213404337594,26.923766899519098,23.64606354437937,18.89432785854547
2056,19.673605097288743,22.255800120035836,23.868451999131093,25.6883815273709,27.429931026992,28.497038821750234,27.518647442889495,27.172380738617296,26.241510114881752,27.722248143021808,23.652889911227778,19.051265119327038
2057,18.197298720164987,20.462116317749047,22.68452606365247,26.66542514275447,26.000460782615114,28.204908911811007,27.6488456972184,27.28613384123774,26.168657226562516,26.446190329931134,24.46341805352107,18.903032305317563
2058,18.572883120300972,18.949685808817566,24.030110869048762,25.28280231899688,26.067548450757126,28.164312279595286,27.03939632949011,26.650529609598156,27.18614330715605,28.390116757628764,25.004272854275197,19.32704417567102
2059,17.560485460835142,21.929762006487188,25.36639954486152,26.886415757191994,28.003440758489816,28.670738077799502,29.121799021025655,27.633146324567914,26.90780859714086,27.99394261513989,23.93583693313601,20.21926932550248
2060,16.75816003614859,20.834781012762182,24.618531039658443,25.024859224107555,26.68335802156184,27.432462744818817,27.67611269058722,27.33369415611352,26.702662863837368,27.622143078875826,23.941932673136417,19.17545830839426
2061,18.579681864354967,22.592237096514044,24.420414674820464,27.114821803470207,27.40812637493177,29.87865595387779,27.302456402522285,26.27313456545596,25.88356737094458,26.95064618182441,24.837386216905404,20.51552185204621
