year,1,2,3,4,5,6,7,8,9,10,11,12
2051,18.062952452628863,20.071924814496747,22.48887392528905,26.429451722751207,25.821844300382903,26.496307372182226,26.646507469915594,25.667626452702372,25.352382353040923,26.46829292051256,22.477159201727993,17.455995750837452
2052,19.07787852625696,19.848944487798803,22.445022848806097,23.895532838609505,25.33152890933459,26.874443020290816,27.40069291404809,26.17618758170838,25.369862808227555,26.69460676840508,23.719222904442706,18.3003457379085
2053,17.363246935772665,19.14284570603146,21.172359251617124,24.208744878133164,25.615626476739063,27.28587284851077,26.79146203646098,25.600430737567223,24.7327207895915,26.07034870270762,21.63260593329538,18.491799711822203
2054,19.90365213931506,19.516822653270925,21.704715869862568,24.688914164225288,26.1281385569911,27.209330856136763,26.900422775104502,25.571709286269343,25.14328167339751,26.12369800526611,22.261771872626436,19.071661205037454
2055,17.303456460275978,18.191768631708076,21.9219266042402,25.5175405375163,25.51175444572205,25.554815614488408,25.990438253751382,25.560757894208372,25.699667122734937,25.563908261535012,22.762846225314686,18.03320557625065
2056,16.395635928902596,19.00654916672482,22.314608521820425,25.032771455552865,25.26711488457138,26.114713063557964,25.238643283638925,24.820555784163957,24.4767346479628,24.999806766304943,20.24226101684572,17.814399699549547
2057,15.193427775393276,18.811524563743976,21.820043316912926,25.03486322191029,25.958757127331165,26.85662481519914,26.12225208733674,25.30999703684163,24.900453631930905,25.656376701305778,23.40369190811159,18.896565085757704
2058,18.55510050083286,19.840928635370187,21.46220417473908,24.35187050543893,25.527390510805223,27.299013893941265,26.851052069173857,25.839839626845524,25.102475648668094,25.918878452752253,24.039034260508235,18.518662639330813
2059,18.77815049202214,18.128753620329377,21.742630513509138,25.052017262776715,25.46765714419788,26.493014326307534,27.157450354791486,26.084452910064396,25.40805004035104,25.520588055682456,21.746303524441213,18.18878418132825
2060,17.202268598002792,18.986626982915993,21.74318144111225,25.557321450127517,25.792046024773725,27.20440026346844,25.969590034074702,25.61598361599832,24.821410459730384,25.446464185817288,20.07558339267309,17.297844984813427
2061,17.07353985694149,18.49404919215613,21.134666908838433,24.123936340332047,25.35523447180309,26.7289650760227,25.679169496925947,24.728275289227913,24.56512650383845,25.428627639278307,21.948833258734837,18.47317279938731
2062,17.794099779026507,18.017236963907898,21.141463135750083,24.7557640736898,25.442650008663083,26.003116783989825,27.141179950295747,25.6935265374953,25.72098153189767,25.907200405982255,22.140088016086178,18.04115597140407
2063,17.83844169698738,18.569047916957334,22.49711823486003,25.223235955132402,25.164180291567586,26.766638955959767,27.238281229622153,26.797367839608153,25.654484917382153,26.883323124268248,22.553281365305605,19.192417875261224
2064,17.72410015803514,20.695984386262467,22.931862797890965,25.029842893812422,25.851449374783446,27.57398184843277,27.262164431336124,25.90079486969981,25.63299382871842,25.566551451324155,21.695959743923645,16.948175856067316
2065,16.28142061623196,16.97896253676644,21.957581506544564,24.941294103444434,25.027933784402848,26.89713938729182,25.973639439408515,25.079595300818035,24.812108905368405,25.83667653237622,23.165264868842254,16.935496875393802
2066,16.91405902821533,19.67383536020917,20.868694497385356,24.06104873725046,25.506108959567175,27.162650256686756,26.72800640311295,25.184111219836844,24.68242990112307,26.28730179817448,22.00300310601131,17.203351730838918
2067,16.69533683202602,18.170320331028552,22.127298674224548,24.919478924221487,25.089735875644493,25.812927566528348,25.892640052713404,25.038619246944325,24.59868583001033,25.64121672435476,22.336521921793636,18.714863551970474
