year,1,2,3,4,5,6,7,8,9,10,11,12
2051,18.103870452667582,19.295212887645928,20.924120911628993,25.956243671858072,26.37276815671206,27.255739054362,27.030469690564907,25.473585433139615,26.050163746100555,26.630532109512842,24.793082494879844,18.53911346763696
2052,17.12432839342345,19.440110388256276,22.09748963140674,24.5656871185303,24.863515954786756,27.381444542778883,26.369561462402366,25.44813069989607,24.63781732177737,25.637386049660325,18.090212895711282,16.9978137617214
2053,16.296928779848184,17.85201549166727,21.239731737362465,24.415258385552324,25.84632560198386,25.90008848232695,25.535185832362046,25.566198541784825,24.628321943495035,24.65031499883182,21.555033452351914,18.99859368601155
2054,17.401904096705962,19.255647757394,21.166106368034136,24.81269976467559,26.138860652472403,26.133410020616335,25.819026535198272,25.1219467048235,24.926526033189585,25.733857877997963,22.31625877210831,17.745605613134263
2055,17.546603068690168,20.801006080990767,21.64747447188185,25.13876590474449,25.21362768357802,27.033897588873987,25.346043929233367,25.397275498913206,25.216321083916576,26.547566193611413,23.614088044908332,18.718074278472596
2056,16.701084676763085,18.971211170014904,22.37534815798526,24.770980248701328,25.59111175701184,26.716437037150083,25.972356329476984,25.535665665493244,25.098386808607334,26.36777301419168,21.72917986721465,18.53590908788868
2057,21.132580434261875,20.075647143409384,22.155496068105414,24.870386855468766,25.63082417943813,27.9655507221646,27.223234495757755,25.703415427259234,25.1302670075989,26.19538846133654,21.72842945841474,18.337969606461083
2058,16.042648743660244,21.856428816223172,22.315808258794988,25.838772267896886,26.701124651426927,27.74546266272653,26.591200228455268,25.775868927018387,25.638838421291798,26.291745645568213,22.84478303019207,18.567191222816408
2059,17.44848619358516,18.760691363016782,21.44167635845884,25.82149150253298,26.1743668619792,26.56692194959855,26.139604872836887,25.63151154348724,24.89237170410159,26.674515421877643,18.764344211154544,16.857891282932755
2060,16.519660608435213,18.78606172289169,23.057561848777873,24.68184042019316,25.309743156843307,27.317757119852715,26.04883530155307,25.44232243402955,24.912328942192946,25.6902756836594,21.361992287529866,18.54303426270846
2061,17.73749795565043,18.104770264398514,21.566354850851102,25.207839224921358,25.804902455319656,27.224882865058074,25.999932144329133,25.24704614782849,24.84332450188533,25.853125239546607,22.406238918728317,17.735067934475172
2062,17.19414673343784,19.179062768845352,21.212392625706194,24.25912222629125,25.166308836578068,26.963788347812258,26.86225380025887,25.704809462024336,25.047228337605816,25.75425520373931,21.32984791056318,17.471278276340957
2063,16.053775557651342,19.380914686293853,23.485268121534798,24.74967521837025,25.637291238436163,27.103852257622634,26.927591178319812,25.791182997508734,25.4055921664768,26.094254008894087,21.166808386908663,18.293812129523186
2064,16.282988471574704,19.60701971326558,22.572505856175592,24.838267125447615,25.6787275695801,26.560562169392924,25.653682370749877,25.46202020788708,24.843317094590947,25.62330036778606,21.66539207751806,17.911115291144277
