year,1,2,3,4,5,6,7,8,9,10,11,12
2051,16.79162992744038,18.31950170789448,21.118879730880924,26.115145897759355,25.98706680461927,26.706181816948806,25.656159221690213,25.35658021332118,24.944906711154538,26.194009102441946,21.777846928914407,16.648548037621307
2052,16.82748246715917,21.207609719776,21.421893894646782,26.177855812920484,26.706570221275438,27.43404778544111,26.759081732637167,26.022032636416878,26.189385201348216,26.932801129741076,21.225687776353652,19.22542569560392
2053,16.13589210100073,20.127019983927433,23.625243679579885,25.446036248101148,26.491057891845728,27.795222735934814,26.74202173212525,25.77017796013947,25.732283643934487,26.97919457056192,23.545534254794674,20.571514944736958
2054,17.721573369836314,17.664161678495887,23.471998423914776,25.98940045674644,27.2706221172374,28.810612499660937,26.982466245261595,25.950058147471463,25.408270685831724,26.715593496343168,24.98910982645673,18.194655676400814
2055,16.850952386343373,19.844480946858745,22.861268036544985,25.855937971327066,25.521870264853224,27.389552349514453,26.881001793646064,25.952050907586237,25.491494520399325,26.408912575014195,22.328019111175557,19.64308747182869
2056,17.895520558232153,18.641024340675017,24.193595912646245,26.411878801133923,27.336481869326377,27.800793633355056,26.87247416342461,25.683501122587487,25.52397417026099,26.54078900737149,22.241403327094208,19.5489503959738
2057,18.082136525800177,20.99628836313886,22.934228277719168,25.77089702860516,26.70950434977216,27.632856625027152,27.330376988892937,26.28706227456372,25.44703780110679,27.179241441296014,24.174125807020417,17.799533817742482
2058,20.398711205152303,19.452031035650368,21.202902034636484,25.509911214192737,26.136522354618226,28.293042836507194,27.158905672463064,26.489516283260897,26.13601358540855,27.277308592437436,25.23600614322241,17.629062672276675
2059,18.00251460275959,21.824299974278055,23.098096882809894,26.58314025878908,26.61595909528837,28.34072156100805,27.78748810131117,27.041417139525073,25.775985605875672,26.653560748356668,21.809263528154183,17.24974155370243
2060,16.98081690142234,20.62818781716485,23.178617471674457,26.973349496358257,27.353820433438226,28.374704725477457,27.336639484692668,26.194692069433092,25.698954591539195,26.85486599993964,23.37344554985896,16.910334410308533
2061,17.405298629268547,20.18038138798307,23.289662449334276,26.55103931511776,26.758543727423582,28.145080559624585,26.370968742780814,25.596284670265796,25.409264246622744,26.793705590360933,23.444615607367645,18.039805393013932
2062,16.292173112438594,20.610302282133574,22.6700995578561,26.10018624030221,26.438880446239207,27.835654378255228,26.057561207432926,24.909698425621137,24.98383853318959,25.741919176655458,20.401493533664304,17.589866802256616
2063,18.919363884054224,22.134072452726837,23.395191271382018,26.61163571166994,26.380825633157738,28.20348609076608,27.03758370512278,26.077307146954308,25.6517260691325,26.755690635763216,23.2392709096273,18.24776552589993
2064,18.365034676828717,19.40768919626874,23.221113130302868,25.836084103630927,26.903854923043223,28.655483489990253,27.405115561536583,26.154007238572657,25.356815934922977,27.217983829949517,24.12257377665204,20.09590737040533
2065,17.310603028984506,21.92409570561365,22.512215592579203,26.85996142968074,27.101889682892857,28.562457926432312,28.31288123374039,26.405332305251935,26.48544751146107,27.412559033465662,21.835388197157144,17.4958359601421
2066,16.681354608023064,19.036394885835215,24.454167876180033,26.994540872768845,27.482757556874283,29.16397860717776,28.45253365445704,26.402279932165687,26.05653759409589,27.252330848939987,24.260303022596595,17.505631389396445
2067,16.298119257445,19.2643768383208,24.893453135500696,26.549004269070117,26.860881027435003,28.93268990919328,27.456178457083777,26.176143129410306,25.329866855197512,26.84544319891163,20.080607476128495,17.212634420087284
2068,15.637147940358833,19.633244327363542,22.66206350511122,26.90861278618708,26.998988475184312,28.227273293389235,26.343898472939788,25.568341386036227,25.715113372802755,26.482109781901062,21.00010124206545,16.970335890246997
2069,18.90900848245931,21.73908164621991,23.325853422431564,26.361388042873834,27.165368329989548,28.513110695732987,26.777558495306216,25.555574619744434,25.439804790920707,27.241906543034396,23.11472321743437,17.447521293394054
2070,16.279901648080497,19.462319301423598,23.615642488541166,25.893991781802733,26.431486219180552,28.26538325330948,27.863102530202585,26.911861329437603,26.44351324801977,27.581985739431087,23.645035491943375,16.938072773923178
2071,17.963936206448487,22.320712556675517,23.3071883958386,27.086877567816863,27.728816716823808,28.855834556121852,28.152041440574095,26.814312519360634,26.95950493133547,27.429756901238576,24.621033828209796,17.25705051052957
2072,18.083164549796837,22.47299835205081,23.83609803394607,27.23052158503216,27.34444786810108,28.739541964484342,28.313587213331672,26.875735030931057,26.299457728678405,27.831087036132832,21.903962945285397,20.693860237334896
2073,17.676637651997254,22.254730201139918,24.497435512747842,26.657074530707494,27.686625531055107,27.87178564717613,27.392152701757304,26.427019056094615,25.94950583224829,27.24771277643022,24.020992997911268,19.482331828455795
2074,17.163004855904553,21.308111571593518,23.346879694128578,27.221481292724626,27.09497844080774,28.55991626315649,27.84136771089289,26.10789049538235,25.694912929958786,27.371731723252186,22.31480771043568,18.915717143380792
