year,1,2,3,4,5,6,7,8,9,10,11,12
2051,17.041819385815717,19.533594393048993,21.723900317317202,26.734346671159553,25.41101876043506,27.115111409505236,25.981033423639136,25.585367931932037,24.631546315511084,25.19615474413802,21.710535373263905,18.79075018860194
2052,18.11111572951452,21.13900680899849,21.7006876660419,25.09346104127674,25.397722843949538,27.26666106330026,26.451150600031394,25.356283027895063,24.767506559583897,25.362832372521865,21.344497565375452,17.136196951917448
2053,16.906087388889787,19.456109085083025,23.018287291643716,24.844683246188715,26.13633448611026,27.51435861602785,26.008779459307288,25.652914231823356,24.95010866527984,25.44654224682882,20.97429379272463,17.58356271329492
2054,17.462131816905053,18.428688717796714,21.141922487648603,24.160992465549075,24.95712618263821,25.988482105933315,25.76477818639614,25.231147834679405,24.65168915134008,25.368562428464195,22.998660275285538,18.716205921788394
2055,16.09597931728571,19.484519284566264,22.275549759403376,24.839134601169185,26.288059859737295,26.78778430853952,26.457577435893423,24.757690807055422,24.762086213853653,25.54835164552096,20.829131732516842,17.258211986582786
2056,16.835240860805737,19.012977053324402,21.31585974908646,25.41364245435928,25.35858729864963,26.468651745266403,26.04758143435245,25.573553017236872,25.448206021660724,25.7005019715012,21.13379795081247,17.187543945312523
2057,17.5331937090474,19.662718989054387,22.719855883247643,25.896460162607834,26.30590312998784,26.861183625963022,26.498050876740507,25.39420207362023,25.207481279161264,25.126888545866954,17.416038080851262,17.260565574399912
2058,16.112464826030138,19.769348834809826,21.972456681183868,24.74191146341962,25.036935029388783,26.136902103000235,25.446599194926627,24.897979060347378,24.704000682237428,25.666709827710243,23.14354458501182,19.51468201138077
2059,16.509379334513365,20.458303091757653,23.38053360669538,24.70304217364843,25.993059896784978,27.058821177164738,25.77484400595391,25.274543911513483,24.631692682902038,25.78987674508046,21.226601882934595,16.815457337082098
2060,17.15691573932609,18.59638629005071,22.178184295982465,25.701244908481193,25.589460375385922,26.158193498399545,25.410172742618055,25.11812721662626,25.0854292472331,26.29387239025487,21.255744294908336,18.32863151458415
2061,17.302059231009558,19.894242086864676,21.096148568430284,24.63625744120282,25.165574690295824,27.193655376858207,25.634394175211607,25.05597635084585,25.061632251315668,25.6410464789278,21.323047605726472,18.303414649553222
2062,16.931126690936367,19.025198482331803,22.04201555641751,25.13432789888172,25.427030880835773,27.12728947448733,26.004170321770147,25.686283162434922,24.956422714233423,24.70881065614764,18.095762334187846,17.775100877003027
2063,18.079909256014286,20.005792123703753,21.347785613357402,25.937052645772315,25.11704321748469,25.803436109754795,24.972819696241835,25.11224821685465,24.734308812459336,25.239845280801116,21.042303295559382,17.672642838672946
2064,16.514078167330858,18.79232713790169,22.04318985149427,24.62377453104658,25.703507578860073,27.35196976386179,25.81116859189928,25.504948649974555,24.966155442979623,25.53627003659486,21.274154140896293,17.346047683223627
