year,1,2,3,4,5,6,7,8,9,10,11,12
2051,16.875963830697682,17.997205505371117,21.64283267605692,23.48822106742013,25.09312295105639,25.979446626451303,25.35576199111121,24.808283569598476,24.1881523942227,25.262611943726917,20.146833075629363,17.023108348231183
2052,17.388773065464495,20.57532401491803,22.537267692664383,24.961060265435137,24.746854013061544,26.87975458813139,25.53943844867011,24.312394715996216,23.904868041992213,24.840830253683134,20.984041459825324,16.210744879937963
2053,15.413230997721378,20.78746995486307,21.458385605350635,24.214289781358527,25.730543375618243,26.42575664265953,25.80453118481382,25.16625111057735,24.21097917609323,25.342265305057673,21.548189507378492,17.400074817288328
2054,16.581250024610977,17.27864510490783,20.222383503247357,23.204341096666145,24.675079068419773,26.48785294620092,25.224741602875113,24.249239017937793,23.393503233167888,24.24241949758224,19.913759275648356,16.255228760421943
2055,15.99697346512992,17.430617730276946,20.49709772909843,25.141536494038913,25.109797462036813,26.400444347805472,24.46990188926781,24.14108856255319,24.11698437839087,24.656506703694685,18.62743966335723,17.137417228452637
2056,16.2944130714991,18.157215363638763,21.85921427405575,24.0989360715061,24.403213763493383,26.707582195705857,25.609844912112678,24.765872761716142,24.191709794786263,24.46324300786503,19.346363377889027,17.56371333296583
2057,16.365567179033864,18.706024760291715,21.779828166346416,23.86554827033151,25.53656232477006,26.185156075371665,25.79316376972816,24.613908256612817,24.019896233452712,24.94901975734262,19.325475355360265,17.480703190629225
2058,17.083296316987745,21.00918359195166,22.598362507153603,24.641384492662244,24.933545497771252,25.539300789727122,25.093171956052082,24.93277945077549,23.92153315550065,25.190054957892333,21.913534749348987,17.185038390161676
2059,16.671342392788162,20.18058689259123,21.803419219068328,25.240637410447885,24.97766573834165,26.555665134124784,24.952710627073902,24.04878273584512,24.313675949096698,24.990469517057708,18.860364473130993,15.618917059129306
2060,14.7524583992907,16.684455573672363,19.920073202810002,23.33286564466691,24.747828442973496,26.141975258721274,24.353103535970067,24.28337888492053,23.845186342027475,24.97712606942784,20.538824698554162,18.037113299626196
2061,14.333879916283417,17.758768150692916,20.198106125042028,24.625489788716656,25.13708501672235,25.577218782213023,24.182745157877623,24.626557344826338,23.770284527248826,24.65513172929007,20.098624482116723,16.94334023260304
2062,15.263091579970514,17.75488523392453,20.06702999156011,24.685337702772372,25.252621551119923,26.733606582641627,25.476101397442584,24.754650450675737,24.48647058220759,25.175119115095264,21.48270995290123,16.150445558281376
2063,16.417009023063436,20.003858163016208,21.160620903097197,23.91722684393992,24.82386379118891,26.64250774807402,25.528403077484477,24.48732935751641,24.40117039998374,25.02296041345086,21.245780139499267,16.498430835354736
2064,16.732767747448364,17.893277440752325,20.365492640669654,24.244846193101694,24.629911116733375,25.218516815185566,24.26500065793276,24.248621621080652,23.244889375474745,24.909790004607196,21.206711537645152,16.139174955634683
2065,17.82895597888579,19.148850288391134,21.29469953967681,23.654133514404315,24.38514333745487,25.74539244588218,24.723130535823064,24.198683120563484,23.94687075805666,24.528620413503358,20.901644476996555,18.321803693873935
2066,15.846292017454765,17.793931288946265,21.35800735965854,22.686002282036704,24.781824289957708,26.306732623630126,24.232120960194603,24.548227457895603,23.854966935899544,25.158318094233064,20.98896162753637,17.30654731668454
2067,15.706931777461902,17.15250831967311,20.32037932037028,23.92777082597523,24.489068690474337,25.62053819274905,24.76275498585037,24.829320259159893,24.042794218207494,24.72472150741087,21.355754155476916,16.842957104098435
2068,15.830663668724817,17.241768635341124,21.089871652254516,24.550007995605494,25.184903234666418,25.846608327229845,25.07448721772883,23.90070940735522,23.455904254489496,23.605844454201343,18.950064736260327,16.662413000291416
2069,17.127059116158456,20.302916007269022,22.023293220060637,23.30430983988446,25.075184272027812,25.696219363030355,25.467017090549295,24.51781104529598,23.635285868326843,24.080561797439433,20.26523536003963,16.13969357070105
2070,16.2639043352681,16.3760568564279,19.79432557136784,24.526975855509466,25.14868395953437,25.678326258341492,24.94336139473866,23.62709647065852,23.50106904093427,24.464558359781922,18.458916208903023,18.094523154654574
