sim_code,sdev,crmsd,ccoef
RCA4_AFR-44_CCCma-CanESM2_rcp45,39.3,0.0,1.0
RCA4_AFR-44_CCCma-CanESM2_rcp45,39.2,1.74,1.0
RCA4_AFR-44_CCCma-CanESM2_rcp85,39.1,2.5,1.0
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,38.8,2.25,1.0
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,39.1,1.77,1.0
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,38.6,2.01,1.0
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,38.0,3.24,1.0
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,39.3,1.94,1.0
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,39.7,1.75,1.0
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,40.3,2.29,1.0
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,39.3,1.92,1.0
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,40.1,1.88,1.0
RCA4_AFR-44_MIROC-MIROC5_rcp26,39.3,2.72,1.0
RCA4_AFR-44_MIROC-MIROC5_rcp45,39.6,2.81,1.0
RCA4_AFR-44_MIROC-MIROC5_rcp85,39.5,2.72,1.0
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,38.6,2.28,1.0
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,38.0,2.2,1.0
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,38.4,1.92,1.0
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,38.8,2.06,1.0
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,39.0,2.14,1.0
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,38.8,2.16,1.0
RCA4_AFR-44_NCC-NorESM1-M_rcp26,39.4,1.88,1.0
RCA4_AFR-44_NCC-NorESM1-M_rcp45,39.9,1.78,1.0
RCA4_AFR-44_NCC-NorESM1-M_rcp85,39.6,1.9,1.0
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,39.8,2.5,1.0
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,39.3,2.81,1.0
