sim_code,sdev,crmsd,ccoef
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,149.5,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,126.1,46.8,0.96
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,127.1,47.4,0.95
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,101.8,75.7,0.89
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,100.6,76.8,0.88
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,118.2,58.4,0.93
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,115.5,59.5,0.93
CRCM5_AFR-44_CCCma-CanESM2_rcp45,134.4,39.0,0.97
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,133.9,40.4,0.97
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,131.0,43.5,0.96
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,131.2,42.7,0.96
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,132.9,38.2,0.97
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,133.4,42.8,0.96
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,131.1,40.0,0.97
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,135.3,38.9,0.97
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,129.9,37.4,0.97
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,134.2,37.7,0.97
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,129.8,51.4,0.94
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,127.6,48.1,0.95
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,129.9,49.4,0.95
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,122.9,51.5,0.95
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,118.7,54.9,0.94
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,119.6,48.7,0.96
RCA4_AFR-44_CCCma-CanESM2_rcp45,134.6,44.1,0.96
RCA4_AFR-44_CCCma-CanESM2_rcp85,139.5,44.3,0.96
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,135.8,42.6,0.96
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,137.6,39.9,0.96
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,131.4,39.7,0.97
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,129.0,36.5,0.98
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,132.9,37.2,0.97
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,134.5,37.6,0.97
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,135.3,43.2,0.96
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,134.9,46.2,0.95
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,137.1,47.4,0.95
RCA4_AFR-44_MIROC-MIROC5_rcp26,134.5,43.7,0.96
RCA4_AFR-44_MIROC-MIROC5_rcp45,133.7,42.0,0.96
RCA4_AFR-44_MIROC-MIROC5_rcp85,131.6,42.1,0.96
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,138.7,40.5,0.96
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,133.2,46.2,0.95
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,134.3,39.0,0.97
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,134.6,42.1,0.96
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,136.5,36.8,0.97
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,130.0,44.4,0.96
RCA4_AFR-44_NCC-NorESM1-M_rcp26,128.6,44.5,0.96
RCA4_AFR-44_NCC-NorESM1-M_rcp45,127.0,41.6,0.97
RCA4_AFR-44_NCC-NorESM1-M_rcp85,130.0,38.3,0.97
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,131.2,43.4,0.96
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,131.6,45.4,0.96
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,124.5,56.4,0.93
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,123.8,61.7,0.91
REMO2009_AFR-44_MIROC-MIROC5_rcp26,125.5,50.6,0.95
REMO2009_AFR-44_MIROC-MIROC5_rcp85,123.8,43.9,0.97
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,129.0,41.6,0.97
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,127.7,41.9,0.97
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,135.0,43.0,0.96
