sim_code,sdev,crmsd,ccoef
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,149.5,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,65.0,88.92,0.96
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,65.7,94.06,0.91
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,43.6,114.08,0.86
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,43.1,113.14,0.89
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,60.9,100.53,0.88
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,57.7,101.55,0.89
CRCM5_AFR-44_CCCma-CanESM2_rcp45,106.4,71.47,0.9
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,144.0,65.19,0.9
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,105.5,68.04,0.91
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,107.3,68.99,0.91
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,98.4,73.01,0.91
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,130.4,54.24,0.93
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,121.8,62.29,0.91
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,115.6,62.07,0.92
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,79.2,82.63,0.92
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,80.3,79.53,0.94
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,74.1,98.49,0.82
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,75.2,100.35,0.8
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,73.6,99.77,0.81
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,61.9,96.44,0.91
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,51.8,105.74,0.89
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,58.2,98.87,0.92
RCA4_AFR-44_CCCma-CanESM2_rcp45,115.6,73.64,0.88
RCA4_AFR-44_CCCma-CanESM2_rcp85,115.2,71.77,0.88
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,128.1,55.37,0.93
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,130.3,53.28,0.94
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,132.7,66.46,0.9
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,137.9,67.24,0.89
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,136.1,64.76,0.9
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,137.8,62.4,0.91
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,136.4,65.8,0.9
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,103.2,79.55,0.86
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,105.5,78.53,0.87
RCA4_AFR-44_MIROC-MIROC5_rcp26,132.6,58.16,0.92
RCA4_AFR-44_MIROC-MIROC5_rcp45,134.2,56.01,0.93
RCA4_AFR-44_MIROC-MIROC5_rcp85,134.4,61.12,0.91
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,117.0,60.73,0.92
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,109.6,68.57,0.91
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,116.7,62.14,0.92
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,150.3,62.14,0.91
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,151.7,59.08,0.92
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,147.3,56.09,0.93
RCA4_AFR-44_NCC-NorESM1-M_rcp26,86.2,89.45,0.84
RCA4_AFR-44_NCC-NorESM1-M_rcp45,91.6,85.9,0.85
RCA4_AFR-44_NCC-NorESM1-M_rcp85,88.8,85.09,0.87
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,166.8,72.23,0.9
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,163.5,69.35,0.91
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,89.5,86.35,0.86
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,76.7,94.83,0.84
REMO2009_AFR-44_MIROC-MIROC5_rcp26,96.1,77.48,0.89
REMO2009_AFR-44_MIROC-MIROC5_rcp85,82.5,82.03,0.91
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,84.4,78.91,0.92
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,74.1,84.48,0.93
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,136.9,58.31,0.92
