sim_code,sdev,crmsd,ccoef
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,3.19,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,4.1,1.45,0.95
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,4.13,1.46,0.95
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,3.52,1.11,0.95
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,3.44,1.07,0.95
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,2.98,0.97,0.95
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,3.11,0.97,0.95
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.8,1.23,0.95
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.74,1.24,0.95
CRCM5_AFR-44_CCCma-CanESM2_rcp45,2.09,1.67,0.88
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,2.33,1.4,0.92
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,3.09,1.84,0.83
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,3.11,1.86,0.83
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,2.99,1.83,0.83
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,3.32,2.15,0.78
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.33,2.17,0.78
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.29,2.16,0.78
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,2.36,2.0,0.78
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,2.35,2.02,0.77
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,3.05,1.78,0.84
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,3.07,1.82,0.83
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,3.03,1.8,0.83
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,3.17,1.0,0.95
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,2.9,1.1,0.94
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,3.04,1.06,0.94
RCA4_AFR-44_CCCma-CanESM2_rcp45,2.4,1.17,0.95
RCA4_AFR-44_CCCma-CanESM2_rcp85,2.41,1.17,0.95
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,2.63,0.88,0.97
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,2.64,0.83,0.98
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,2.77,0.97,0.96
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,2.86,1.01,0.95
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,2.63,1.16,0.94
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,2.64,1.16,0.94
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,2.61,1.17,0.94
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,2.39,1.3,0.93
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,2.43,1.28,0.93
RCA4_AFR-44_MIROC-MIROC5_rcp26,2.86,0.86,0.97
RCA4_AFR-44_MIROC-MIROC5_rcp45,2.86,0.88,0.96
RCA4_AFR-44_MIROC-MIROC5_rcp85,2.81,0.83,0.97
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,2.49,0.99,0.97
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,2.35,1.1,0.97
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,2.46,1.02,0.97
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,2.74,0.81,0.97
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,2.72,0.85,0.97
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,2.7,0.83,0.97
RCA4_AFR-44_NCC-NorESM1-M_rcp26,2.32,1.19,0.95
RCA4_AFR-44_NCC-NorESM1-M_rcp45,2.38,1.19,0.95
RCA4_AFR-44_NCC-NorESM1-M_rcp85,2.35,1.22,0.95
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,3.4,0.61,0.98
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,3.32,0.56,0.99
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,3.13,2.34,0.73
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,2.93,2.27,0.73
REMO2009_AFR-44_MIROC-MIROC5_rcp26,3.26,2.15,0.78
REMO2009_AFR-44_MIROC-MIROC5_rcp85,3.23,1.97,0.81
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,2.99,1.87,0.82
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,2.88,1.84,0.82
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,3.58,2.05,0.82
