sim_code,sdev,crmsd,ccoef
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,3.19,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,2.71,1.07,0.95
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,2.75,1.07,0.95
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,2.7,1.05,0.95
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,2.65,1.03,0.95
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,1.83,1.78,0.89
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,1.79,1.8,0.89
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,2.81,1.06,0.94
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,2.75,1.11,0.94
CRCM5_AFR-44_CCCma-CanESM2_rcp45,3.19,0.91,0.96
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,2.88,0.72,0.98
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,3.27,0.81,0.97
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,3.33,0.84,0.97
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,3.26,0.83,0.97
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,3.49,0.61,0.99
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.48,0.62,0.99
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.45,0.6,0.99
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,2.4,1.29,0.93
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,2.44,1.26,0.93
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,2.13,1.21,0.97
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,2.14,1.25,0.97
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,2.19,1.15,0.98
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,1.65,1.7,0.95
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,1.61,1.87,0.9
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,1.64,1.8,0.92
RCA4_AFR-44_CCCma-CanESM2_rcp45,3.92,1.17,0.97
RCA4_AFR-44_CCCma-CanESM2_rcp85,3.9,1.14,0.97
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,3.41,1.12,0.95
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,3.43,1.09,0.95
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,2.9,0.65,0.98
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,2.95,0.63,0.98
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,3.23,0.72,0.98
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,3.28,0.68,0.98
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,3.2,0.73,0.97
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,3.62,0.81,0.98
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,3.76,0.91,0.98
RCA4_AFR-44_MIROC-MIROC5_rcp26,2.23,1.09,0.98
RCA4_AFR-44_MIROC-MIROC5_rcp45,2.29,1.02,0.98
RCA4_AFR-44_MIROC-MIROC5_rcp85,2.22,1.14,0.97
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,2.92,0.66,0.98
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,2.86,0.77,0.97
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,2.96,0.69,0.98
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,3.33,0.55,0.99
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.32,0.5,0.99
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.3,0.51,0.99
RCA4_AFR-44_NCC-NorESM1-M_rcp26,3.12,0.78,0.97
RCA4_AFR-44_NCC-NorESM1-M_rcp45,3.14,0.73,0.97
RCA4_AFR-44_NCC-NorESM1-M_rcp85,3.21,0.73,0.97
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,3.55,0.77,0.98
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,3.58,0.78,0.98
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,3.44,0.74,0.98
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,3.33,0.72,0.98
REMO2009_AFR-44_MIROC-MIROC5_rcp26,2.88,0.84,0.97
REMO2009_AFR-44_MIROC-MIROC5_rcp85,2.78,0.95,0.96
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,2.67,0.94,0.96
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,2.55,1.01,0.96
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,3.69,0.86,0.98
