stn,idx,rcp,hor,stat,centile,val
enacts,dry_spell_total_length,rcp26,1991-2020,mean,-1,38.196566
enacts,dry_spell_total_length,rcp26,1991-2020,mean,-1,38.196566
enacts,dry_spell_total_length,rcp26,2021-2050,mean,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,mean,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,min,-1,33.061111
enacts,dry_spell_total_length,rcp26,2021-2050,min,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,min,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,max,-1,52.394444
enacts,dry_spell_total_length,rcp26,2021-2050,max,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,max,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,1,33.250111
enacts,dry_spell_total_length,rcp26,2021-2050,centile,1,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,1,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,10,34.654444
enacts,dry_spell_total_length,rcp26,2021-2050,centile,10,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,10,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,50,37.5
enacts,dry_spell_total_length,rcp26,2021-2050,centile,50,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,50,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,90,42.151111
enacts,dry_spell_total_length,rcp26,2021-2050,centile,90,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,90,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,99,51.956444
enacts,dry_spell_total_length,rcp26,2021-2050,centile,99,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,99,
enacts,dry_spell_total_length,rcp26,1991-2020,mean,-1,38.196566
enacts,dry_spell_total_length,rcp26,2021-2050,mean,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,mean,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,min,-1,33.061111
enacts,dry_spell_total_length,rcp26,2021-2050,min,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,min,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,max,-1,52.394444
enacts,dry_spell_total_length,rcp26,2021-2050,max,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,max,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,1,33.250111
enacts,dry_spell_total_length,rcp26,2021-2050,centile,1,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,1,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,10,34.654444
enacts,dry_spell_total_length,rcp26,2021-2050,centile,10,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,10,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,50,37.5
enacts,dry_spell_total_length,rcp26,2021-2050,centile,50,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,50,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,90,42.151111
enacts,dry_spell_total_length,rcp26,2021-2050,centile,90,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,90,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,99,51.956444
enacts,dry_spell_total_length,rcp26,2021-2050,centile,99,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,99,
enacts,dry_spell_total_length,rcp26,1991-2020,mean,-1,38.196566
enacts,dry_spell_total_length,rcp26,2021-2050,mean,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,mean,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,min,-1,33.061111
enacts,dry_spell_total_length,rcp26,2021-2050,min,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,min,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,max,-1,52.394444
enacts,dry_spell_total_length,rcp26,2021-2050,max,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,max,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,1,33.250111
enacts,dry_spell_total_length,rcp26,2021-2050,centile,1,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,1,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,10,34.654444
enacts,dry_spell_total_length,rcp26,2021-2050,centile,10,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,10,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,50,37.5
enacts,dry_spell_total_length,rcp26,2021-2050,centile,50,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,50,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,90,42.151111
enacts,dry_spell_total_length,rcp26,2021-2050,centile,90,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,90,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,99,51.956444
enacts,dry_spell_total_length,rcp26,2021-2050,centile,99,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,99,
enacts,dry_spell_total_length,rcp26,1991-2020,mean,-1,38.196566
enacts,dry_spell_total_length,rcp26,2021-2050,mean,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,mean,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,min,-1,33.061111
enacts,dry_spell_total_length,rcp26,2021-2050,min,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,min,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,max,-1,52.394444
enacts,dry_spell_total_length,rcp26,2021-2050,max,-1,
enacts,dry_spell_total_length,rcp26,2051-2080,max,-1,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,1,33.250111
enacts,dry_spell_total_length,rcp26,2021-2050,centile,1,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,1,
enacts,dry_spell_total_length,rcp26,1991-2020,centile,10,34.654444
enacts,dry_spell_total_length,rcp26,2021-2050,centile,10,
enacts,dry_spell_total_length,rcp26,2051-2080,centile,10,
