stn,var,rcp,hor,stat,centile,val
enacts,evspsblpot,rcp85,1991-2020,mean,-1,0.031953
enacts,evspsblpot,rcp85,1991-2020,mean,-1,0.031953
enacts,evspsblpot,rcp85,2021-2050,mean,-1,0.032401
enacts,evspsblpot,rcp85,2051-2080,mean,-1,0.032845
enacts,evspsblpot,rcp85,1991-2020,min,-1,0.031595
enacts,evspsblpot,rcp85,2021-2050,min,-1,0.031712
enacts,evspsblpot,rcp85,2051-2080,min,-1,0.031791
enacts,evspsblpot,rcp85,1991-2020,max,-1,0.032753
enacts,evspsblpot,rcp85,2021-2050,max,-1,0.033405
enacts,evspsblpot,rcp85,2051-2080,max,-1,0.034415
enacts,evspsblpot,rcp85,1991-2020,centile,1,0.031626
enacts,evspsblpot,rcp85,2021-2050,centile,1,0.031759
enacts,evspsblpot,rcp85,2051-2080,centile,1,0.031867
enacts,evspsblpot,rcp85,1991-2020,centile,10,0.031744
enacts,evspsblpot,rcp85,2021-2050,centile,10,0.031985
enacts,evspsblpot,rcp85,2051-2080,centile,10,0.032207
enacts,evspsblpot,rcp85,1991-2020,centile,50,0.031882
enacts,evspsblpot,rcp85,2021-2050,centile,50,0.032405
enacts,evspsblpot,rcp85,2051-2080,centile,50,0.032759
enacts,evspsblpot,rcp85,1991-2020,centile,90,0.032151
enacts,evspsblpot,rcp85,2021-2050,centile,90,0.032787
enacts,evspsblpot,rcp85,2051-2080,centile,90,0.033534
enacts,evspsblpot,rcp85,1991-2020,centile,99,0.032656
enacts,evspsblpot,rcp85,2021-2050,centile,99,0.03328
enacts,evspsblpot,rcp85,2051-2080,centile,99,0.034302
enacts,evspsblpot,rcp85,1991-2020,mean,-1,0.031953
enacts,evspsblpot,rcp85,2021-2050,mean,-1,0.032401
enacts,evspsblpot,rcp85,2051-2080,mean,-1,0.032845
enacts,evspsblpot,rcp85,1991-2020,min,-1,0.031595
enacts,evspsblpot,rcp85,2021-2050,min,-1,0.031712
enacts,evspsblpot,rcp85,2051-2080,min,-1,0.031791
enacts,evspsblpot,rcp85,1991-2020,max,-1,0.032753
enacts,evspsblpot,rcp85,2021-2050,max,-1,0.033405
enacts,evspsblpot,rcp85,2051-2080,max,-1,0.034415
enacts,evspsblpot,rcp85,1991-2020,centile,1,0.031626
enacts,evspsblpot,rcp85,2021-2050,centile,1,0.031759
enacts,evspsblpot,rcp85,2051-2080,centile,1,0.031867
enacts,evspsblpot,rcp85,1991-2020,centile,10,0.031744
enacts,evspsblpot,rcp85,2021-2050,centile,10,0.031985
enacts,evspsblpot,rcp85,2051-2080,centile,10,0.032207
enacts,evspsblpot,rcp85,1991-2020,centile,50,0.031882
enacts,evspsblpot,rcp85,2021-2050,centile,50,0.032405
enacts,evspsblpot,rcp85,2051-2080,centile,50,0.032759
enacts,evspsblpot,rcp85,1991-2020,centile,90,0.032151
enacts,evspsblpot,rcp85,2021-2050,centile,90,0.032787
enacts,evspsblpot,rcp85,2051-2080,centile,90,0.033534
enacts,evspsblpot,rcp85,1991-2020,centile,99,0.032656
enacts,evspsblpot,rcp85,2021-2050,centile,99,0.03328
enacts,evspsblpot,rcp85,2051-2080,centile,99,0.034302
enacts,evspsblpot,rcp85,1991-2020,mean,-1,0.031953
