stn,var,rcp,hor,stat,centile,val
enacts,pr,rcp26,1991-2020,mean,-1,0.012481
enacts,pr,rcp26,1991-2020,mean,-1,0.012481
enacts,pr,rcp26,2021-2050,mean,-1,0.012519
enacts,pr,rcp26,2051-2080,mean,-1,0.012141
enacts,pr,rcp26,1991-2020,min,-1,0.00962
enacts,pr,rcp26,2021-2050,min,-1,0.009102
enacts,pr,rcp26,2051-2080,min,-1,0.005964
enacts,pr,rcp26,1991-2020,max,-1,0.013582
enacts,pr,rcp26,2021-2050,max,-1,0.014487
enacts,pr,rcp26,2051-2080,max,-1,0.014966
enacts,pr,rcp26,1991-2020,centile,1,0.009684
enacts,pr,rcp26,2021-2050,centile,1,0.009232
enacts,pr,rcp26,2051-2080,centile,1,0.007203
enacts,pr,rcp26,1991-2020,centile,10,0.011246
enacts,pr,rcp26,2021-2050,centile,10,0.010965
enacts,pr,rcp26,2051-2080,centile,10,0.00994
enacts,pr,rcp26,1991-2020,centile,50,0.012719
enacts,pr,rcp26,2021-2050,centile,50,0.012631
enacts,pr,rcp26,2051-2080,centile,50,0.012583
enacts,pr,rcp26,1991-2020,centile,90,0.013193
enacts,pr,rcp26,2021-2050,centile,90,0.014034
enacts,pr,rcp26,2051-2080,centile,90,0.01422
enacts,pr,rcp26,1991-2020,centile,99,0.013545
enacts,pr,rcp26,2021-2050,centile,99,0.014399
enacts,pr,rcp26,2051-2080,centile,99,0.01491
enacts,pr,rcp26,1991-2020,mean,-1,0.012481
enacts,pr,rcp26,2021-2050,mean,-1,0.012519
enacts,pr,rcp26,2051-2080,mean,-1,0.012141
enacts,pr,rcp26,1991-2020,min,-1,0.00962
enacts,pr,rcp26,2021-2050,min,-1,0.009102
enacts,pr,rcp26,2051-2080,min,-1,0.005964
enacts,pr,rcp26,1991-2020,max,-1,0.013582
enacts,pr,rcp26,2021-2050,max,-1,0.014487
enacts,pr,rcp26,2051-2080,max,-1,0.014966
enacts,pr,rcp26,1991-2020,centile,1,0.009684
enacts,pr,rcp26,2021-2050,centile,1,0.009232
enacts,pr,rcp26,2051-2080,centile,1,0.007203
enacts,pr,rcp26,1991-2020,centile,10,0.011246
enacts,pr,rcp26,2021-2050,centile,10,0.010965
enacts,pr,rcp26,2051-2080,centile,10,0.00994
enacts,pr,rcp26,1991-2020,centile,50,0.012719
enacts,pr,rcp26,2021-2050,centile,50,0.012631
enacts,pr,rcp26,2051-2080,centile,50,0.012583
enacts,pr,rcp26,1991-2020,centile,90,0.013193
enacts,pr,rcp26,2021-2050,centile,90,0.014034
enacts,pr,rcp26,2051-2080,centile,90,0.01422
enacts,pr,rcp26,1991-2020,centile,99,0.013545
enacts,pr,rcp26,2021-2050,centile,99,0.014399
enacts,pr,rcp26,2051-2080,centile,99,0.01491
enacts,pr,rcp26,1991-2020,mean,-1,0.012481
enacts,pr,rcp26,2021-2050,mean,-1,0.012519
enacts,pr,rcp26,2051-2080,mean,-1,0.012141
enacts,pr,rcp26,1991-2020,min,-1,0.00962
enacts,pr,rcp26,2021-2050,min,-1,0.009102
enacts,pr,rcp26,2051-2080,min,-1,0.005964
enacts,pr,rcp26,1991-2020,max,-1,0.013582
enacts,pr,rcp26,2021-2050,max,-1,0.014487
enacts,pr,rcp26,2051-2080,max,-1,0.014966
enacts,pr,rcp26,1991-2020,centile,1,0.009684
enacts,pr,rcp26,2021-2050,centile,1,0.009232
enacts,pr,rcp26,2051-2080,centile,1,0.007203
enacts,pr,rcp26,1991-2020,centile,10,0.011246
enacts,pr,rcp26,2021-2050,centile,10,0.010965
enacts,pr,rcp26,2051-2080,centile,10,0.00994
enacts,pr,rcp26,1991-2020,centile,50,0.012719
enacts,pr,rcp26,2021-2050,centile,50,0.012631
enacts,pr,rcp26,2051-2080,centile,50,0.012583
enacts,pr,rcp26,1991-2020,centile,90,0.013193
enacts,pr,rcp26,2021-2050,centile,90,0.014034
enacts,pr,rcp26,2051-2080,centile,90,0.01422
enacts,pr,rcp26,1991-2020,centile,99,0.013545
enacts,pr,rcp26,2021-2050,centile,99,0.014399
enacts,pr,rcp26,2051-2080,centile,99,0.01491
enacts,pr,rcp26,1991-2020,mean,-1,0.012481
enacts,pr,rcp26,2021-2050,mean,-1,0.012519
enacts,pr,rcp26,2051-2080,mean,-1,0.012141
enacts,pr,rcp26,1991-2020,min,-1,0.00962
enacts,pr,rcp26,2021-2050,min,-1,0.009102
enacts,pr,rcp26,2051-2080,min,-1,0.005964
enacts,pr,rcp26,1991-2020,max,-1,0.013582
enacts,pr,rcp26,2021-2050,max,-1,0.014487
enacts,pr,rcp26,2051-2080,max,-1,0.014966
enacts,pr,rcp26,1991-2020,centile,1,0.009684
enacts,pr,rcp26,2021-2050,centile,1,0.009232
enacts,pr,rcp26,2051-2080,centile,1,0.007203
enacts,pr,rcp26,1991-2020,centile,10,0.011246
enacts,pr,rcp26,2021-2050,centile,10,0.010965
enacts,pr,rcp26,2051-2080,centile,10,0.00994
enacts,pr,rcp26,1991-2020,centile,50,0.012719
enacts,pr,rcp26,2021-2050,centile,50,0.012631
enacts,pr,rcp26,2051-2080,centile,50,0.012583
enacts,pr,rcp26,1991-2020,centile,90,0.013193
enacts,pr,rcp26,2021-2050,centile,90,0.014034
enacts,pr,rcp26,2051-2080,centile,90,0.01422
enacts,pr,rcp26,1991-2020,centile,99,0.013545
enacts,pr,rcp26,2021-2050,centile,99,0.014399
enacts,pr,rcp26,2051-2080,centile,99,0.01491
