stn,idx,rcp,hor,stat,centile,val
enacts,rain_season_end,rcp85,1991-2020,mean,-1,304.352991
enacts,rain_season_end,rcp85,1991-2020,mean,-1,304.352991
enacts,rain_season_end,rcp85,2021-2050,mean,-1,
enacts,rain_season_end,rcp85,2051-2080,mean,-1,
enacts,rain_season_end,rcp85,1991-2020,min,-1,300.45
enacts,rain_season_end,rcp85,2021-2050,min,-1,
enacts,rain_season_end,rcp85,2051-2080,min,-1,
enacts,rain_season_end,rcp85,1991-2020,max,-1,307.25
enacts,rain_season_end,rcp85,2021-2050,max,-1,
enacts,rain_season_end,rcp85,2051-2080,max,-1,
enacts,rain_season_end,rcp85,1991-2020,centile,1,300.873611
enacts,rain_season_end,rcp85,2021-2050,centile,1,
enacts,rain_season_end,rcp85,2051-2080,centile,1,
enacts,rain_season_end,rcp85,1991-2020,centile,10,302.341667
enacts,rain_season_end,rcp85,2021-2050,centile,10,
enacts,rain_season_end,rcp85,2051-2080,centile,10,
enacts,rain_season_end,rcp85,1991-2020,centile,50,304.633333
enacts,rain_season_end,rcp85,2021-2050,centile,50,
enacts,rain_season_end,rcp85,2051-2080,centile,50,
enacts,rain_season_end,rcp85,1991-2020,centile,90,305.913889
enacts,rain_season_end,rcp85,2021-2050,centile,90,
enacts,rain_season_end,rcp85,2051-2080,centile,90,
enacts,rain_season_end,rcp85,1991-2020,centile,99,307.095833
enacts,rain_season_end,rcp85,2021-2050,centile,99,
enacts,rain_season_end,rcp85,2051-2080,centile,99,
enacts,rain_season_end,rcp85,1991-2020,mean,-1,304.352991
enacts,rain_season_end,rcp85,2021-2050,mean,-1,
enacts,rain_season_end,rcp85,2051-2080,mean,-1,
enacts,rain_season_end,rcp85,1991-2020,min,-1,300.45
enacts,rain_season_end,rcp85,2021-2050,min,-1,
enacts,rain_season_end,rcp85,2051-2080,min,-1,
enacts,rain_season_end,rcp85,1991-2020,max,-1,307.25
enacts,rain_season_end,rcp85,2021-2050,max,-1,
enacts,rain_season_end,rcp85,2051-2080,max,-1,
enacts,rain_season_end,rcp85,1991-2020,centile,1,300.873611
enacts,rain_season_end,rcp85,2021-2050,centile,1,
enacts,rain_season_end,rcp85,2051-2080,centile,1,
enacts,rain_season_end,rcp85,1991-2020,centile,10,302.341667
enacts,rain_season_end,rcp85,2021-2050,centile,10,
enacts,rain_season_end,rcp85,2051-2080,centile,10,
enacts,rain_season_end,rcp85,1991-2020,centile,50,304.633333
enacts,rain_season_end,rcp85,2021-2050,centile,50,
enacts,rain_season_end,rcp85,2051-2080,centile,50,
enacts,rain_season_end,rcp85,1991-2020,centile,90,305.913889
enacts,rain_season_end,rcp85,2021-2050,centile,90,
enacts,rain_season_end,rcp85,2051-2080,centile,90,
enacts,rain_season_end,rcp85,1991-2020,centile,99,307.095833
enacts,rain_season_end,rcp85,2021-2050,centile,99,
enacts,rain_season_end,rcp85,2051-2080,centile,99,
enacts,rain_season_end,rcp85,1991-2020,mean,-1,304.352991
enacts,rain_season_end,rcp85,2021-2050,mean,-1,
enacts,rain_season_end,rcp85,2051-2080,mean,-1,
enacts,rain_season_end,rcp85,1991-2020,min,-1,300.45
enacts,rain_season_end,rcp85,2021-2050,min,-1,
enacts,rain_season_end,rcp85,2051-2080,min,-1,
enacts,rain_season_end,rcp85,1991-2020,max,-1,307.25
enacts,rain_season_end,rcp85,2021-2050,max,-1,
enacts,rain_season_end,rcp85,2051-2080,max,-1,
enacts,rain_season_end,rcp85,1991-2020,centile,1,300.873611
enacts,rain_season_end,rcp85,2021-2050,centile,1,
enacts,rain_season_end,rcp85,2051-2080,centile,1,
enacts,rain_season_end,rcp85,1991-2020,centile,10,302.341667
enacts,rain_season_end,rcp85,2021-2050,centile,10,
enacts,rain_season_end,rcp85,2051-2080,centile,10,
enacts,rain_season_end,rcp85,1991-2020,centile,50,304.633333
enacts,rain_season_end,rcp85,2021-2050,centile,50,
enacts,rain_season_end,rcp85,2051-2080,centile,50,
enacts,rain_season_end,rcp85,1991-2020,centile,90,305.913889
enacts,rain_season_end,rcp85,2021-2050,centile,90,
enacts,rain_season_end,rcp85,2051-2080,centile,90,
enacts,rain_season_end,rcp85,1991-2020,centile,99,307.095833
enacts,rain_season_end,rcp85,2021-2050,centile,99,
enacts,rain_season_end,rcp85,2051-2080,centile,99,
enacts,rain_season_end,rcp85,1991-2020,mean,-1,304.352991
enacts,rain_season_end,rcp85,2021-2050,mean,-1,
enacts,rain_season_end,rcp85,2051-2080,mean,-1,
enacts,rain_season_end,rcp85,1991-2020,min,-1,300.45
enacts,rain_season_end,rcp85,2021-2050,min,-1,
enacts,rain_season_end,rcp85,2051-2080,min,-1,
enacts,rain_season_end,rcp85,1991-2020,max,-1,307.25
enacts,rain_season_end,rcp85,2021-2050,max,-1,
enacts,rain_season_end,rcp85,2051-2080,max,-1,
enacts,rain_season_end,rcp85,1991-2020,centile,1,300.873611
enacts,rain_season_end,rcp85,2021-2050,centile,1,
enacts,rain_season_end,rcp85,2051-2080,centile,1,
enacts,rain_season_end,rcp85,1991-2020,centile,10,302.341667
enacts,rain_season_end,rcp85,2021-2050,centile,10,
enacts,rain_season_end,rcp85,2051-2080,centile,10,
enacts,rain_season_end,rcp85,1991-2020,centile,50,304.633333
enacts,rain_season_end,rcp85,2021-2050,centile,50,
enacts,rain_season_end,rcp85,2051-2080,centile,50,
enacts,rain_season_end,rcp85,1991-2020,centile,90,305.913889
enacts,rain_season_end,rcp85,2021-2050,centile,90,
enacts,rain_season_end,rcp85,2051-2080,centile,90,
enacts,rain_season_end,rcp85,1991-2020,centile,99,307.095833
enacts,rain_season_end,rcp85,2021-2050,centile,99,
enacts,rain_season_end,rcp85,2051-2080,centile,99,
