stn,idx,rcp,hor,stat,centile,val
enacts,rain_season_start,rcp26,1991-2020,mean,-1,172.150909
enacts,rain_season_start,rcp26,1991-2020,mean,-1,172.150909
enacts,rain_season_start,rcp26,2021-2050,mean,-1,
enacts,rain_season_start,rcp26,2051-2080,mean,-1,
enacts,rain_season_start,rcp26,1991-2020,min,-1,164.0
enacts,rain_season_start,rcp26,2021-2050,min,-1,
enacts,rain_season_start,rcp26,2051-2080,min,-1,
enacts,rain_season_start,rcp26,1991-2020,max,-1,183.711111
enacts,rain_season_start,rcp26,2021-2050,max,-1,
enacts,rain_season_start,rcp26,2051-2080,max,-1,
enacts,rain_season_start,rcp26,1991-2020,centile,1,164.723
enacts,rain_season_start,rcp26,2021-2050,centile,1,
enacts,rain_season_start,rcp26,2051-2080,centile,1,
enacts,rain_season_start,rcp26,1991-2020,centile,10,167.962222
enacts,rain_season_start,rcp26,2021-2050,centile,10,
enacts,rain_season_start,rcp26,2051-2080,centile,10,
enacts,rain_season_start,rcp26,1991-2020,centile,50,171.161111
enacts,rain_season_start,rcp26,2021-2050,centile,50,
enacts,rain_season_start,rcp26,2051-2080,centile,50,
enacts,rain_season_start,rcp26,1991-2020,centile,90,179.233333
enacts,rain_season_start,rcp26,2021-2050,centile,90,
enacts,rain_season_start,rcp26,2051-2080,centile,90,
enacts,rain_season_start,rcp26,1991-2020,centile,99,183.456111
enacts,rain_season_start,rcp26,2021-2050,centile,99,
enacts,rain_season_start,rcp26,2051-2080,centile,99,
enacts,rain_season_start,rcp26,1991-2020,mean,-1,172.150909
enacts,rain_season_start,rcp26,2021-2050,mean,-1,
enacts,rain_season_start,rcp26,2051-2080,mean,-1,
enacts,rain_season_start,rcp26,1991-2020,min,-1,164.0
enacts,rain_season_start,rcp26,2021-2050,min,-1,
enacts,rain_season_start,rcp26,2051-2080,min,-1,
enacts,rain_season_start,rcp26,1991-2020,max,-1,183.711111
enacts,rain_season_start,rcp26,2021-2050,max,-1,
enacts,rain_season_start,rcp26,2051-2080,max,-1,
enacts,rain_season_start,rcp26,1991-2020,centile,1,164.723
