stn,var,rcp,hor,stat,centile,val
enacts,tasmax,rcp26,1991-2020,mean,-1,310.494653
enacts,tasmax,rcp26,1991-2020,mean,-1,310.494653
enacts,tasmax,rcp26,2021-2050,mean,-1,311.262766
enacts,tasmax,rcp26,2051-2080,mean,-1,312.051398
enacts,tasmax,rcp26,1991-2020,min,-1,310.24405
enacts,tasmax,rcp26,2021-2050,min,-1,310.456709
enacts,tasmax,rcp26,2051-2080,min,-1,310.423919
enacts,tasmax,rcp26,1991-2020,max,-1,310.8521
enacts,tasmax,rcp26,2021-2050,max,-1,311.932008
enacts,tasmax,rcp26,2051-2080,max,-1,313.786444
enacts,tasmax,rcp26,1991-2020,centile,1,310.255573
enacts,tasmax,rcp26,2021-2050,centile,1,310.502352
enacts,tasmax,rcp26,2051-2080,centile,1,310.613039
enacts,tasmax,rcp26,1991-2020,centile,10,310.291414
enacts,tasmax,rcp26,2021-2050,centile,10,310.921862
enacts,tasmax,rcp26,2051-2080,centile,10,311.106378
enacts,tasmax,rcp26,1991-2020,centile,50,310.47173
enacts,tasmax,rcp26,2021-2050,centile,50,311.273378
enacts,tasmax,rcp26,2051-2080,centile,50,311.987835
enacts,tasmax,rcp26,1991-2020,centile,90,310.753372
enacts,tasmax,rcp26,2021-2050,centile,90,311.643536
enacts,tasmax,rcp26,2051-2080,centile,90,313.102347
enacts,tasmax,rcp26,1991-2020,centile,99,310.849861
enacts,tasmax,rcp26,2021-2050,centile,99,311.868168
enacts,tasmax,rcp26,2051-2080,centile,99,313.554015
enacts,tasmax,rcp26,1991-2020,mean,-1,310.494653
enacts,tasmax,rcp26,2021-2050,mean,-1,311.262766
enacts,tasmax,rcp26,2051-2080,mean,-1,312.051398
enacts,tasmax,rcp26,1991-2020,min,-1,310.24405
enacts,tasmax,rcp26,2021-2050,min,-1,310.456709
enacts,tasmax,rcp26,2051-2080,min,-1,310.423919
enacts,tasmax,rcp26,1991-2020,max,-1,310.8521
enacts,tasmax,rcp26,2021-2050,max,-1,311.932008
enacts,tasmax,rcp26,2051-2080,max,-1,313.786444
