stn,var,rcp,hor,stat,centile,val
enacts,tasmin,rcp26,1991-2020,mean,-1,295.08106
enacts,tasmin,rcp26,1991-2020,mean,-1,295.08106
enacts,tasmin,rcp26,2021-2050,mean,-1,295.985027
enacts,tasmin,rcp26,2051-2080,mean,-1,296.868484
enacts,tasmin,rcp26,1991-2020,min,-1,294.893288
enacts,tasmin,rcp26,2021-2050,min,-1,295.460964
enacts,tasmin,rcp26,2051-2080,min,-1,295.352919
enacts,tasmin,rcp26,1991-2020,max,-1,295.255052
enacts,tasmin,rcp26,2021-2050,max,-1,296.683608
enacts,tasmin,rcp26,2051-2080,max,-1,298.499693
enacts,tasmin,rcp26,1991-2020,centile,1,294.898298
enacts,tasmin,rcp26,2021-2050,centile,1,295.476581
enacts,tasmin,rcp26,2051-2080,centile,1,295.530794
enacts,tasmin,rcp26,1991-2020,centile,10,294.985507
enacts,tasmin,rcp26,2021-2050,centile,10,295.630311
enacts,tasmin,rcp26,2051-2080,centile,10,295.81377
enacts,tasmin,rcp26,1991-2020,centile,50,295.087553
enacts,tasmin,rcp26,2021-2050,centile,50,296.011173
enacts,tasmin,rcp26,2051-2080,centile,50,296.652966
enacts,tasmin,rcp26,1991-2020,centile,90,295.176117
enacts,tasmin,rcp26,2021-2050,centile,90,296.329118
enacts,tasmin,rcp26,2051-2080,centile,90,298.150474
enacts,tasmin,rcp26,1991-2020,centile,99,295.250707
enacts,tasmin,rcp26,2021-2050,centile,99,296.622377
enacts,tasmin,rcp26,2051-2080,centile,99,298.445528
enacts,tasmin,rcp26,1991-2020,mean,-1,295.08106
enacts,tasmin,rcp26,2021-2050,mean,-1,295.985027
enacts,tasmin,rcp26,2051-2080,mean,-1,296.868484
enacts,tasmin,rcp26,1991-2020,min,-1,294.893288
enacts,tasmin,rcp26,2021-2050,min,-1,295.460964
enacts,tasmin,rcp26,2051-2080,min,-1,295.352919
enacts,tasmin,rcp26,1991-2020,max,-1,295.255052
enacts,tasmin,rcp26,2021-2050,max,-1,296.683608
enacts,tasmin,rcp26,2051-2080,max,-1,298.499693
enacts,tasmin,rcp26,1991-2020,centile,1,294.898298
enacts,tasmin,rcp26,2021-2050,centile,1,295.476581
enacts,tasmin,rcp26,2051-2080,centile,1,295.530794
enacts,tasmin,rcp26,1991-2020,centile,10,294.985507
enacts,tasmin,rcp26,2021-2050,centile,10,295.630311
enacts,tasmin,rcp26,2051-2080,centile,10,295.81377
enacts,tasmin,rcp26,1991-2020,centile,50,295.087553
enacts,tasmin,rcp26,2021-2050,centile,50,296.011173
enacts,tasmin,rcp26,2051-2080,centile,50,296.652966
enacts,tasmin,rcp26,1991-2020,centile,90,295.176117
enacts,tasmin,rcp26,2021-2050,centile,90,296.329118
enacts,tasmin,rcp26,2051-2080,centile,90,298.150474
enacts,tasmin,rcp26,1991-2020,centile,99,295.250707
enacts,tasmin,rcp26,2021-2050,centile,99,296.622377
enacts,tasmin,rcp26,2051-2080,centile,99,298.445528
enacts,tasmin,rcp26,1991-2020,mean,-1,295.08106
enacts,tasmin,rcp26,2021-2050,mean,-1,295.985027
enacts,tasmin,rcp26,2051-2080,mean,-1,296.868484
enacts,tasmin,rcp26,1991-2020,min,-1,294.893288
enacts,tasmin,rcp26,2021-2050,min,-1,295.460964
enacts,tasmin,rcp26,2051-2080,min,-1,295.352919
enacts,tasmin,rcp26,1991-2020,max,-1,295.255052
enacts,tasmin,rcp26,2021-2050,max,-1,296.683608
enacts,tasmin,rcp26,2051-2080,max,-1,298.499693
enacts,tasmin,rcp26,1991-2020,centile,1,294.898298
enacts,tasmin,rcp26,2021-2050,centile,1,295.476581
enacts,tasmin,rcp26,2051-2080,centile,1,295.530794
enacts,tasmin,rcp26,1991-2020,centile,10,294.985507
enacts,tasmin,rcp26,2021-2050,centile,10,295.630311
enacts,tasmin,rcp26,2051-2080,centile,10,295.81377
enacts,tasmin,rcp26,1991-2020,centile,50,295.087553
enacts,tasmin,rcp26,2021-2050,centile,50,296.011173
enacts,tasmin,rcp26,2051-2080,centile,50,296.652966
enacts,tasmin,rcp26,1991-2020,centile,90,295.176117
enacts,tasmin,rcp26,2021-2050,centile,90,296.329118
enacts,tasmin,rcp26,2051-2080,centile,90,298.150474
