stn,idx,rcp,hor,stat,centile,val
enacts,tx_days_above,rcp26,1991-2020,mean,-1,0.920273
enacts,tx_days_above,rcp26,1991-2020,mean,-1,0.920273
enacts,tx_days_above,rcp26,2021-2050,mean,-1,
enacts,tx_days_above,rcp26,2051-2080,mean,-1,
enacts,tx_days_above,rcp26,1991-2020,min,-1,0.188889
enacts,tx_days_above,rcp26,2021-2050,min,-1,
enacts,tx_days_above,rcp26,2051-2080,min,-1,
enacts,tx_days_above,rcp26,1991-2020,max,-1,2.233333
enacts,tx_days_above,rcp26,2021-2050,max,-1,
enacts,tx_days_above,rcp26,2051-2080,max,-1,
enacts,tx_days_above,rcp26,1991-2020,centile,1,0.263556
enacts,tx_days_above,rcp26,2021-2050,centile,1,
enacts,tx_days_above,rcp26,2051-2080,centile,1,
enacts,tx_days_above,rcp26,1991-2020,centile,10,0.444444
enacts,tx_days_above,rcp26,2021-2050,centile,10,
enacts,tx_days_above,rcp26,2051-2080,centile,10,
enacts,tx_days_above,rcp26,1991-2020,centile,50,0.855556
enacts,tx_days_above,rcp26,2021-2050,centile,50,
enacts,tx_days_above,rcp26,2051-2080,centile,50,
enacts,tx_days_above,rcp26,1991-2020,centile,90,1.523333
enacts,tx_days_above,rcp26,2021-2050,centile,90,
enacts,tx_days_above,rcp26,2051-2080,centile,90,
enacts,tx_days_above,rcp26,1991-2020,centile,99,2.143111
enacts,tx_days_above,rcp26,2021-2050,centile,99,
enacts,tx_days_above,rcp26,2051-2080,centile,99,
enacts,tx_days_above,rcp26,1991-2020,mean,-1,0.920273
enacts,tx_days_above,rcp26,2021-2050,mean,-1,
enacts,tx_days_above,rcp26,2051-2080,mean,-1,
enacts,tx_days_above,rcp26,1991-2020,min,-1,0.188889
enacts,tx_days_above,rcp26,2021-2050,min,-1,
enacts,tx_days_above,rcp26,2051-2080,min,-1,
enacts,tx_days_above,rcp26,1991-2020,max,-1,2.233333
enacts,tx_days_above,rcp26,2021-2050,max,-1,
enacts,tx_days_above,rcp26,2051-2080,max,-1,
