stn,idx,rcp,hor,stat,centile,val
enacts,wet_days,rcp26,1991-2020,mean,-1,1.379697
enacts,wet_days,rcp26,1991-2020,mean,-1,1.379697
enacts,wet_days,rcp26,2021-2050,mean,-1,
enacts,wet_days,rcp26,2051-2080,mean,-1,
enacts,wet_days,rcp26,1991-2020,min,-1,0.638889
enacts,wet_days,rcp26,2021-2050,min,-1,
enacts,wet_days,rcp26,2051-2080,min,-1,
enacts,wet_days,rcp26,1991-2020,max,-1,2.833333
enacts,wet_days,rcp26,2021-2050,max,-1,
enacts,wet_days,rcp26,2051-2080,max,-1,
enacts,wet_days,rcp26,1991-2020,centile,1,0.722889
enacts,wet_days,rcp26,2021-2050,centile,1,
enacts,wet_days,rcp26,2051-2080,centile,1,
enacts,wet_days,rcp26,1991-2020,centile,10,1.143333
enacts,wet_days,rcp26,2021-2050,centile,10,
enacts,wet_days,rcp26,2051-2080,centile,10,
enacts,wet_days,rcp26,1991-2020,centile,50,1.327778
enacts,wet_days,rcp26,2021-2050,centile,50,
enacts,wet_days,rcp26,2051-2080,centile,50,
enacts,wet_days,rcp26,1991-2020,centile,90,1.703333
enacts,wet_days,rcp26,2021-2050,centile,90,
enacts,wet_days,rcp26,2051-2080,centile,90,
enacts,wet_days,rcp26,1991-2020,centile,99,2.368333
enacts,wet_days,rcp26,2021-2050,centile,99,
enacts,wet_days,rcp26,2051-2080,centile,99,
enacts,wet_days,rcp26,1991-2020,mean,-1,1.379697
enacts,wet_days,rcp26,2021-2050,mean,-1,
enacts,wet_days,rcp26,2051-2080,mean,-1,
enacts,wet_days,rcp26,1991-2020,min,-1,0.638889
enacts,wet_days,rcp26,2021-2050,min,-1,
enacts,wet_days,rcp26,2051-2080,min,-1,
enacts,wet_days,rcp26,1991-2020,max,-1,2.833333
enacts,wet_days,rcp26,2021-2050,max,-1,
enacts,wet_days,rcp26,2051-2080,max,-1,
enacts,wet_days,rcp26,1991-2020,centile,1,0.722889
enacts,wet_days,rcp26,2021-2050,centile,1,
enacts,wet_days,rcp26,2051-2080,centile,1,
enacts,wet_days,rcp26,1991-2020,centile,10,1.143333
enacts,wet_days,rcp26,2021-2050,centile,10,
enacts,wet_days,rcp26,2051-2080,centile,10,
enacts,wet_days,rcp26,1991-2020,centile,50,1.327778
enacts,wet_days,rcp26,2021-2050,centile,50,
enacts,wet_days,rcp26,2051-2080,centile,50,
enacts,wet_days,rcp26,1991-2020,centile,90,1.703333
enacts,wet_days,rcp26,2021-2050,centile,90,
enacts,wet_days,rcp26,2051-2080,centile,90,
enacts,wet_days,rcp26,1991-2020,centile,99,2.368333
enacts,wet_days,rcp26,2021-2050,centile,99,
enacts,wet_days,rcp26,2051-2080,centile,99,
enacts,wet_days,rcp26,1991-2020,mean,-1,1.379697
enacts,wet_days,rcp26,2021-2050,mean,-1,
enacts,wet_days,rcp26,2051-2080,mean,-1,
enacts,wet_days,rcp26,1991-2020,min,-1,0.638889
enacts,wet_days,rcp26,2021-2050,min,-1,
enacts,wet_days,rcp26,2051-2080,min,-1,
enacts,wet_days,rcp26,1991-2020,max,-1,2.833333
enacts,wet_days,rcp26,2021-2050,max,-1,
enacts,wet_days,rcp26,2051-2080,max,-1,
enacts,wet_days,rcp26,1991-2020,centile,1,0.722889
enacts,wet_days,rcp26,2021-2050,centile,1,
enacts,wet_days,rcp26,2051-2080,centile,1,
enacts,wet_days,rcp26,1991-2020,centile,10,1.143333
enacts,wet_days,rcp26,2021-2050,centile,10,
enacts,wet_days,rcp26,2051-2080,centile,10,
enacts,wet_days,rcp26,1991-2020,centile,50,1.327778
enacts,wet_days,rcp26,2021-2050,centile,50,
enacts,wet_days,rcp26,2051-2080,centile,50,
enacts,wet_days,rcp26,1991-2020,centile,90,1.703333
enacts,wet_days,rcp26,2021-2050,centile,90,
enacts,wet_days,rcp26,2051-2080,centile,90,
enacts,wet_days,rcp26,1991-2020,centile,99,2.368333
enacts,wet_days,rcp26,2021-2050,centile,99,
enacts,wet_days,rcp26,2051-2080,centile,99,
enacts,wet_days,rcp26,1991-2020,mean,-1,1.379697
enacts,wet_days,rcp26,2021-2050,mean,-1,
enacts,wet_days,rcp26,2051-2080,mean,-1,
enacts,wet_days,rcp26,1991-2020,min,-1,0.638889
enacts,wet_days,rcp26,2021-2050,min,-1,
enacts,wet_days,rcp26,2051-2080,min,-1,
enacts,wet_days,rcp26,1991-2020,max,-1,2.833333
enacts,wet_days,rcp26,2021-2050,max,-1,
enacts,wet_days,rcp26,2051-2080,max,-1,
enacts,wet_days,rcp26,1991-2020,centile,1,0.722889
enacts,wet_days,rcp26,2021-2050,centile,1,
enacts,wet_days,rcp26,2051-2080,centile,1,
enacts,wet_days,rcp26,1991-2020,centile,10,1.143333
enacts,wet_days,rcp26,2021-2050,centile,10,
enacts,wet_days,rcp26,2051-2080,centile,10,
enacts,wet_days,rcp26,1991-2020,centile,50,1.327778
enacts,wet_days,rcp26,2021-2050,centile,50,
enacts,wet_days,rcp26,2051-2080,centile,50,
enacts,wet_days,rcp26,1991-2020,centile,90,1.703333
enacts,wet_days,rcp26,2021-2050,centile,90,
enacts,wet_days,rcp26,2051-2080,centile,90,
enacts,wet_days,rcp26,1991-2020,centile,99,2.368333
enacts,wet_days,rcp26,2021-2050,centile,99,
enacts,wet_days,rcp26,2051-2080,centile,99,
