year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,49.5,44.7,53.85897435897436,63.86666666666667,39.88333333333333,51.016666666666666,61.75000000000001,37.0,51.36507936507937,64.83333333333334
1992,,40.833333333333336,50.97435897435898,59.1,40.93333333333334,53.458333333333336,67.45000000000002,40.0,53.92857142857143,71.33333333333334
1993,,39.8,53.76923076923077,69.93333333333334,41.516666666666666,52.874999999999986,65.70000000000002,41.666666666666664,54.24603174603175,67.6666666666667
1994,,41.2,56.564102564102555,67.33333333333334,42.483333333333334,53.708333333333336,66.30000000000001,41.333333333333336,55.44444444444445,70.83333333333334
1995,,44.2,56.05128205128206,63.56666666666667,36.65,55.65,73.35000000000002,40.5,55.230158730158735,67.00000000000007
1996,,39.36666666666666,61.62820512820513,83.10000000000001,38.8,54.40833333333334,72.35000000000001,41.666666666666664,56.333333333333336,75.83333333333334
1997,,41.93333333333333,52.05128205128205,61.2,41.0,53.666666666666664,71.06666666666668,41.0,54.373015873015866,69.83333333333337
1998,,45.233333333333334,59.307692307692314,75.8,46.75,62.74166666666665,79.80000000000001,45.333333333333336,60.96031746031746,78.66666666666669
1999,,39.5,50.089743589743584,59.36666666666667,38.1,50.425,66.35000000000002,35.166666666666664,49.896825396825406,65.83333333333336
2000,,40.36666666666667,62.166666666666664,85.63333333333335,36.449999999999996,54.31666666666665,89.66666666666667,40.0,58.126984126984134,90.00000000000001
2001,,41.6,54.679487179487175,64.43333333333334,37.11666666666667,53.133333333333326,71.61666666666666,40.166666666666664,52.730158730158735,72.83333333333333
2002,,36.233333333333334,55.910256410256416,75.7,43.5,55.59999999999999,71.01666666666667,39.166666666666664,55.34126984126982,73.50000000000001
2003,,50.0,62.320512820512825,81.76666666666667,40.483333333333334,55.983333333333334,69.38333333333334,45.5,59.06349206349207,73.00000000000001
2004,,45.39999999999999,55.21794871794872,67.46666666666667,49.31666666666667,55.93333333333334,64.0,46.333333333333336,56.103174603174594,66.83333333333333
2005,,50.233333333333334,59.71794871794873,72.06666666666668,44.25,58.166666666666664,72.15,41.0,58.42857142857143,71.50000000000001
2006,,38.233333333333334,50.46153846153846,59.233333333333334,45.2,54.66666666666667,65.76666666666667,40.666666666666664,53.984126984126966,66.1666666666667
2007,,53.333333333333336,65.25641025641026,79.03333333333333,43.666666666666664,53.81666666666668,69.26666666666668,41.0,54.13492063492063,69.00000000000001
2008,,47.6,55.85897435897436,66.2,37.983333333333334,54.925,76.1,39.166666666666664,60.63492063492062,80.50000000000004
2009,,38.8,55.97435897435897,64.7,47.75,60.85,70.70000000000002,39.166666666666664,54.86507936507937,78.50000000000001
2010,,38.53333333333333,56.30769230769231,73.30000000000001,51.01666666666666,65.44166666666668,76.6,44.333333333333336,60.142857142857146,85.00000000000001
2011,,42.900000000000006,58.61538461538461,70.30000000000001,43.583333333333336,64.65833333333333,91.95,38.5,53.349206349206355,68.16666666666669
2012,,48.46666666666667,55.3974358974359,65.4,42.93333333333334,59.666666666666664,81.36666666666667,44.833333333333336,57.126984126984134,73.5
2013,,40.333333333333336,52.56410256410257,65.3,36.6,51.208333333333336,68.08333333333334,51.0,64.65873015873015,78.66666666666667
2014,,43.300000000000004,59.14102564102563,72.16666666666667,30.866666666666667,56.65,84.30000000000004,43.0,56.32539682539682,68.66666666666674
2015,,47.6,60.14102564102564,77.53333333333335,48.0,59.05,74.9,39.5,56.73015873015873,73.00000000000001
2016,,44.766666666666666,58.16666666666667,74.9,44.60000000000001,60.67499999999999,76.35000000000001,54.0,62.80952380952381,72.0
2017,,54.03333333333333,60.62820512820513,68.13333333333334,42.93333333333333,50.824999999999996,62.50000000000001,48.0,62.96825396825396,77.6666666666667
2018,,48.866666666666674,67.57692307692308,87.03333333333333,35.91666666666667,54.541666666666664,74.4,46.333333333333336,59.158730158730165,79.0
2019,,48.233333333333334,62.17948717948718,82.83333333333334,43.35,57.05,78.05000000000003,44.833333333333336,60.08730158730158,77.83333333333334
2020,,36.53333333333333,51.320512820512825,66.13333333333334,41.78333333333333,55.491666666666674,70.7,39.166666666666664,54.83333333333334,68.00000000000001
2021,,40.0,51.064102564102555,63.6,46.2,61.75833333333334,76.25000000000001,45.833333333333336,59.06349206349207,85.16666666666669
2022,,42.83333333333333,57.56410256410257,72.36666666666667,42.516666666666666,55.85,70.15,41.0,56.51587301587303,69.83333333333334
2023,,47.03333333333333,62.0897435897436,76.60000000000001,41.9,57.1,72.6,41.0,62.7936507936508,79.33333333333333
2024,,39.333333333333336,58.56410256410257,74.4,45.099999999999994,63.81666666666666,81.15,46.333333333333336,57.05555555555556,72.66666666666667
2025,,47.3,56.371794871794876,63.93333333333334,48.233333333333334,63.69166666666666,78.36666666666669,46.5,61.14285714285713,80.83333333333333
2026,,40.3,53.28205128205128,63.53333333333333,41.9,59.775,73.70000000000002,37.0,59.23809523809524,74.66666666666669
2027,,53.53333333333333,63.01282051282051,76.36666666666667,45.14999999999999,62.93333333333332,82.86666666666669,51.833333333333336,60.11111111111112,69.6666666666667
2028,,39.800000000000004,50.37179487179487,63.966666666666676,37.983333333333334,53.5,72.71666666666667,35.166666666666664,53.58730158730158,79.0
2029,,51.36666666666667,57.19230769230769,66.43333333333334,47.65,58.86666666666666,75.16666666666669,46.666666666666664,59.523809523809526,74.83333333333337
2030,,50.0,67.55128205128204,87.53333333333333,33.53333333333333,52.22500000000001,71.5,42.666666666666664,56.19047619047619,78.66666666666667
2031,,52.06666666666667,62.0,81.16666666666669,39.800000000000004,52.00833333333334,66.88333333333334,41.0,58.595238095238095,71.66666666666671
2032,,46.0,66.25641025641025,88.53333333333333,38.11666666666667,53.65,63.60000000000002,48.0,61.86507936507937,75.00000000000001
2033,,48.43333333333334,64.6025641025641,89.66666666666667,41.43333333333333,56.883333333333326,74.43333333333334,50.0,64.54761904761904,81.83333333333334
2034,,42.36666666666667,50.320512820512825,60.43333333333334,46.733333333333334,61.833333333333336,79.9,47.5,63.277777777777764,82.33333333333334
