year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,0.0,3.5,3.5,0.1666666666666643,0.3333333333333357,17.5,17.5,-16.333333333333336,-0.1666666666666643,-5.666666666666664,-6.0,-14.333333333333336,6.166666666666664,5.0,0.0,0.5,-3.0,9.333333333333336,11.666666666666664,9.666666666666664,2.5,-0.5,-0.5,-9.166666666666664,-12.5,-5.833333333333336,-2.1666666666666643,-4.5,-9.666666666666664,-14.0,-13.666666666666664,-15.166666666666664,8.333333333333336,9.833333333333336,10.5,11.666666666666664,11.166666666666664,-1.0,-3.5,1.5,-0.8333333333333357,2.1666666666666643,1.0,23.0,22.66666666666667,18.83333333333333,6.833333333333336,1.1666666666666643,15.333333333333329,15.333333333333329,2.1666666666666643,8.0,-1.3333333333333357,-1.3333333333333357,10.5
1992,,34.66666666666667,44.16666666666667,20.5,20.5,5.5,4.5,17.66666666666667,5.833333333333336,10.166666666666664,10.0,9.833333333333336,2.0,5.166666666666664,1.5,-10.666666666666664,-10.5,3.1666666666666643,-1.5,-3.1666666666666643,-5.333333333333336,-8.166666666666664,-8.5,-1.5,-1.5,13.166666666666664,15.166666666666671,17.33333333333333,21.83333333333333,-5.166666666666664,-4.666666666666664,-4.666666666666664,-5.666666666666664,-6.5,-9.5,-8.333333333333336,-9.5,-14.0,-14.5,-14.5,6.666666666666664,9.0,9.0,-4.5,-4.5,-4.5,-0.1666666666666643,5.333333333333336,31.16666666666667,26.16666666666667,-0.3333333333333357,0.8333333333333357,-2.5,-2.5,7.333333333333336
1993,,40.83333333333333,42.83333333333333,27.0,27.5,3.0,2.6666666666666643,-0.5,-4.166666666666664,-0.1666666666666643,-0.6666666666666643,-1.5,-10.5,-15.5,-15.5,8.166666666666664,8.333333333333336,-2.5,-3.0,-3.5,21.16666666666667,15.0,13.666666666666664,8.166666666666664,-1.6666666666666643,0.1666666666666643,4.333333333333336,3.5,5.666666666666664,0.6666666666666643,-3.0,-2.0,-7.333333333333336,-6.5,-13.666666666666664,-13.833333333333336,-14.166666666666664,5.0,1.5,1.5,-6.5,-3.1666666666666643,-5.833333333333336,13.5,12.5,15.5,-1.1666666666666643,-7.833333333333336,17.5,15.5,3.5,2.5,22.0,18.16666666666667,5.5
1994,,18.0,25.66666666666667,10.333333333333336,10.0,2.6666666666666643,4.666666666666664,-4.0,0.1666666666666643,5.333333333333336,3.3333333333333357,2.8333333333333357,-11.666666666666664,-14.166666666666664,-14.833333333333336,9.0,9.166666666666664,-1.5,-1.3333333333333357,2.3333333333333357,4.833333333333336,1.6666666666666643,1.5,-6.333333333333336,-8.166666666666664,15.333333333333329,14.5,-13.166666666666664,-7.333333333333336,18.16666666666667,11.833333333333336,21.33333333333333,3.5,3.5,11.5,16.66666666666667,19.16666666666667,-2.1666666666666643,-4.833333333333336,1.1666666666666643,11.666666666666664,8.166666666666664,7.833333333333336,24.83333333333333,28.66666666666667,25.83333333333333,-1.3333333333333357,-2.3333333333333357,14.5,14.5,-9.833333333333336,-12.833333333333336,9.666666666666664,6.333333333333336,16.5
1995,,36.0,37.0,45.16666666666667,41.33333333333333,5.5,5.5,10.0,-12.666666666666664,11.166666666666664,14.833333333333329,8.166666666666664,-7.5,-8.333333333333336,-6.666666666666664,-4.666666666666664,-9.0,4.0,0.1666666666666643,0.6666666666666643,12.0,10.166666666666664,10.833333333333336,-8.833333333333336,-5.5,-0.1666666666666643,0.6666666666666643,3.3333333333333357,3.0,19.83333333333333,17.0,10.833333333333336,-16.5,-16.166666666666664,12.333333333333336,22.5,17.5,-8.166666666666664,-14.5,-9.833333333333336,7.0,6.333333333333336,-2.5,5.333333333333336,9.166666666666664,5.166666666666664,8.5,9.5,14.5,14.5,3.5,2.6666666666666643,5.333333333333336,2.6666666666666643,5.833333333333336
1996,,15.5,15.5,14.833333333333329,14.166666666666664,-4.5,-4.5,8.666666666666664,-26.0,21.33333333333333,22.5,17.66666666666667,-12.5,-12.5,-11.666666666666664,-5.666666666666664,-5.666666666666664,10.5,9.666666666666664,1.0,33.66666666666667,29.0,26.33333333333333,10.5,7.5,6.0,8.0,-6.666666666666664,-3.0,25.5,21.66666666666667,20.5,17.33333333333333,17.33333333333333,-10.833333333333336,-8.166666666666664,-7.833333333333336,36.16666666666667,26.0,30.0,1.6666666666666643,-1.3333333333333357,-2.6666666666666643,-7.333333333333336,-10.5,-11.833333333333336,-8.166666666666664,-6.0,4.666666666666664,4.666666666666664,10.333333333333336,2.5,33.33333333333333,31.5,11.166666666666664
1997,,20.33333333333333,20.33333333333333,32.66666666666667,28.5,13.5,13.5,1.5,-2.3333333333333357,-3.0,-4.666666666666664,-7.166666666666664,6.5,6.5,6.5,-6.0,-1.6666666666666643,8.5,6.666666666666664,5.5,-0.8333333333333357,-8.333333333333336,-8.5,-3.8333333333333357,-6.333333333333336,10.333333333333336,12.166666666666664,0.5,-0.1666666666666643,-4.5,-4.833333333333336,-4.666666666666664,5.833333333333336,6.666666666666664,-8.333333333333336,-10.0,-9.333333333333336,4.166666666666664,2.3333333333333357,-1.0,-12.666666666666664,-14.0,-9.0,28.0,34.83333333333333,31.16666666666667,2.3333333333333357,13.333333333333336,12.5,12.5,-0.1666666666666643,1.5,-0.8333333333333357,-1.5,3.8333333333333357
1998,,18.5,18.5,37.5,33.5,44.33333333333333,43.5,7.333333333333336,17.83333333333333,1.8333333333333357,1.6666666666666643,-9.666666666666664,29.5,29.5,29.16666666666667,-2.6666666666666643,-3.8333333333333357,27.83333333333333,23.0,19.5,20.16666666666667,10.0,9.666666666666664,7.666666666666664,3.8333333333333357,9.5,14.166666666666664,-3.5,-4.166666666666664,6.0,5.166666666666664,4.833333333333336,4.5,4.5,-14.0,-4.5,-7.166666666666664,14.666666666666671,18.83333333333333,21.0,17.5,17.5,17.5,-0.6666666666666643,4.833333333333336,3.8333333333333357,17.83333333333333,17.0,11.0,11.166666666666664,1.0,-3.6666666666666643,17.83333333333333,17.5,-5.166666666666664
1999,,13.333333333333336,16.33333333333333,33.0,33.0,27.5,22.5,-11.0,1.5,15.0,15.666666666666671,9.333333333333336,-0.5,-1.0,-1.3333333333333357,-3.5,-3.5,6.166666666666664,0.1666666666666643,-1.5,-7.333333333333336,-10.833333333333336,-11.666666666666664,-10.666666666666664,-14.333333333333336,-8.5,-8.666666666666664,-4.0,-8.666666666666664,7.0,5.666666666666664,3.5,-17.5,-17.5,-10.166666666666664,-9.333333333333336,-9.166666666666664,-9.333333333333336,-15.0,-15.0,-4.666666666666664,-10.0,-4.333333333333336,10.333333333333336,10.5,7.666666666666664,12.5,12.333333333333336,8.0,7.833333333333336,6.0,5.5,-13.0,-14.0,0.1666666666666643
2000,,39.66666666666667,40.5,9.0,5.333333333333336,-9.0,-9.5,-9.666666666666664,-17.333333333333336,13.833333333333336,15.833333333333329,8.666666666666664,-8.333333333333336,-13.5,-8.5,8.333333333333336,8.5,8.5,2.8333333333333357,7.5,48.5,44.66666666666667,42.66666666666667,-3.8333333333333357,-8.333333333333336,-7.333333333333336,-10.5,-3.0,-2.3333333333333357,-9.333333333333336,-9.833333333333336,-9.333333333333336,5.833333333333336,10.833333333333336,-20.666666666666668,-13.0,-10.166666666666664,15.666666666666671,10.166666666666664,11.5,16.16666666666667,7.5,15.5,40.0,46.5,46.33333333333333,-7.5,-5.0,18.5,18.5,11.5,10.166666666666664,20.66666666666667,18.83333333333333,9.666666666666664
