year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,2728.2361167271933,2710.488527310823,2726.158276074205,2741.847665916874,2715.981464614915,2737.1877326600697,2764.9490984905337,2724.9988184876674,2754.8382774454863,2787.246893165445
1992,,2677.261111509616,2705.799411002326,2723.8017071440086,2677.7885115625268,2726.847775313419,2756.126678862194,2702.7492638420304,2747.6032730616184,2783.5079601872517
1993,,2713.6508521209944,2730.1329136349236,2748.480367014391,2709.7183513865057,2732.47503385467,2761.0805800070807,2715.605511840908,2751.240722441859,2797.538174182157
1994,,2698.7170081190857,2718.731715654566,2729.7334003100364,2696.314330154331,2726.812036928522,2748.521568637985,2703.5740555490343,2745.890519336767,2779.5312574475747
1995,,2698.4197991997985,2715.351044802559,2737.5634520680314,2705.1744415358285,2733.1217934304614,2782.439276574293,2715.8992782391174,2752.3073618563067,2804.9174641017194
1996,,2691.2626582647526,2729.8775680877197,2767.4817556481257,2715.634127840079,2749.5448331623707,2781.1475210748745,2724.687686232658,2769.1167376230196,2816.810400385425
1997,,2730.038978753836,2740.78033727789,2752.5697573099865,2733.7904872379513,2754.0093497730786,2779.119188377336,2745.766649684321,2774.1214640104545,2786.16067025386
1998,,2703.7788241181797,2737.5702945227617,2763.823877053446,2730.7146269695213,2750.6191609212606,2787.557132845761,2739.5610107042585,2768.278849533895,2807.8669303010333
1999,,2728.6139888915372,2734.733193614842,2739.1492457335116,2699.5777358471178,2730.385874230064,2757.0724144518886,2712.421731245587,2748.466120819512,2784.935154396409
2000,,2723.770266966635,2752.273684866833,2773.8283208635294,2707.5578167595468,2749.2960876065417,2784.174925282146,2714.5225834985467,2770.244270973337,2806.0444849149408
2001,,2702.503595261746,2727.151535334404,2757.6108333982406,2714.4992657136418,2750.929082145351,2781.596325937703,2725.0926799410636,2770.0644174597833,2805.8249985097946
2002,,2689.9837181477205,2725.509546119037,2768.2191873814954,2704.1499113806944,2739.019314263558,2766.5904034512637,2730.2660086524943,2761.138676389729,2791.773015040604
2003,,2727.3916092586337,2755.6835659353624,2785.7337203837837,2726.7974032306815,2752.290027753354,2782.874491037677,2746.488650827566,2772.290173619881,2797.682506126995
2004,,2726.049154375127,2754.593662735386,2791.078596170558,2740.784164251174,2769.6982439039643,2801.555270542297,2749.0676083243316,2792.6818609116553,2823.309638118604
2005,,2728.2889411431097,2751.7348584665606,2771.1893664124273,2748.7111048657425,2770.2163127100816,2812.9478889294796,2765.5921975732326,2791.611266187535,2830.490451273493
