year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,212.66666666666666,206.0,203.0,236.0,250.0,199.83333333333334,206.83333333333334,238.5,231.33333333333334,198.16666666666666,243.66666666666666,233.0,239.66666666666666,241.0,229.83333333333334,238.83333333333334,216.16666666666666,190.0,194.0,208.83333333333334,214.66666666666666,214.83333333333334,210.0,209.5,208.16666666666666,214.83333333333334,218.83333333333334,199.66666666666666,199.0,182.33333333333334,187.0,218.5,224.33333333333334,212.83333333333334,200.0,200.0,228.16666666666666,214.33333333333334,208.0,193.5,190.83333333333334,191.16666666666666,232.16666666666666,233.83333333333334,235.0,248.33333333333334,250.0,252.0,195.16666666666666,190.66666666666666,224.66666666666666,222.33333333333334,227.0,226.5,226.83333333333334,224.66666666666666,218.16666666666666
1992,,259.8333333333333,263.8333333333333,222.0,229.33333333333334,236.16666666666666,237.83333333333334,232.0,225.83333333333334,214.83333333333334,222.5,174.66666666666666,173.5,178.33333333333334,239.5,239.0,241.0,174.5,176.5,202.33333333333334,210.66666666666666,213.0,190.83333333333334,191.83333333333334,194.5,198.0,203.16666666666666,234.16666666666666,243.83333333333334,227.0,230.5,188.0,185.83333333333334,188.0,187.0,186.33333333333334,205.66666666666666,219.16666666666666,218.0,216.83333333333334,196.0,206.83333333333334,213.83333333333334,225.33333333333334,213.33333333333334,180.33333333333334,180.83333333333334,192.33333333333334,217.16666666666666,213.33333333333334,219.5,212.16666666666666,220.0,230.83333333333334,188.33333333333334,201.33333333333334,191.16666666666666
1993,,242.5,240.0,229.33333333333334,243.33333333333334,233.0,240.83333333333334,245.33333333333334,232.5,229.5,224.33333333333334,212.33333333333334,213.5,218.33333333333334,245.83333333333334,252.66666666666666,244.33333333333334,202.5,219.66666666666666,208.0,217.5,222.5,250.16666666666666,245.0,248.5,203.5,203.0,197.83333333333334,197.0,201.33333333333334,211.0,182.5,183.0,190.33333333333334,206.0,198.83333333333334,238.0,238.0,235.66666666666666,234.66666666666666,237.33333333333334,232.33333333333334,235.0,235.66666666666666,243.33333333333334,188.16666666666666,192.0,185.16666666666666,202.16666666666666,200.66666666666666,238.66666666666666,236.0,207.0,211.5,229.16666666666666,234.5,190.0
1994,,195.66666666666666,197.66666666666666,201.83333333333334,205.66666666666666,219.5,220.0,247.16666666666666,243.83333333333334,212.66666666666666,238.83333333333334,215.16666666666666,211.0,212.5,235.0,237.0,235.0,207.16666666666666,211.66666666666666,213.83333333333334,213.5,214.0,238.83333333333334,230.83333333333334,237.5,195.33333333333334,192.83333333333334,212.0,211.33333333333334,213.33333333333334,225.66666666666666,242.0,242.33333333333334,247.5,213.33333333333334,215.33333333333334,229.0,242.0,237.0,236.83333333333334,227.5,227.66666666666666,235.0,251.5,248.33333333333334,236.33333333333334,241.0,231.16666666666666,198.0,196.16666666666666,249.0,250.83333333333334,233.33333333333334,230.5,229.0,223.5,226.16666666666666
1995,,266.8333333333333,263.0,221.83333333333334,241.66666666666666,232.5,238.33333333333334,231.0,221.16666666666666,224.83333333333334,236.83333333333334,224.0,222.0,226.0,238.5,242.33333333333334,237.5,199.5,212.0,218.0,217.5,221.33333333333334,250.83333333333334,239.83333333333334,253.66666666666666,210.33333333333334,210.66666666666666,229.0,224.0,212.83333333333334,222.66666666666666,231.83333333333334,235.16666666666666,233.66666666666666,209.66666666666666,210.0,232.0,237.0,232.16666666666666,218.16666666666666,208.0,222.16666666666666,219.16666666666666,232.0,211.0,208.83333333333334,226.33333333333334,216.66666666666666,219.0,223.5,187.33333333333334,182.16666666666666,204.33333333333334,205.83333333333334,233.16666666666666,235.0,229.66666666666666
1996,,232.16666666666666,234.0,240.33333333333334,246.66666666666666,231.33333333333334,247.66666666666666,221.5,213.83333333333334,222.0,205.0,246.83333333333334,248.0,247.33333333333334,231.16666666666666,243.33333333333334,238.83333333333334,223.83333333333334,226.83333333333334,217.83333333333334,218.5,226.0,234.83333333333334,233.16666666666666,237.33333333333334,233.66666666666666,236.83333333333334,228.83333333333334,234.0,223.5,230.66666666666666,236.16666666666666,232.83333333333334,234.83333333333334,255.0,253.0,222.83333333333334,218.33333333333334,219.0,240.66666666666666,231.16666666666666,232.16666666666666,220.33333333333334,224.0,212.0,235.66666666666666,228.33333333333334,236.66666666666666,241.0,241.0,226.0,232.0,227.33333333333334,230.5,240.16666666666666,239.0,225.33333333333334
1997,,242.5,244.5,203.33333333333334,210.33333333333334,225.16666666666666,216.5,232.0,228.83333333333334,254.83333333333334,196.33333333333334,243.5,250.33333333333334,249.66666666666666,227.5,224.5,225.0,199.33333333333334,203.83333333333334,217.83333333333334,216.5,223.16666666666666,226.33333333333334,213.0,221.0,227.5,229.66666666666666,209.0,203.5,233.0,233.5,212.5,221.0,212.0,234.5,236.66666666666666,227.5,228.0,227.0,215.0,207.33333333333334,212.16666666666666,182.33333333333334,185.16666666666666,180.0,248.0,253.33333333333334,258.5,252.5,258.0,215.83333333333334,204.83333333333334,198.66666666666666,208.33333333333334,215.33333333333334,219.66666666666666,212.66666666666666
1998,,233.66666666666666,249.0,242.83333333333334,236.66666666666666,238.16666666666666,241.0,268.0,261.0,214.0,228.33333333333334,252.33333333333334,257.8333333333333,254.33333333333334,236.16666666666666,235.16666666666666,232.0,220.66666666666666,219.66666666666666,245.0,254.16666666666666,262.1666666666667,227.0,219.16666666666666,220.5,205.83333333333334,215.33333333333334,244.5,251.83333333333334,235.83333333333334,238.0,228.66666666666666,239.5,234.5,234.5,232.83333333333334,216.33333333333334,214.5,226.0,221.0,211.16666666666666,217.16666666666666,253.66666666666666,252.66666666666666,254.0,219.5,242.0,215.5,238.16666666666666,235.16666666666666,222.0,209.0,206.5,209.0,227.0,217.16666666666666,245.16666666666666
1999,,228.0,229.33333333333334,237.0,243.16666666666666,221.5,229.16666666666666,253.83333333333334,247.0,208.33333333333334,242.5,230.0,227.33333333333334,240.0,245.0,247.16666666666666,237.83333333333334,228.16666666666666,235.83333333333334,218.83333333333334,220.0,235.83333333333334,167.33333333333334,173.33333333333334,174.66666666666666,187.83333333333334,192.5,231.5,229.33333333333334,203.0,201.0,238.83333333333334,239.5,237.33333333333334,216.33333333333334,219.16666666666666,213.83333333333334,217.33333333333334,218.66666666666666,198.83333333333334,205.0,202.66666666666666,233.16666666666666,241.16666666666666,238.5,238.33333333333334,239.0,236.16666666666666,223.0,230.16666666666666,188.66666666666666,185.5,216.5,210.0,198.66666666666666,191.33333333333334,226.66666666666666
2000,,241.33333333333334,259.8333333333333,244.33333333333334,247.66666666666666,222.16666666666666,236.0,199.33333333333334,192.83333333333334,206.5,215.16666666666666,246.66666666666666,250.66666666666666,256.0,245.83333333333334,242.16666666666666,246.66666666666666,235.0,235.0,236.83333333333334,245.16666666666666,247.66666666666666,242.66666666666666,233.33333333333334,252.66666666666666,181.66666666666666,179.83333333333334,247.0,248.5,221.16666666666666,235.83333333333334,214.33333333333334,214.16666666666666,212.0,233.0,233.16666666666666,242.66666666666666,240.33333333333334,244.66666666666666,229.5,221.0,218.16666666666666,216.0,223.5,213.0,237.0,243.33333333333334,236.83333333333334,193.66666666666666,191.33333333333334,214.0,212.5,255.66666666666666,244.66666666666666,233.83333333333334,239.0,212.16666666666666
