year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,0.0,0.5,0.666666666666667,3.5,3.5,-6.0,-3.5,9.0,9.0,-6.0,-6.0,7.833333333333334,12.166666666666668,13.0,11.666666666666668,5.166666666666666,0.0,-6.0,-6.0,-1.0,2.0,1.666666666666667,-6.0,-6.0,-6.0,-6.0,-6.0,-1.0,-1.0,-6.0,-6.0,-1.0,-1.0,-1.833333333333333,-6.0,-6.0,0.0,0.5,0.0,-6.0,-6.0,-6.0,-6.0,-3.5,-5.166666666666667,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,3.5,5.166666666666666,-0.33333333333333304
1992,,-6.0,-1.0,-6.0,-6.0,-4.0,0.0,-6.0,-6.0,-6.0,-0.666666666666667,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,3.666666666666666,2.666666666666666,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.166666666666667,1.833333333333333,-1.0,-1.0,-6.0,-6.0,-6.0,-6.0,-6.0
1993,,-6.0,-1.833333333333333,3.0,2.333333333333334,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.166666666666667,-6.0,-1.833333333333333,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.16666666666666696,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,3.0,9.833333333333334,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-4.333333333333333,-4.333333333333333,-6.0,-6.0,-6.0,-6.0,-1.833333333333333,-3.1666666666666665,0.0,-6.0,-6.0,-6.0
1994,,4.0,4.0,-6.0,-1.833333333333333,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-0.666666666666667,0.0,9.666666666666666,13.166666666666668,8.333333333333334,-6.0,-6.0,-0.16666666666666696,8.166666666666666,7.333333333333334,-6.0,-6.0,-6.0,-1.0,-6.0,-5.166666666666667,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-1.0,-3.5,-5.166666666666667,-6.0,-6.0,30.833333333333336,29.333333333333336,-6.0,-4.166666666666667,-5.166666666666667,-1.833333333333333,-6.0
1995,,-6.0,-3.5,-6.0,-6.0,-1.0,-1.0,-4.666666666666667,-1.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.666666666666667,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-2.6666666666666665,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-5.166666666666667,1.0,-6.0,-6.0,1.0,1.666666666666667,-1.333333333333333
1996,,-6.0,-4.333333333333333,4.0,4.0,-6.0,-3.0,-6.0,-6.0,-1.333333333333333,-6.0,2.166666666666666,4.666666666666666,5.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,4.333333333333334,1.0,-0.16666666666666696,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-3.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,2.833333333333334,2.833333333333334,-6.0,-6.0,-6.0,-4.333333333333333,1.0,4.166666666666666,0.666666666666667
1997,,-6.0,-6.0,4.0,3.0,-6.0,-6.0,-4.333333333333333,-3.3333333333333335,-6.0,-6.0,14.166666666666668,16.666666666666668,13.0,-6.0,-6.0,-6.0,-6.0,-6.0,-2.0,0.0,15.0,-2.6666666666666665,-1.833333333333333,-1.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-3.5,2.333333333333334,-6.0,-4.5,-1.0,-2.0,-4.333333333333333,-1.0,-6.0
1998,,-3.5,2.0,3.833333333333334,0.833333333333333,-1.0,-1.0,0.0,-1.0,-6.0,-6.0,12.5,14.5,26.166666666666664,-6.0,-6.0,-6.0,-6.0,-3.0,-6.0,-6.0,2.5,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-3.5,-1.0,-1.0,-1.0,-1.0,-6.0,-6.0,-6.0,-6.0,-3.1666666666666665,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.16666666666666696,2.0,17.166666666666668,-1.833333333333333,-2.6666666666666665,4.333333333333334
1999,,-6.0,-6.0,-2.6666666666666665,-1.0,-6.0,-4.333333333333333,14.333333333333332,16.0,-6.0,3.333333333333334,7.0,8.5,8.0,15.0,10.5,4.833333333333334,0.0,0.0,-3.5,10.5,17.166666666666668,-6.0,-6.0,-6.0,-0.16666666666666696,-0.666666666666667,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-1.833333333333333,-1.833333333333333,5.333333333333334,-6.0,-6.0,-6.0,-6.0,4.833333333333334,4.666666666666666,-1.0,-1.0,-1.0,-6.0,-6.0,-6.0,-6.0,1.833333333333333,4.333333333333334,-6.0,0.16666666666666696,4.166666666666666
2000,,1.666666666666667,1.833333333333333,-6.0,-6.0,-6.0,-6.0,-6.0,-2.5,-6.0,-6.0,8.666666666666666,9.333333333333334,11.333333333333332,10.166666666666668,3.833333333333334,1.833333333333333,-6.0,-6.0,-1.333333333333333,-6.0,3.0,-6.0,-6.0,-6.0,-6.0,-6.0,3.333333333333334,2.833333333333334,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-3.5,-2.6666666666666665,-0.16666666666666696,-6.0,-6.0,-4.0,-4.333333333333333,-6.0,-6.0,4.0,1.0,-4.166666666666667,-4.333333333333333,-1.833333333333333,-6.0,-3.6666666666666665,14.0,15.333333333333332,-6.0,-6.0,-6.0
