year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,1214.8519866427912,924.9744665391806,1151.3734526164685,1356.5904511553967,989.9155865297148,1169.374490792504,1388.2161577265117,993.4352806163109,1182.0957359757938,1430.9379471759933
1992,,882.984777266748,1241.316873180831,1622.0950232547075,652.4805482303249,1120.8181524919032,1453.5519146204904,692.4809656012864,1151.4179025541748,1542.3579127959838
1993,,876.0621080319014,1091.9601774762027,1437.4422783414846,874.6165091168791,1085.487965815162,1309.039476951433,879.4593649960249,1089.9063560518468,1385.4360888441124
1994,,772.1206074444505,963.8632659081328,1161.3575062818293,777.5635034209224,1035.3065143664442,1244.9940336127113,779.5329064452341,1005.8537323639508,1207.0296807486477
1995,,757.2126684526291,1013.5384376435434,1248.696955430032,718.4156265541527,1053.9746521637703,1324.9897714080275,744.7755324387452,1068.8858715215797,1330.660110411068
1996,,696.655890844873,952.9224053722645,1182.1554309793717,851.432838490488,1025.4944077933137,1280.8579686706703,746.42137834209,998.5054903579886,1228.7886094017408
1997,,1071.450151264322,1223.4420330796538,1447.9639480463227,924.925325206202,1130.3848294814086,1373.6727519479953,889.8292043387746,1154.5779835719104,1361.9919251306737
1998,,799.847079392375,998.484404587353,1153.1984246520624,603.1035674846995,973.5224974819891,1238.099906674022,597.5925042431962,988.16236434833,1256.109582367703
1999,,894.5474626599978,1167.5361977757666,1492.662719921951,869.5233173643588,1173.1146642287938,1662.646393917562,858.4091261954846,1168.6500538732093,1539.7791000325894
2000,,618.4321562103726,994.6654343108961,1248.3407278702443,860.866591951687,1098.6652114393419,1351.5894810401012,691.058344256512,1064.1115980329585,1315.2007304052688
2001,,900.6233776911579,1124.671900024696,1392.3916364533088,811.0609901129524,1135.1858507932848,1439.5639509104176,779.6641827191884,1108.2784784091646,1342.1618400564168
2002,,806.1803500450071,1097.7773946289808,1306.9142834629065,983.9529598001305,1156.7569370183924,1299.5860201553803,935.8561970996183,1106.2033117548806,1312.4608986371834
2003,,857.9417987800083,979.9206064842219,1103.214666170657,840.2888000297019,1016.0346331033112,1237.1883880501084,838.2725448298324,1002.9599261942379,1204.4622126520946
2004,,811.0158584986386,1096.244796304169,1354.0567588546537,861.1863365070149,1142.0434515674651,1390.1733286158592,867.1694482533916,1100.3552609617295,1464.6097521076451
2005,,864.9071663961273,1122.2412520696653,1353.7592612086783,812.6953668168305,1049.7195618411793,1287.2339852283715,829.1652100940805,1086.7273425732549,1340.6310388327195
2006,,915.8087034617012,1138.5779573414363,1363.293346194247,769.9656486349004,1082.111137916236,1364.7246293148999,723.9758725424232,1127.9724318133872,1465.570770584631
