year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,0.0,-289.8775201036105,-63.478534026322826,141.73846451260565,-224.93640011307642,-45.477495850287134,173.36417108372052,-221.41670602648026,-32.75625066699748,216.0859605332019
1992,,-331.8672093760432,26.46488653804,407.2430366119163,-562.3714384124663,-94.03383415088774,238.69992797769922,-522.3710210415048,-63.43408408861643,327.50592615319266
1993,,-338.7898786108898,-122.89180916658839,222.59029169869333,-340.23547752591213,-129.36402082762916,94.18749030864183,-335.3926216467663,-124.94563059094419,170.58410220132131
1994,,-442.73137919834073,-250.98872073465833,-53.494480360961994,-437.28848322186883,-179.54547227634714,30.14204696992014,-435.3190801975571,-208.9982542788405,-7.8223058941435015
1995,,-457.63931819016204,-201.31354899924764,33.844968787240774,-496.4363600886385,-160.8773344790208,110.1377847652364,-470.07645420404594,-145.96611512121163,115.80812376827684
1996,,-518.1960957979181,-261.9295812705266,-32.69655566341951,-363.41914815230314,-189.3575788494773,66.00598202787914,-468.43060830070124,-216.34649628480275,13.93662275894966
1997,,-143.40183537846937,8.590046436862789,233.1119614035316,-289.92666143658914,-84.46715716138252,158.82076530520402,-325.0227823040166,-60.27400307088068,147.1399384878824
1998,,-415.0049072504162,-216.36758205543825,-61.653561990728754,-611.7484191580917,-241.32948916080213,23.247920031230677,-617.259482399595,-226.689622294461,41.25759572491207
1999,,-320.30452398279346,-47.31578886702449,277.81073327916005,-345.32866927843236,-41.73732241399736,447.79440727477083,-356.44286044730654,-46.20193276958151,324.9271133897982
2000,,-596.4198304324186,-220.1865523318951,33.48874122745309,-353.9853946911042,-116.18677520344916,136.73749439731006,-523.7936423862792,-150.74038860983268,100.34874376247775
2001,,-314.2286089516333,-90.18008661809519,177.53964981051757,-403.7909965298389,-79.6661358495064,224.71196426762646,-435.1878039236028,-106.57350823362664,127.30985341362556
2002,,-408.6716365977841,-117.07459201381053,92.06229682011528,-230.89902684266062,-58.09504962439864,84.73403351258929,-278.9957895431729,-108.64867488791026,97.60891199439222
2003,,-356.9101878627829,-234.93138015856914,-111.63732047213425,-374.56318661308933,-198.81735353947997,22.336401407317307,-376.57944181295875,-211.8920604485534,-10.389773990696415
2004,,-403.8361281441526,-118.60719033862219,139.2047722118624,-353.66565013577645,-72.80853507532613,175.3213419730682,-347.6825383893996,-114.49672568106152,249.75776546485406
2005,,-349.94482024666394,-92.61073457312588,138.90727456588712,-402.15661982596066,-165.13242480161193,72.38199858558028,-385.68677654871067,-128.12464406953634,125.77905218992834
2006,,-299.0432831810899,-76.2740293013546,148.44135955145583,-444.88633800789074,-132.74084872655524,149.87264267210867,-490.876114100368,-86.87955482940419,250.71878394183983
2007,,-644.3382400318071,-321.4936077955768,-69.9622853390574,-352.7512800277615,-81.76077946587593,179.8495562165288,-359.1389415140503,-92.02989744103122,215.621495199679
2008,,-201.4316460967805,14.87888077265051,322.11717400738763,-311.8024172362665,-114.86575182595308,47.253932747566616,-451.58489617480075,-155.65852319355275,198.55164029446414
2009,,-468.7220758202827,-113.49935183720025,188.42814418504827,-443.9386203162679,-176.5310608835453,114.04279021418625,-338.7101080096148,-35.38000180979624,147.35400171789126
2010,,-452.0118511556304,-126.72631887446543,172.78071077216498,-544.9975677799487,-243.23240302239256,-29.72001988884529,-512.7790399005536,-205.81707535997634,147.39503516414655
2011,,-285.72571464904104,-49.91559200683961,234.30730949012144,-479.85920667168483,-211.9533666751914,52.29732060945247,-365.7639709456913,-137.80676962669958,31.520460775620194
2012,,-386.039483925574,-106.92991902959032,235.878726188165,-629.3505427325131,-237.03734362987512,52.24421866046649,-533.5759619531419,-183.4754900292345,107.54504171768825
2013,,-182.08434398442154,-9.786285239129965,214.7551337326823,-271.5926936465306,-96.5838409136943,114.15611011313761,-641.7560670809983,-236.31336398984197,276.53165470827497
2014,,-400.2395778977654,-79.78668475573494,323.67286498501363,-717.0048872359482,-160.41266060768118,149.11714153078054,-343.42397654364265,-126.21702343787484,85.70336730520769
2015,,-462.77522785461883,-205.68977987320926,57.501771754128896,-423.60415213120325,-156.11052159425745,123.22082730210539,-394.1852527205889,-115.889542030057,145.89733001218357
2016,,-304.0742490323522,-103.21996832151862,98.46284700922524,-374.5012254296197,-139.45811017666838,46.835167499436054,-472.94978860800904,-257.34865873975014,-53.47644017763548
2017,,-458.69075698091575,-169.52886436690363,98.43058263072129,-268.7498637192049,-70.60344570960396,243.07244302935845,-414.9147781589303,-150.8272535020388,136.60850001948003
2018,,-706.3607531215547,-237.3198142218753,115.93594795543643,-361.6488909638574,-141.6440706943801,70.69629099040071,-456.3724447028368,-208.0640744863206,-22.257864067439048
2019,,-550.4305738323242,-273.4244132611718,-85.62540617869463,-473.3979584171559,-178.89685275835456,114.11547532244575,-463.9794775078127,-214.36670232434741,20.14051300512269
2020,,-156.9610807007681,100.06463015518865,363.40711745917304,-363.47739578040864,-79.25228279420435,160.6005356609185,-411.04171172337294,-164.56981037428483,112.49476973325756
2021,,-244.02987687080963,-0.19729572376971086,249.15790371702084,-392.4147537448827,-111.20585691995629,334.50037980556937,-672.6210204488046,-122.56766658100742,244.547803060706
2022,,-497.58820050850113,-210.0804816343921,115.3179442143268,-384.284131417556,-175.43064635883857,24.880260983206718,-421.2358754179502,-178.81968633050263,29.403254542661003
2023,,-421.4538032843346,-188.95142207793026,97.77641062918764,-459.3834242163217,-174.33461228154545,111.24350173520362,-551.6245072672731,-127.20565460141154,272.5998528964608
2024,,-349.98862054368345,-126.75773104207778,180.2445373081964,-580.2966218812287,-228.82617241830422,32.865769738238725,-484.256551745317,-156.4039857256511,123.78275491904886
