year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,305.0,294.5333333333333,305.8666666666667,313.06666666666666,296.84999999999997,305.33333333333337,314.1666666666667,297.59999999999997,304.46666666666664,311.7
1992,,301.0,305.8666666666667,309.70000000000005,294.45000000000005,304.98333333333335,312.08333333333337,293.8,303.31666666666666,311.3
1993,,295.09999999999997,300.8333333333333,307.3333333333333,298.8833333333333,304.5166666666667,310.1166666666667,297.7833333333333,303.53333333333336,308.3666666666667
1994,,301.9,305.23333333333335,309.26666666666665,302.9166666666667,308.78333333333336,312.56666666666666,302.93333333333334,307.4166666666667,312.25
1995,,289.90000000000003,296.23333333333335,302.6,293.65,301.6166666666667,311.8333333333333,290.65000000000003,299.9333333333333,309.3
1996,,296.6,304.3666666666667,312.1333333333333,297.6166666666667,304.9,313.96666666666664,297.2166666666667,304.65,314.03333333333336
1997,,296.6,305.19999999999993,313.6333333333333,294.6666666666667,304.45,313.66666666666663,293.6666666666667,301.76666666666665,310.15
1998,,293.3333333333333,301.16666666666663,309.4,290.5833333333333,300.15,307.85,289.8833333333333,299.65,306.3833333333333
1999,,299.8,305.73333333333335,310.8666666666667,298.95,308.3,316.54999999999995,299.0,308.1333333333333,316.5333333333333
2000,,285.0,298.6333333333333,310.1,287.5,304.4,312.3666666666667,287.5,304.8833333333333,313.45000000000005
2001,,288.79999999999995,302.7,312.8,291.15,306.4833333333333,314.33333333333337,290.4,305.3833333333333,314.03333333333336
2002,,294.70000000000005,303.4,308.93333333333334,300.15,306.3833333333333,310.3333333333333,299.90000000000003,307.03333333333336,313.4
2003,,305.4,310.7,315.6,299.3833333333334,306.21666666666664,313.5,298.4,305.45,317.84999999999997
2004,,303.6333333333333,307.83333333333337,313.2,296.5333333333333,305.9333333333333,316.2166666666667,296.4,304.85,311.65000000000003
2005,,295.06666666666666,305.5666666666667,312.6666666666667,300.1666666666667,307.0166666666667,313.2,297.45,305.51666666666665,313.01666666666665
2006,,286.6,296.6,304.3,296.1833333333333,303.76666666666665,316.09999999999997,296.9,304.0,313.84999999999997
2007,,298.9,305.26666666666665,312.9,295.56666666666666,305.8833333333333,316.3833333333333,288.9,305.18333333333334,315.35
2008,,307.6333333333333,310.1,313.3,293.8,300.8833333333333,309.48333333333335,295.05,305.5,314.20000000000005
2009,,297.0333333333333,303.99999999999994,310.93333333333334,295.3333333333333,305.69999999999993,316.2,299.40000000000003,308.91666666666663,315.2833333333333
2010,,300.2,308.4,315.0,300.48333333333335,306.21666666666664,316.29999999999995,295.2,304.51666666666665,314.3
2011,,298.09999999999997,306.06666666666666,314.0,294.40000000000003,303.0833333333333,310.1666666666667,292.0,301.8,313.3
2012,,296.6,302.46666666666664,307.0,300.9,307.75,315.01666666666665,291.29999999999995,302.98333333333335,315.0
2013,,304.8,308.8,313.4,294.7,300.78333333333336,311.7833333333333,298.36666666666673,304.85,311.2
2014,,303.0,309.23333333333335,316.6,278.51666666666665,294.3333333333333,305.1,296.09999999999997,303.96666666666664,315.1
2015,,298.0666666666667,307.03333333333336,316.0,294.6,301.9166666666667,312.3,294.3666666666667,302.5333333333333,310.0
2016,,296.8,305.8,313.79999999999995,300.7,305.1166666666667,310.75,289.3,301.0,316.0333333333333
2017,,296.6,304.56666666666666,311.7333333333333,294.5,303.8833333333333,311.59999999999997,296.09999999999997,306.51666666666665,313.5
2018,,294.0,304.9333333333333,315.4,298.6,302.9,310.65,292.81666666666666,301.83333333333337,310.3
2019,,289.0,297.3666666666667,305.0,290.7,302.31666666666666,310.1,292.8,302.2666666666667,310.1
2020,,302.0,311.0,318.8,293.9,305.3666666666667,316.29999999999995,291.9,302.83333333333337,312.65
2021,,306.06666666666666,311.53333333333336,315.6,287.81666666666666,298.73333333333335,310.0,296.96666666666664,309.23333333333335,319.0
2022,,294.4,303.8,310.2,292.33333333333337,306.5166666666667,319.0,299.53333333333336,305.8166666666667,315.01666666666665
2023,,297.6333333333333,301.06666666666666,305.1333333333333,284.35,298.75,306.3666666666667,294.25,305.6,314.15000000000003
2024,,299.79999999999995,304.16666666666663,308.0,301.56666666666666,306.15000000000003,309.1333333333333,291.8333333333333,300.1166666666667,308.2
2025,,291.5333333333333,297.76666666666665,302.4,294.53333333333336,299.05,304.45,297.0,302.50000000000006,310.2
2026,,298.2,304.4666666666667,310.06666666666666,287.75,301.35,313.7,301.35,306.9666666666667,311.05
2027,,301.8,305.8666666666667,308.5,297.0,304.2666666666667,310.6,296.26666666666665,301.8666666666667,310.2166666666667
2028,,300.4,303.93333333333334,306.8,299.7,305.6166666666667,312.0,294.6,303.3666666666667,317.3
2029,,299.0,306.1,312.5,293.3,302.26666666666665,312.08333333333337,296.0166666666667,302.49999999999994,307.94999999999993
2030,,291.0,301.8,311.8,301.79999999999995,309.8333333333333,315.0333333333333,294.70000000000005,300.68333333333334,304.2166666666667
2031,,293.6,299.7,305.6,288.3166666666667,297.16666666666663,311.93333333333334,296.19999999999993,303.56666666666666,310.4
2032,,286.6,292.8666666666667,300.4666666666667,297.3,304.23333333333335,311.7,299.3666666666667,305.18333333333334,314.0
2033,,290.2,299.33333333333337,308.4,295.2,301.3833333333333,309.1,298.8333333333333,309.70000000000005,319.23333333333335
2034,,291.8,304.2333333333333,316.8333333333333,293.9,303.6166666666667,310.6666666666667,293.85,301.3,308.75
2035,,297.6666666666667,305.0666666666667,314.06666666666666,296.59999999999997,306.21666666666664,317.1,297.5,306.0166666666667,312.1
2036,,291.4,296.0,302.93333333333334,295.7,306.9666666666667,315.0,296.79999999999995,305.0,309.4
2037,,296.73333333333335,303.6,312.06666666666666,295.3,305.8833333333333,314.1,288.7,299.05,310.05
2038,,288.79999999999995,296.53333333333336,306.5,292.53333333333336,304.1333333333333,311.2,291.25,302.91666666666663,317.1
2039,,299.3,303.5333333333333,307.93333333333334,290.74999999999994,299.21666666666664,304.40000000000003,304.0,307.6833333333333,311.8833333333333
2040,,301.93333333333334,309.1,315.6,297.05,301.55000000000007,307.94999999999993,291.95,299.46666666666664,308.2
2041,,289.5333333333333,300.6,312.0,296.45,302.5333333333333,307.31666666666666,298.73333333333335,304.66666666666663,310.1166666666667
2042,,297.0,301.8333333333333,306.29999999999995,296.5,304.75000000000006,314.1333333333333,298.5,307.6,317.0
2043,,301.4,308.0,316.8,285.43333333333334,299.1833333333333,310.7,281.4,305.05,319.03333333333336
2044,,298.2666666666667,303.3666666666667,308.0,299.90000000000003,306.9666666666666,315.46666666666664,296.7833333333333,304.1166666666667,313.0
2045,,298.1333333333333,303.59999999999997,309.4,291.5,303.0,315.65,294.40000000000003,298.4,301.4
2046,,296.6666666666667,307.9,317.2,299.34999999999997,305.3,312.1,297.43333333333334,304.8666666666667,311.45
2047,,303.8666666666667,309.30000000000007,316.26666666666665,298.98333333333335,305.23333333333335,314.6,300.68333333333334,305.5833333333333,311.18333333333334
2048,,297.1333333333333,305.2,315.6,295.53333333333336,303.03333333333336,312.1,294.90000000000003,300.7333333333333,306.65000000000003
2049,,297.1,307.1,315.8,298.5,304.21666666666664,310.84999999999997,289.85,300.4666666666667,306.9
2050,,292.3,300.3333333333333,307.79999999999995,300.1333333333333,306.65,313.09999999999997,297.84999999999997,305.15,313.1
2051,,287.5,296.2666666666667,306.4,296.95,305.65,316.16666666666663,291.31666666666666,305.3666666666667,312.55
2052,,301.9,307.0,313.8,297.1,303.75,311.5333333333333,295.1,304.3,313.3666666666667
2053,,292.1,306.03333333333336,317.7,292.1166666666667,301.8833333333333,312.59999999999997,291.9,300.1166666666667,307.68333333333334
