year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1991,0.0,-6.833333333333314,-6.0,0.6666666666666856,-2.1666666666666856,2.8333333333333144,0.16666666666668561,6.166666666666686,5.0,6.333333333333314,-5.0,-5.0,3.8333333333333144,2.0,3.0,5.0,5.0,5.0,9.333333333333314,9.0,3.3333333333333144,-20.0,-20.0,-20.0,10.666666666666686,10.0
1992,,-1.0,-1.0,-15.5,-16.0,3.5,-10.666666666666686,4.0,4.0,4.0,5.0,4.666666666666686,3.0,3.0,3.0,5.166666666666686,7.0,6.166666666666686,-4.333333333333314,-4.0,-4.5,-3.5,7.833333333333314,7.5,-10.0,-10.0
1993,,3.0,3.0,-0.3333333333333144,-1.0,6.166666666666686,3.3333333333333144,-11.166666666666686,-4.5,-6.833333333333314,-6.0,-7.0,3.0,3.0,3.0,-8.0,-7.166666666666686,-7.666666666666686,-6.0,-6.0,-7.166666666666686,1.3333333333333144,2.0,2.0,5.0,3.6666666666666856
1994,,6.0,6.0,6.333333333333314,5.666666666666686,14.166666666666686,5.0,-1.0,-1.0,-1.0,6.333333333333314,7.166666666666686,3.1666666666666856,-2.8333333333333144,-1.0,-2.5,-2.0,-2.6666666666666856,5.0,5.0,-2.0,-3.5,-1.0,-1.0,6.833333333333314,8.0
1995,,0.3333333333333144,-3.1666666666666856,-6.166666666666686,-5.666666666666686,8.333333333333314,7.0,-9.0,-9.0,-13.833333333333314,1.5,-3.0,-17.833333333333314,-19.0,-19.0,-11.0,-10.5,-11.0,0.0,0.0,0.0,-6.0,-6.0,-6.0,6.666666666666686,4.0
1996,,8.833333333333314,9.0,3.0,3.0,-7.0,-7.5,-1.0,-1.0,-0.6666666666666856,-0.16666666666668561,-2.5,10.0,10.166666666666686,9.333333333333314,2.8333333333333144,2.0,2.8333333333333144,-3.0,-3.0,-3.0,-12.0,-10.833333333333314,-10.333333333333314,-3.0,-3.6666666666666856
1997,,0.0,0.16666666666668561,6.0,5.0,-1.3333333333333144,-3.6666666666666856,-5.0,-5.0,-5.0,8.0,6.5,3.8333333333333144,2.5,3.0,-10.666666666666686,-9.0,-9.0,11.833333333333314,14.666666666666686,2.0,1.0,1.0,1.0,-22.333333333333314,-32.333333333333314
1998,,-1.3333333333333144,-1.0,-2.1666666666666856,-2.0,2.5,0.0,-14.0,-14.166666666666686,-14.833333333333314,-11.0,-11.166666666666686,2.0,2.0,0.8333333333333144,6.0,6.0,6.333333333333314,-8.166666666666686,-9.0,-9.0,-5.0,-4.666666666666686,-5.0,-16.666666666666686,-17.666666666666686
1999,,-1.0,-1.0,16.5,16.333333333333314,9.0,8.166666666666686,-4.0,-4.0,-4.0,-6.5,-6.0,-6.0,-6.0,-6.0,5.666666666666686,6.0,4.833333333333314,6.0,6.0,6.0,2.0,2.0,2.0,11.0,11.0
2000,,4.0,4.0,3.5,7.333333333333314,4.0,3.0,-1.0,-1.3333333333333144,-1.5,7.0,7.0,-17.0,-17.0,-17.0,9.166666666666686,10.666666666666686,11.0,-1.0,-1.0,-1.1666666666666856,-22.0,-22.0,-22.0,6.166666666666686,8.166666666666686
