year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,1202.6666666666667,1093.6666666666665,1209.0,1326.6,1038.3333333333333,1130.1000000000001,1223.05,1071.5500000000002,1161.2333333333333,1252.3166666666666
1992,,1051.1666666666667,1357.7,1667.8000000000002,809.2833333333333,1158.2166666666667,1637.7166666666667,767.1,1151.8833333333332,1529.5
1993,,985.3666666666667,1167.8333333333335,1415.8,832.6333333333333,1120.9333333333334,1380.8833333333332,826.0333333333333,1109.2,1380.9833333333333
1994,,906.5666666666666,951.0333333333334,993.3666666666666,815.8,1034.7166666666667,1201.4,849.4166666666666,1027.85,1254.9833333333331
1995,,659.0999999999999,854.6666666666666,1101.3999999999999,708.8,1060.8666666666668,1347.6666666666665,689.6999999999999,1031.8,1352.6166666666666
1996,,769.9666666666666,1004.0,1200.1666666666667,812.5166666666667,929.9333333333334,1097.6333333333332,805.4166666666666,950.3999999999999,1144.4333333333334
1997,,943.0,1237.3666666666668,1451.0666666666666,817.5333333333333,1113.7666666666667,1372.9166666666667,771.1833333333334,1112.2,1343.6666666666667
1998,,851.4666666666666,982.6666666666667,1097.0,656.5666666666666,989.8999999999999,1172.4666666666665,744.2166666666667,987.2333333333332,1209.5666666666666
1999,,973.6666666666666,1224.3,1503.7333333333331,978.6833333333334,1266.6,1653.8333333333333,994.0333333333333,1253.35,1627.1166666666668
2000,,774.7,1026.1,1259.7333333333331,889.2333333333333,1089.4666666666667,1346.8,813.1333333333333,1065.4,1346.4833333333333
2001,,1059.9333333333334,1198.1333333333332,1327.3,990.4,1220.6999999999998,1374.2166666666667,1010.4166666666667,1198.2166666666667,1323.35
2002,,1064.4666666666667,1183.8000000000002,1338.4666666666667,953.0666666666666,1127.8833333333332,1247.5333333333333,970.1166666666667,1096.1666666666665,1244.7499999999998
2003,,840.8,974.5666666666668,1080.9333333333334,863.9666666666666,1040.0500000000002,1237.3,823.3333333333334,1035.2,1219.4499999999998
2004,,1121.7666666666667,1195.7333333333331,1287.3,946.6666666666667,1090.9,1225.0833333333333,895.7833333333334,1066.4833333333333,1255.5833333333335
2005,,961.1333333333334,1085.6666666666665,1221.0333333333333,894.1833333333333,1040.3,1221.3833333333332,902.4499999999999,1018.4833333333333,1125.1333333333332
2006,,986.0333333333333,1192.3,1392.7333333333331,843.95,1131.8666666666668,1393.0333333333333,720.3666666666666,1154.3666666666666,1463.15
2007,,801.1333333333333,923.3666666666668,1045.7333333333331,1028.8333333333333,1186.05,1406.1166666666666,886.4666666666666,1138.9666666666667,1401.9666666666667
2008,,1116.2333333333331,1210.6999999999998,1324.7333333333333,957.9333333333333,1113.0666666666664,1232.2666666666664,827.05,1152.8166666666668,1429.1833333333332
2009,,777.3333333333334,1088.0666666666666,1367.9333333333332,724.5999999999999,1026.8,1294.8666666666668,939.3500000000001,1216.85,1419.3166666666664
2010,,703.5,1059.1999999999998,1594.033333333333,929.0,1038.55,1181.2333333333333,930.4333333333333,1198.6666666666665,1500.2666666666667
2011,,838.6666666666666,1018.6333333333334,1214.5333333333333,833.55,1074.0666666666668,1240.4499999999998,861.3666666666666,1127.6999999999998,1274.4833333333333
2012,,915.9666666666667,1175.2333333333333,1440.9,917.4,1058.6166666666666,1183.8333333333333,686.7833333333333,1078.25,1292.8833333333332
2013,,973.9,1181.5666666666668,1421.5333333333333,998.6333333333333,1149.9666666666665,1341.0833333333333,585.1166666666666,1071.7166666666667,1494.95
2014,,839.6666666666667,1231.9333333333334,1694.3333333333333,905.85,1077.1666666666667,1274.7833333333333,920.0166666666667,1114.683333333333,1306.95
2015,,743.5333333333333,1087.1,1365.3,747.1333333333334,1059.2833333333333,1329.7333333333331,873.2166666666666,1174.9833333333336,1499.0
2016,,935.5333333333333,1078.8,1248.1666666666667,957.1166666666667,1158.45,1354.9333333333332,707.5166666666667,977.9666666666666,1269.3999999999999
2017,,780.9333333333334,1047.7666666666667,1271.6666666666665,923.8166666666666,1094.35,1338.3666666666668,973.7333333333335,1169.1166666666668,1332.2
2018,,707.2,971.2,1218.3999999999999,838.0833333333333,1108.7833333333333,1411.2833333333333,988.1833333333333,1069.0833333333335,1141.4666666666667
2019,,716.9666666666667,917.0666666666668,1080.0,809.3666666666666,1125.5666666666668,1357.7666666666669,788.4499999999999,1058.3333333333333,1277.6666666666667
2020,,1200.8333333333333,1344.1333333333332,1509.2333333333331,895.1166666666667,1145.8333333333335,1391.2833333333333,883.9,1081.0833333333335,1348.9666666666667
2021,,1205.2333333333333,1342.3,1558.3666666666668,914.4333333333333,1166.5833333333335,1608.4166666666665,1051.7666666666667,1263.5333333333333,1461.5666666666668
2022,,908.3,1127.6333333333334,1379.7666666666667,790.15,1013.9666666666668,1222.4666666666665,893.7,1109.7666666666667,1279.7166666666665
2023,,938.0,1109.7333333333331,1285.6666666666665,718.4499999999999,976.1833333333334,1242.4999999999998,641.5333333333332,1012.2000000000002,1311.9833333333331
2024,,843.1999999999999,1094.3666666666666,1281.7333333333333,758.6666666666666,1009.9166666666667,1205.6333333333332,956.4833333333333,1094.7833333333333,1319.3833333333332
2025,,830.5666666666666,948.1333333333332,1129.4666666666667,821.65,1028.8333333333333,1241.9333333333334,926.05,1111.55,1324.2
2026,,923.2333333333333,1095.0333333333333,1282.1666666666665,962.5833333333334,1152.0333333333335,1433.0,1005.3000000000001,1188.9666666666667,1376.85
2027,,778.2666666666667,1057.5333333333333,1284.4666666666667,951.3833333333333,1124.3,1343.783333333333,917.5500000000001,1134.6166666666666,1394.1166666666666
2028,,1081.0333333333333,1352.7,1663.8666666666666,833.55,1096.9166666666667,1340.65,871.4666666666667,1112.2666666666667,1396.6
2029,,934.4666666666667,1151.4,1467.1333333333332,990.9833333333333,1166.4,1342.1499999999999,802.4000000000001,1110.3166666666668,1318.6
2030,,625.3,1059.8,1404.8666666666668,947.8500000000001,1201.5333333333333,1441.6666666666667,946.6333333333333,1125.2166666666665,1313.5499999999997
