year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,0.0,-109.00000000000006,6.3333333333332575,123.93333333333318,-164.33333333333343,-72.5666666666667,20.383333333333198,-131.11666666666667,-41.433333333333394,49.649999999999785
1992,,-151.50000000000009,155.03333333333325,465.13333333333327,-393.3833333333335,-44.45000000000008,435.0499999999999,-435.5666666666668,-50.78333333333343,326.83333333333314
1993,,-217.3000000000001,-34.83333333333337,213.13333333333313,-370.0333333333334,-81.73333333333343,178.2166666666665,-376.63333333333344,-93.46666666666673,178.31666666666655
1994,,-296.10000000000014,-251.63333333333338,-209.30000000000007,-386.8666666666668,-167.95000000000002,-1.26666666666679,-353.25000000000006,-174.81666666666678,52.316666666666514
1995,,-543.5666666666668,-348.0000000000001,-101.26666666666681,-493.86666666666673,-141.80000000000004,144.9999999999999,-512.9666666666668,-170.86666666666673,149.94999999999985
1996,,-432.70000000000016,-198.66666666666674,-2.5000000000001137,-390.1500000000001,-272.73333333333346,-105.03333333333353,-397.25000000000006,-252.2666666666668,-58.2333333333335
1997,,-259.6666666666668,34.69999999999995,248.39999999999995,-385.13333333333344,-88.90000000000005,170.25,-431.4833333333334,-90.46666666666674,140.99999999999991
1998,,-351.20000000000016,-220.00000000000009,-105.66666666666673,-546.1000000000001,-212.76666666666674,-30.200000000000188,-458.4500000000001,-215.4333333333334,6.899999999999764
1999,,-229.00000000000006,21.633333333333233,301.06666666666644,-223.98333333333338,63.93333333333324,451.1666666666665,-208.63333333333344,50.68333333333324,424.44999999999993
2000,,-427.9666666666668,-176.56666666666678,57.066666666666485,-313.4333333333334,-113.20000000000007,144.13333333333324,-389.5333333333334,-137.26666666666677,143.81666666666655
2001,,-142.7333333333335,-4.53333333333344,124.63333333333328,-212.2666666666668,18.033333333333246,171.5499999999998,-192.25000000000006,-4.450000000000091,120.68333333333331
2002,,-138.20000000000002,-18.866666666666696,135.79999999999987,-249.60000000000008,-74.7833333333334,44.866666666666546,-232.55000000000013,-106.50000000000009,42.08333333333319
2003,,-361.8666666666668,-228.10000000000008,-121.7333333333334,-338.7000000000001,-162.61666666666673,34.63333333333331,-379.3333333333334,-167.46666666666673,16.78333333333321
2004,,-80.90000000000009,-6.933333333333439,84.63333333333317,-256.00000000000006,-111.76666666666672,22.416666666666593,-306.8833333333334,-136.1833333333334,52.91666666666665
2005,,-241.53333333333336,-117.00000000000009,18.366666666666546,-308.48333333333346,-162.36666666666673,18.716666666666512,-300.21666666666675,-184.18333333333342,-77.53333333333339
2006,,-216.63333333333347,-10.366666666666742,190.06666666666655,-358.7166666666667,-70.8000000000001,190.36666666666656,-482.30000000000007,-48.30000000000009,260.48333333333323
2007,,-401.5333333333334,-279.30000000000007,-156.93333333333345,-173.8333333333334,-16.61666666666671,203.4499999999999,-316.2000000000001,-63.70000000000008,199.29999999999998
2008,,-86.4333333333335,8.033333333333212,122.0666666666665,-244.73333333333338,-89.6000000000001,29.599999999999866,-375.61666666666673,-49.850000000000065,226.51666666666645
