year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1991,0.0,-150.0,-86.0,-152.66666666666674,-163.66666666666674,-16.0,-127.5,-16.5,-57.5,28.166666666666515,-136.16666666666674,-15.666666666666742,65.83333333333326,-73.0,-55.5,162.66666666666652,347.83333333333326,243.0,-9.666666666666742,-76.33333333333348,-58.833333333333485,-170.66666666666674,-269.33333333333337,-118.83333333333348,-142.5,-59.5
1992,,-17.166666666666742,-10.333333333333485,-358.5000000000001,-399.66666666666674,-707.3333333333335,-758.6666666666667,-134.5,-97.5,-44.5,416.33333333333326,285.83333333333326,155.66666666666652,-17.166666666666742,63.666666666666515,492.0,603.5,530.8333333333333,-162.83333333333348,-142.16666666666674,-165.66666666666674,424.83333333333326,212.5,304.1666666666665,-337.0000000000001,-313.5000000000001
1993,,86.83333333333326,168.33333333333326,-82.66666666666674,-112.5,169.66666666666652,9.5,-93.0,-39.833333333333485,12.666666666666515,-180.16666666666674,-239.0000000000001,416.0,255.16666666666652,268.1666666666665,-91.16666666666674,-127.16666666666674,-176.5,-131.5,-122.83333333333348,-111.0,-274.5000000000001,-410.83333333333337,-376.5000000000001,-365.5000000000001,-377.83333333333337
1994,,-24.5,51.166666666666515,-122.0,-166.16666666666674,-99.5,-199.5000000000001,-202.83333333333337,-251.33333333333337,-173.66666666666674,119.33333333333326,62.666666666666515,-253.33333333333337,-408.16666666666674,-381.0000000000001,-219.0000000000001,-179.83333333333337,-274.83333333333337,-314.5000000000001,-314.33333333333337,-317.83333333333337,-268.5000000000001,-384.5000000000001,-350.16666666666674,-14.666666666666742,1.166666666666515
1995,,74.83333333333326,128.83333333333326,-35.16666666666674,-54.66666666666674,-203.33333333333337,-293.66666666666674,-488.16666666666674,-473.83333333333337,-495.0000000000001,464.5,340.0,-580.5000000000001,-674.1666666666667,-674.6666666666667,27.0,109.5,-11.0,-293.66666666666674,-280.83333333333337,-296.33333333333337,-404.66666666666674,-464.83333333333337,-427.0000000000001,65.33333333333326,74.83333333333326
1996,,-338.16666666666674,-288.0000000000001,-134.16666666666674,-133.66666666666674,-377.16666666666674,-452.0000000000001,-472.5000000000001,-507.0000000000001,-383.66666666666674,-362.33333333333337,-391.16666666666674,-42.5,-118.83333333333348,-62.333333333333485,-373.0000000000001,-346.0000000000001,-389.33333333333337,24.166666666666515,19.166666666666515,-21.333333333333485,-129.5,-277.0000000000001,-87.16666666666674,-285.83333333333337,-314.0000000000001
1997,,51.83333333333326,71.16666666666652,64.0,67.83333333333326,-293.83333333333337,-361.83333333333337,53.83333333333326,-5.0,135.33333333333326,-157.33333333333348,-186.0000000000001,242.5,14.833333333333258,34.33333333333326,93.5,169.5,90.66666666666652,252.33333333333326,177.0,192.0,-468.66666666666674,-542.3333333333334,-527.3333333333334,-367.66666666666674,-420.83333333333337
1998,,-309.66666666666674,-204.0000000000001,-128.83333333333348,-247.66666666666674,458.5,435.0,-74.0,-84.5,-40.66666666666674,-255.83333333333337,-293.5000000000001,-153.16666666666674,-242.5000000000001,-290.5000000000001,-248.0000000000001,-191.83333333333337,-266.0000000000001,-204.83333333333337,-216.0000000000001,-186.5000000000001,-420.0000000000001,-538.0000000000001,-440.5000000000001,-619.0000000000001,-620.0000000000001
1999,,450.6666666666665,430.0,-9.833333333333485,-76.33333333333348,151.83333333333326,67.16666666666652,-275.0000000000001,-219.33333333333337,-203.5000000000001,282.6666666666665,324.83333333333326,3.166666666666515,-114.33333333333348,-127.83333333333348,425.33333333333326,455.6666666666665,423.83333333333326,-160.0,-132.16666666666674,-192.66666666666674,114.66666666666652,40.0,116.16666666666652,-265.83333333333337,-254.83333333333337
2000,,164.83333333333326,242.66666666666652,96.33333333333326,58.166666666666515,-288.33333333333337,-353.5000000000001,8.166666666666515,-5.5,47.5,-200.0000000000001,-373.66666666666674,89.66666666666652,-58.66666666666674,-76.0,-334.16666666666674,-263.0000000000001,-363.5000000000001,-156.0,-180.16666666666674,-154.83333333333348,-490.5000000000001,-539.3333333333334,-532.3333333333334,141.83333333333326,132.83333333333326
