year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,37.11274337768555,36.482622093444554,36.67602626908532,37.25271068458037,37.47900011663571,36.66404255084043,36.75369405319702,37.72967614578869,37.77100457930887,36.59862170396212,37.35430121309463,37.428329735046155,37.630217138281836,37.705869181315116,37.46542635481325,37.55517938915242,37.40288503888965,36.64232839213343,36.76205503294793,36.53438324671357,36.6167301904687,36.74660491539257,36.85397663008464,36.68746150075154,36.873319833137174,36.457119805044265,36.48298392601541,36.73554757829776,36.791955152119726,36.679526050445666,36.83179465446301,36.76103491427782,36.80367731121879,36.81461070676489,36.25961473856896,36.25702736102938,36.71183493878085,36.65274537303355,36.82783719596682,36.486194803037705,36.39044614288468,36.3823060383557,37.12002311462688,37.16406672368856,37.12271487761211,36.91582226172323,37.009367031567734,36.96257076510772,36.797109911774946,36.875915108179974,37.20685639932714,37.224400073047086,36.92146562076382,37.03900277152574,37.144409901518884,37.24094793311,37.038987509252784
1992,,37.402028073083905,37.66464182143397,37.09228656453461,37.301325366015824,37.02323217216045,37.155078359107534,36.93044436478297,36.854420947209924,36.77074515355785,36.60650893008434,36.56144142311137,36.68743374285419,36.808535619448236,37.0444778872068,37.09291899483039,37.003002752295366,36.441372016105504,36.5566805346067,36.4340718704294,36.54602217666406,36.65502409453368,36.18823841056642,36.04025103536813,36.22832877423014,36.386489160128384,36.414630085984236,37.2112253217306,37.306149355814426,37.044375098520305,37.21991876778108,36.38269924759545,36.486752113377214,36.48279668604183,36.04109944215549,36.03099454487843,36.55383468307437,36.64730124430889,36.7621628295342,36.70987952677415,36.54144819118551,36.58078808928196,36.44323862516503,36.4918188836086,36.43198071428417,36.18817004519949,36.22595548307527,36.27117881210534,36.94369849399238,37.013251868957845,37.28566097242105,37.208073598086685,36.80077471380363,36.8193948109248,36.50713684709106,36.58663128132577,36.41641331642183
1993,,36.90219318574527,37.10366926846435,36.91783201062622,37.131937591970846,37.230081668383484,37.38486043350019,36.88552684097635,36.82429091557197,36.77425085797588,36.77350841337587,36.445949150607994,36.548636046805875,36.694317948154215,37.383506936966036,37.41762711658211,37.33752289863477,36.72644760912194,36.84490583794311,36.69237972269977,36.76655137446148,36.90943133447382,37.13957839924013,36.98299986023227,37.218541078332294,36.510884125870625,36.535009972280506,36.41161912125555,36.505988827222005,36.59512316769125,36.81740472049807,36.47184465730576,36.507250847942764,36.50357276630845,36.38155213754043,36.38345018026275,37.18175752989902,37.269414683024046,37.416943054477876,37.018064802335374,36.863099087649765,36.944189213304305,36.5659572808253,36.642196475373,36.616095853204605,36.58707865954536,36.6451448176554,36.662992768588175,36.586754249189575,36.70497263715901,37.45873512545385,37.48655969405504,37.09381295218973,37.154100633734394,36.770053409085286,36.95439994108304,36.43350226847332
1994,,37.12061192426288,37.348524471753336,36.53265270466573,36.68686269012877,36.712655272880276,36.810816810921466,37.624953047939556,37.62321993168516,36.641834521986084,37.42566486417868,36.60918024559549,36.75716614912204,36.845233695949055,37.873984851534026,37.92833599546946,37.82146785035863,36.812169427741146,36.92766732746286,36.87734865552648,37.05156465671482,37.173784609581126,37.04534634427288,36.879660476615015,37.104243333929816,36.22379906097822,36.27184070102922,36.85702907294015,36.922023210359946,36.54484362932322,36.70126037667334,36.79531150894516,36.86936091063354,36.83349573840842,36.3760167941437,36.383226817091916,37.09293756688775,37.08595520507254,37.27977706755891,36.62112685404739,36.49585851618795,36.537552094063265,37.05509162394207,37.157763268597044,37.15066922247899,36.82301067600468,36.90509132434028,36.86705152579534,36.36367952543639,36.4353717093969,37.981732581376,37.92576493898156,37.03275659305111,37.10373972811764,37.061217696516586,37.164301893539054,36.62589931150117
1995,,37.556489593355366,37.88419505149819,37.17135969759442,37.42176838663193,37.04123463084599,37.13052878128135,37.14642738906662,37.0916156102011,36.829035711419095,37.2061182533856,36.758397303054345,36.93837771843348,37.05043397556806,37.08647042888483,37.16180145361212,37.062206675350915,36.79427253674373,36.94705852909174,36.96447474942145,37.06379031678648,37.176446159327945,37.26064166148293,37.12533929819605,37.3328560804951,36.447959508887244,36.48615105197865,36.86329114842534,36.9989572280116,37.123488410566516,37.291841752979856,36.91097587689966,36.96646446221061,36.94331542996614,36.57558186974376,36.565697790694514,36.75731031875956,36.82695470564335,36.945293266261594,37.0062723307849,36.86173920318753,36.91400749269238,36.83174428958977,36.882541208206305,36.813222294080134,36.99280091383286,37.10560300591462,37.10514087917381,37.02760709412453,37.15079927766708,36.97813109083492,36.926690983881194,36.91085289997822,37.00643629364995,37.33984035014669,37.43767769898014,37.24996913044554
1996,,36.98150723601037,37.15869686624881,37.83768299273489,38.09332448504734,37.29476391183522,37.43909141031906,36.72406231996019,36.59400451381445,37.09637621875217,36.8300170568179,37.53102419919369,37.7948914928782,37.91084279099557,36.85616694940714,36.96052358381723,36.86101645092558,36.843793503156085,36.98704261131804,36.80185640754873,36.89956041365678,37.035467016490145,37.05534557771025,36.821945831577644,37.13728819755661,36.93966334108691,36.99479879398442,37.12843466102925,37.25022340622994,36.93617087377259,37.106481031444,37.28147766581218,37.35241705735027,37.3515440127577,37.52420670031267,37.484925570832054,36.56887630668183,36.60266996228652,36.729792194244595,37.02986123712981,36.89202916365675,36.912659935938244,36.5135714746763,36.56162089447988,36.49168389641752,36.415656600325086,36.527431661527466,36.4661414548274,37.18274160209203,37.27480611597354,36.80018663714125,36.9114007275725,37.02231623512861,37.043695459235295,37.567832222922675,37.77104120500129,37.117496184079236
1997,,37.11674139766603,37.37403935541297,36.99973716380512,37.26564887923852,36.726107512173655,36.822178784932156,37.14243192029983,37.11245084593617,37.57514642069228,36.45488048759003,37.55671871809732,37.74436510714875,37.829023140824546,36.69361931188576,36.78657709074681,36.6869128472315,36.724059909071606,36.846880504869546,36.956709124795,37.025221750722466,37.19183720864772,36.72996849389336,36.515344510013186,36.664665239865485,37.10040723046433,37.14414406819108,36.91576023425791,37.00246831063054,37.52572313143244,37.68491119259346,36.908646112729464,36.939019529856616,36.94454551982448,37.308100963714445,37.30447560948758,36.85489685741411,36.90872976726376,37.030772431534906,36.67087138443336,36.51560868619444,36.57289391560317,36.30704777728897,36.35180039511209,36.313786309925895,37.289207745943834,37.38857030802558,37.35227119578186,37.671575042707865,37.73690872359611,36.99345159772768,36.951124777179814,36.98291107693341,37.059816774829926,37.05612987765671,37.14536249016203,36.777105320150234
1998,,37.29611937528987,37.55316191094102,37.497459812669575,37.78579394252544,37.347690184850144,37.534504760881525,37.88873347162963,38.014449048464634,36.938582158894356,37.2847950367703,37.57837502957278,37.7828364429213,37.84135725256516,36.956348095340815,36.99737535227589,36.918368562045266,37.151229965837096,37.269953009618554,37.700051237356696,37.99492759402484,38.213665249341126,36.815604392273684,36.6362687214891,36.84372627739055,36.702510195518784,36.74094948894892,37.296886639738766,37.385691436767694,37.243064905453956,37.42545907578842,37.07433828665677,37.135488705012335,37.13809320611819,36.700674383712176,36.69909310620448,36.96596790568035,37.01872640963354,37.18141675794081,36.91303826096075,36.762682115668106,36.79117904384387,37.42400728749873,37.50232658396107,37.48153182007951,36.931833332362196,37.04721664176902,36.98960655285012,37.105882523767455,37.22916718170321,37.10504912073147,37.086630592938405,37.41703264112787,37.511367517619476,37.031580398489915,37.135492562350635,37.61146062995391
1999,,37.007086786975606,37.23381396735207,37.743290158299864,38.04142887132898,37.14023232377289,37.28544296835985,38.13065844824093,38.17861666187304,36.84594538161756,37.806747338053476,37.50678877712872,37.766399948607905,37.86911330507886,37.95387470947134,38.05315345088324,37.94135925056088,37.29668773759127,37.44125040676182,37.175011326491926,37.318481193647095,37.49109362291309,36.15854180950006,36.01162071123516,36.16891614494148,36.611146057965094,36.62671500748589,36.652459818243535,36.74236779185963,37.13102246428176,37.29310416666666,37.27980272728777,37.34474949763477,37.352905128235044,36.680679372569635,36.661893170779116,36.75529323114545,36.759162475864564,36.914733851324065,36.77337764346331,36.69651186186215,36.71428760518115,37.58628006255978,37.679222816548155,37.67207602249212,37.4177148336737,37.45519740262651,37.43211203950518,36.67116519151102,36.76301163402554,36.691588170439076,36.630025659848464,37.19968458048507,37.28368322517008,36.76209997321697,36.85503585146549,37.02456421455835
2000,,37.413215021699614,37.65219171226186,36.85871836246853,37.06641516475596,37.36837284746559,37.56526230833855,37.136201091749,37.09291352642192,36.593770139650665,37.02814938438109,37.49451865265025,37.747895358011654,37.83420736011535,37.426178916368144,37.480660559110014,37.38838272596387,37.33602692717679,37.50426994149543,37.131749711685586,37.29963041373468,37.44157373799363,37.26539891200662,37.21311227277642,37.56842077636722,36.227720653516535,36.27983140320108,37.2741013899851,37.36949638540884,37.007728364012486,37.20997123237513,36.7946011673043,36.83416593619575,36.81155641543597,37.13857395356761,37.122188730736404,37.067131287596474,37.0869458609803,37.230000352415374,36.974355209838414,36.805813311572585,36.84066037697993,37.03905121629967,37.0903861564741,37.08035363588393,37.40586904169238,37.537614441899045,37.48168754163351,36.84456679545363,36.886806616517646,37.189400069702884,37.182650161534184,37.61853783170674,37.70350808478934,37.13698486314186,37.30213046278586,37.233658467577236
