year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,246.66666666666666,230.3,243.8461538461538,254.36666666666667,217.83333333333334,235.86507936507934,258.6666666666667,217.86666666666665,238.66666666666669,258.5833333333333
1992,,207.43333333333334,228.2179487179487,245.93333333333334,208.0,234.7063492063492,258.00000000000006,209.86666666666667,236.03787878787887,264.20000000000005
1993,,221.73333333333332,243.55128205128202,263.26666666666665,220.5,240.46825396825395,255.5,220.71666666666667,244.4090909090909,266.55
1994,,239.83333333333331,253.43589743589746,270.5333333333333,215.16666666666666,244.031746031746,266.5,220.10000000000002,246.49242424242422,267.0
1995,,231.1,246.525641025641,259.3,230.66666666666666,247.28571428571433,258.6666666666667,224.15,247.9848484848485,267.46666666666664
1996,,241.16666666666666,251.25641025641022,265.09999999999997,243.0,251.83333333333337,268.8333333333333,240.41666666666666,255.75000000000003,274.3666666666667
1997,,234.5,240.3717948717949,253.26666666666668,229.33333333333334,245.484126984127,267.0,230.71666666666667,245.5530303030303,266.3833333333334
1998,,244.03333333333333,254.51282051282058,271.1333333333333,231.66666666666666,254.91269841269838,268.1666666666667,239.6,256.98484848484856,280.09999999999997
1999,,214.39999999999998,239.55128205128204,265.93333333333334,220.83333333333334,245.64285714285714,269.6666666666667,214.73333333333332,244.4696969696969,265.7333333333333
2000,,241.13333333333333,252.92307692307693,266.16666666666663,230.33333333333334,247.15079365079362,260.5,228.21666666666667,251.7954545454545,272.6166666666667
2001,,246.16666666666666,254.03846153846158,264.9,240.66666666666666,258.2619047619047,269.0,244.61666666666665,260.31818181818187,282.34999999999997
2002,,229.23333333333335,245.1025641025641,259.66666666666663,227.0,245.77777777777777,259.16666666666674,227.73333333333332,250.0909090909091,266.53333333333336
2003,,249.16666666666666,262.05128205128204,280.1666666666667,244.66666666666666,259.6666666666667,276.50000000000006,248.01666666666668,263.189393939394,285.45
2004,,240.46666666666667,255.24358974358972,268.90000000000003,238.66666666666666,253.47619047619048,264.1666666666667,240.16666666666669,257.31060606060606,276.93333333333334
2005,,239.36666666666667,258.03846153846155,274.9666666666667,235.0,255.71428571428572,270.0,238.83333333333334,260.3333333333333,278.29999999999995
2006,,241.16666666666666,251.2564102564103,262.1333333333333,240.33333333333334,256.031746031746,271.50000000000006,227.56666666666666,254.61363636363637,277.26666666666665
2007,,250.36666666666667,263.11538461538464,277.3,239.16666666666666,256.40476190476187,269.66666666666674,230.78333333333333,252.54545454545453,279.08333333333337
2008,,242.46666666666667,256.0,270.0333333333333,248.16666666666666,265.43650793650795,283.6666666666667,241.88333333333333,265.80303030303025,297.1333333333333
2009,,237.43333333333334,258.61538461538464,278.96666666666664,249.16666666666666,263.0238095238095,277.50000000000006,246.4,262.280303030303,285.2333333333333
2010,,241.49999999999997,257.9230769230769,272.56666666666666,242.66666666666666,269.984126984127,302.8333333333333,249.73333333333335,274.21212121212125,315.0166666666667
2011,,229.86666666666667,250.8974358974359,275.4,248.33333333333334,265.95238095238096,286.8333333333333,241.83333333333334,267.00757575757575,288.6166666666667
2012,,241.9333333333333,257.5641025641026,267.6333333333333,243.5,266.4603174603174,284.66666666666674,241.43333333333334,269.35606060606057,288.51666666666665
