year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,246.66666666666666,214.5,217.5,253.5,268.5,226.0,235.0,261.5,266.0,225.83333333333334,263.1666666666667,252.5,258.6666666666667,256.3333333333333,246.5,252.16666666666666,242.66666666666666,220.16666666666666,224.33333333333334,229.66666666666666,231.16666666666666,234.16666666666666,232.83333333333334,226.5,232.5,223.5,226.0,232.66666666666666,226.83333333333334,222.16666666666666,224.0,239.33333333333334,239.33333333333334,238.0,217.83333333333334,215.16666666666666,248.16666666666666,237.5,242.16666666666666,217.66666666666666,209.5,216.0,249.5,252.83333333333334,254.0,254.83333333333334,258.0,258.8333333333333,226.66666666666666,221.16666666666666,247.66666666666666,248.0,255.66666666666666,255.66666666666666,249.66666666666666,247.83333333333334,246.0
1992,,272.3333333333333,282.1666666666667,248.0,264.6666666666667,252.66666666666666,260.0,258.0,256.5,246.16666666666666,235.5,210.5,211.66666666666666,209.83333333333334,249.83333333333334,249.16666666666666,248.16666666666666,208.0,210.16666666666666,231.33333333333334,232.5,230.16666666666666,214.33333333333334,212.16666666666666,215.33333333333334,217.16666666666666,216.83333333333334,270.0,271.6666666666667,250.5,255.83333333333334,206.66666666666666,206.83333333333334,209.33333333333334,214.16666666666666,212.5,235.16666666666666,239.0,237.16666666666666,238.16666666666666,222.0,224.5,235.5,241.5,233.83333333333334,198.83333333333334,197.5,204.0,244.0,242.16666666666666,246.16666666666666,241.83333333333334,245.0,245.5,221.66666666666666,220.66666666666666,233.66666666666666
1993,,254.5,254.0,249.66666666666666,259.5,255.5,272.0,258.6666666666667,252.5,248.66666666666666,250.33333333333334,232.83333333333334,233.16666666666666,238.83333333333334,263.0,265.0,259.5,234.66666666666666,241.0,234.33333333333334,242.33333333333334,248.5,263.3333333333333,253.33333333333334,269.8333333333333,220.5,220.0,213.83333333333334,211.66666666666666,222.5,229.83333333333334,226.66666666666666,221.5,225.0,225.33333333333334,222.66666666666666,251.5,253.83333333333334,254.16666666666666,251.33333333333334,242.33333333333334,244.5,248.5,253.5,250.5,214.16666666666666,219.83333333333334,220.5,230.83333333333334,234.16666666666666,271.1666666666667,267.3333333333333,243.16666666666666,247.83333333333334,245.66666666666666,253.16666666666666,220.5
1994,,240.33333333333334,251.83333333333334,222.66666666666666,230.0,244.0,254.16666666666666,279.5,279.6666666666667,242.33333333333334,266.6666666666667,232.16666666666666,234.83333333333334,232.33333333333334,265.3333333333333,266.5,263.3333333333333,238.5,239.66666666666666,239.16666666666666,242.16666666666666,242.0,272.6666666666667,266.3333333333333,270.5,210.83333333333334,212.16666666666666,238.5,241.66666666666666,232.5,241.33333333333334,249.5,252.16666666666666,255.5,215.16666666666666,219.0,258.5,257.8333333333333,259.6666666666667,246.16666666666666,240.0,239.83333333333334,262.0,266.3333333333333,265.5,251.5,255.83333333333334,249.33333333333334,211.66666666666666,209.66666666666666,271.8333333333333,267.1666666666667,253.33333333333334,249.16666666666666,250.0,249.33333333333334,242.5
1995,,270.8333333333333,280.3333333333333,258.3333333333333,279.5,256.6666666666667,267.8333333333333,252.33333333333334,253.66666666666666,238.83333333333334,258.6666666666667,251.33333333333334,252.0,250.83333333333334,259.3333333333333,260.5,256.6666666666667,238.33333333333334,243.16666666666666,252.66666666666666,253.16666666666666,254.16666666666666,265.8333333333333,255.83333333333334,264.1666666666667,220.66666666666666,221.16666666666666,240.83333333333334,241.33333333333334,238.0,246.83333333333334,242.83333333333334,244.16666666666666,242.5,222.33333333333334,223.0,243.33333333333334,245.66666666666666,245.16666666666666,240.5,230.66666666666666,234.5,239.66666666666666,247.66666666666666,241.0,239.5,252.0,247.0,255.5,250.66666666666666,227.66666666666666,215.5,229.0,236.5,259.1666666666667,260.1666666666667,254.0
1996,,249.83333333333334,248.5,273.3333333333333,285.8333333333333,267.8333333333333,297.3333333333333,241.5,235.5,246.66666666666666,243.16666666666666,266.3333333333333,268.8333333333333,267.0,255.66666666666666,257.0,252.33333333333334,251.0,253.66666666666666,245.66666666666666,248.33333333333334,250.33333333333334,260.1666666666667,245.0,267.1666666666667,254.83333333333334,251.5,252.16666666666666,254.5,244.66666666666666,250.66666666666666,257.1666666666667,255.16666666666666,254.0,273.3333333333333,274.8333333333333,235.0,233.66666666666666,238.0,256.0,243.0,247.5,241.83333333333334,245.16666666666666,240.0,244.33333333333334,247.0,244.66666666666666,247.0,248.66666666666666,241.0,244.16666666666666,249.66666666666666,250.16666666666666,267.0,270.1666666666667,246.5
1997,,263.6666666666667,267.1666666666667,230.66666666666666,247.0,236.83333333333334,242.0,250.0,249.0,267.0,232.83333333333334,254.66666666666666,257.8333333333333,259.0,241.66666666666666,238.66666666666666,235.66666666666666,230.66666666666666,236.83333333333334,247.66666666666666,248.83333333333334,254.83333333333334,242.5,229.33333333333334,236.5,244.16666666666666,242.33333333333334,246.33333333333334,242.66666666666666,254.33333333333334,259.3333333333333,240.66666666666666,242.33333333333334,240.0,247.16666666666666,249.33333333333334,236.5,240.16666666666666,236.5,234.0,228.5,227.66666666666666,200.5,209.5,204.5,268.6666666666667,278.0,278.3333333333333,278.3333333333333,276.5,239.16666666666666,230.16666666666666,239.33333333333334,240.33333333333334,243.0,246.5,236.5
1998,,257.1666666666667,264.1666666666667,268.1666666666667,285.0,258.8333333333333,278.0,292.8333333333333,296.1666666666667,241.66666666666666,249.0,265.6666666666667,267.0,266.0,250.66666666666666,251.16666666666666,245.16666666666666,249.66666666666666,250.5,272.5,278.1666666666667,280.3333333333333,239.0,231.66666666666666,239.5,227.0,228.33333333333334,267.5,269.8333333333333,254.0,261.6666666666667,258.3333333333333,260.8333333333333,256.6666666666667,242.66666666666666,240.5,250.33333333333334,247.33333333333334,252.0,247.83333333333334,228.16666666666666,236.5,263.1666666666667,263.6666666666667,261.8333333333333,246.83333333333334,260.3333333333333,256.0,256.3333333333333,254.16666666666666,246.83333333333334,244.5,247.33333333333334,246.16666666666666,243.33333333333334,240.66666666666666,276.8333333333333
1999,,242.16666666666666,248.83333333333334,267.1666666666667,281.1666666666667,242.33333333333334,256.0,286.3333333333333,286.5,232.5,268.0,255.0,257.1666666666667,257.1666666666667,272.5,272.8333333333333,264.8333333333333,250.83333333333334,253.33333333333334,247.0,251.66666666666666,254.0,188.33333333333334,183.83333333333334,185.0,213.83333333333334,219.83333333333334,242.0,240.66666666666666,235.16666666666666,241.66666666666666,253.66666666666666,252.83333333333334,252.5,236.5,236.66666666666666,238.5,236.5,240.66666666666666,223.83333333333334,220.83333333333334,220.33333333333334,268.6666666666667,269.6666666666667,265.8333333333333,246.0,249.5,247.33333333333334,246.83333333333334,249.0,219.33333333333334,214.16666666666666,246.66666666666666,252.5,213.16666666666666,210.33333333333334,241.5
2000,,260.5,272.1666666666667,258.8333333333333,261.0,260.5,283.6666666666667,238.16666666666666,234.66666666666666,231.16666666666666,248.83333333333334,269.0,272.5,272.6666666666667,253.83333333333334,251.66666666666666,249.83333333333334,250.33333333333334,251.33333333333334,252.66666666666666,257.1666666666667,257.6666666666667,266.3333333333333,256.3333333333333,275.6666666666667,202.33333333333334,204.16666666666666,260.1666666666667,261.0,242.16666666666666,250.5,245.5,241.5,244.83333333333334,245.0,247.5,251.33333333333334,248.83333333333334,254.66666666666666,239.83333333333334,230.33333333333334,227.5,250.0,248.83333333333334,247.33333333333334,250.33333333333334,263.1666666666667,257.6666666666667,221.83333333333334,220.0,244.33333333333334,238.83333333333334,265.5,261.8333333333333,259.0,265.0,240.33333333333334
