year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,2.8333333333333335,0.0,1.3974358974358974,2.9000000000000004,0.0,1.4666666666666668,3.0333333333333337,0.0,1.5555555555555558,2.833333333333336
1992,,0.0,1.1282051282051282,2.1,0.0,1.1250000000000002,2.7,0.0,1.3492063492063493,2.500000000000004
1993,,0.0,1.1666666666666667,2.8333333333333335,0.0,0.85,1.6500000000000021,0.0,0.8253968253968254,1.5000000000000018
1994,,0.10000000000000009,1.871794871794872,3.0,0.0,1.1416666666666664,2.516666666666667,0.0,1.3015873015873014,2.8333333333333335
1995,,0.06666666666666672,1.4743589743589745,3.366666666666667,0.0,1.3666666666666667,3.016666666666667,0.0,1.3174603174603177,2.8333333333333335
1996,,0.0,1.141025641025641,2.1333333333333333,0.0,1.2666666666666668,2.283333333333335,0.0,1.2142857142857142,2.0000000000000018
1997,,0.0,1.628205128205128,3.7000000000000006,0.14999999999999997,1.2416666666666667,3.0,0.16666666666666666,1.5952380952380953,3.3333333333333344
1998,,0.4666666666666668,1.4615384615384615,2.3333333333333335,0.0,1.0416666666666667,2.3333333333333335,0.0,1.349206349206349,3.000000000000004
1999,,1.0,1.7692307692307692,3.6,0.0,1.75,3.0500000000000007,0.16666666666666666,1.722222222222222,3.6666666666666674
2000,,0.10000000000000009,1.2564102564102564,2.0,0.0,1.325,3.016666666666667,0.0,1.277777777777778,2.833333333333334
2001,,0.16666666666666682,1.5641025641025643,2.766666666666667,0.0,1.3666666666666667,3.0833333333333344,0.0,1.5476190476190477,3.16666666666667
2002,,0.03333333333333336,1.5256410256410255,3.8000000000000007,0.0,1.6583333333333332,3.0,0.0,1.492063492063492,3.0
2003,,0.0,1.2692307692307692,2.5333333333333337,0.0,1.0333333333333334,2.8500000000000005,0.0,1.007936507936508,2.1666666666666665
2004,,0.03333333333333336,1.2179487179487178,2.466666666666667,0.14999999999999997,1.3416666666666666,2.7,0.8333333333333334,1.4603174603174605,2.6666666666666696
2005,,0.03333333333333336,1.3974358974358974,2.466666666666667,0.0,1.05,2.016666666666667,0.0,1.3015873015873016,2.5000000000000013
2006,,0.06666666666666672,1.8974358974358976,3.8000000000000007,0.0,0.8666666666666666,1.6833333333333338,0.0,1.238095238095238,2.5
2007,,0.0,0.8974358974358976,2.0,0.14999999999999997,1.2416666666666667,2.516666666666667,0.5,1.4047619047619049,2.5000000000000013
2008,,0.6000000000000001,1.2948717948717945,1.8,0.0,1.583333333333333,3.3666666666666676,0.0,1.4761904761904763,3.5000000000000013
