year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,0.0,0.0,0.15384615384615385,0.8000000000000007,0.0,0.05,0.0,0.0,0.07142857142857142,1.7763568394002505e-15
1992,,0.0,0.0,0.0,0.0,0.025,0.016666666666666902,0.0,0.055555555555555546,0.16666666666666727
1993,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,,0.0,0.0,0.0,0.0,0.06666666666666667,0.033333333333333805,0.0,0.047619047619047616,0.0
1995,,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.15873015873015875,1.0
1996,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15873015873015872,1.0
1997,,0.0,0.25641025641025644,1.0,0.0,0.016666666666666666,0.0,0.0,0.07142857142857142,1.7763568394002505e-15
1998,,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.10317460317460317,0.5000000000000006
1999,,0.0,0.05128205128205128,0.0,0.0,0.05,0.0,0.0,0.007936507936507936,0.0
2000,,0.0,0.038461538461538464,0.0,0.0,0.03333333333333333,0.0,0.0,0.0873015873015873,0.3333333333333339
2001,,0.0,0.16666666666666666,0.13333333333333344,0.0,0.10833333333333335,0.23333333333333428,0.0,0.06349206349206349,0.16666666666666727
2002,,0.0,0.0,0.0,0.0,0.19166666666666665,0.8333333333333334,0.0,0.1746031746031746,0.6666666666666679
2003,,0.0,0.20512820512820512,0.9333333333333336,0.0,0.1,0.10000000000000142,0.0,0.07142857142857142,2.3684757858670005e-15
2004,,0.0,0.01282051282051282,0.0,0.0,0.058333333333333334,0.016666666666666902,0.0,0.12698412698412698,0.6666666666666673
2005,,0.0,0.07692307692307693,0.0,0.0,0.025,0.0,0.0,0.09523809523809523,0.16666666666666785
2006,,0.0,0.07692307692307693,0.2666666666666669,0.0,0.09166666666666667,0.08333333333333452,0.0,0.047619047619047616,0.0
2007,,0.0,0.0,0.0,0.0,0.041666666666666664,0.016666666666666902,0.0,0.07936507936507937,0.16666666666666727
2008,,0.0,0.1282051282051282,0.566666666666667,0.0,0.10833333333333332,0.23333333333333428,0.0,0.15873015873015872,1.0
2009,,0.0,0.07692307692307693,0.2666666666666669,0.0,0.058333333333333334,0.033333333333333805,0.0,0.047619047619047616,0.16666666666666666
2010,,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.023809523809523808,0.0
2011,,0.0,0.2435897435897436,0.9666666666666668,0.0,0.05,0.0,0.0,0.023809523809523808,5.921189464667501e-16
2012,,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0873015873015873,0.16666666666666785
2013,,0.0,0.07692307692307693,0.0,0.0,0.03333333333333333,0.0,0.0,0.047619047619047616,0.0
2014,,0.0,0.1282051282051282,0.5333333333333338,0.0,0.0,0.0,0.0,0.09523809523809523,0.16666666666666904
2015,,0.0,0.07692307692307693,0.0,0.0,0.016666666666666666,0.0,0.0,0.09523809523809523,0.0
2016,,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.10317460317460318,0.16666666666666963
2017,,0.0,0.14102564102564102,0.6666666666666673,0.0,0.25,1.0,0.0,0.047619047619047616,0.0
2018,,0.0,0.0,0.0,0.0,0.08333333333333333,0.06666666666666761,0.0,0.007936507936507936,0.0
2019,,0.0,0.0,0.0,0.0,0.09166666666666667,0.08333333333333452,0.0,0.047619047619047616,0.0
2020,,0.0,0.11538461538461539,0.40000000000000036,0.0,0.05,0.0,0.0,0.0,0.0
2021,,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.18253968253968256,1.0
2022,,0.0,0.17948717948717946,0.8666666666666671,0.0,0.05,0.0,0.0,0.14285714285714285,0.8333333333333339
2023,,0.0,0.08974358974358974,0.13333333333333344,0.0,0.058333333333333334,0.016666666666666902,0.0,0.16666666666666666,0.8333333333333339
2024,,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.007936507936507936,0.0
2025,,0.0,0.05128205128205128,0.13333333333333344,0.0,0.0,0.0,0.0,0.15873015873015875,0.5000000000000012
2026,,0.0,0.05128205128205128,0.0,0.0,0.11666666666666665,0.4000000000000009,0.0,0.07142857142857142,0.3333333333333333
2027,,0.0,0.15384615384615385,0.0,0.0,0.125,0.5500000000000007,0.0,0.16666666666666666,1.0
2028,,0.0,0.14102564102564102,0.6666666666666673,0.0,0.05,0.05000000000000071,0.0,0.09523809523809523,3.552713678800501e-15
2029,,0.0,0.05128205128205128,0.13333333333333344,0.0,0.14166666666666666,0.5166666666666669,0.0,0.18253968253968256,1.0
2030,,0.0,0.0,0.0,0.0,0.225,1.0,0.0,0.13492063492063494,0.5000000000000018
2031,,0.0,0.15384615384615385,0.8000000000000007,0.0,0.1,0.10000000000000142,0.0,0.13492063492063494,0.3333333333333339
2032,,0.0,0.10256410256410257,0.16666666666666666,0.0,0.05,0.0,0.0,0.11904761904761904,0.5000000000000006
2033,,0.0,0.038461538461538464,0.0,0.0,0.075,0.05000000000000071,0.0,0.047619047619047616,0.0
2034,,0.0,0.1282051282051282,0.3333333333333333,0.0,0.06666666666666667,0.0,0.0,0.15079365079365079,1.0
2035,,0.0,0.10256410256410256,0.0,0.0,0.1,0.0,0.0,0.047619047619047616,0.0
2036,,0.0,0.038461538461538464,0.13333333333333344,0.0,0.15,0.5500000000000007,0.0,0.055555555555555546,0.3333333333333333
2037,,0.0,0.21794871794871795,0.8333333333333339,0.0,0.225,0.6833333333333335,0.0,0.031746031746031744,5.921189464667501e-16
2038,,0.0,0.08974358974358974,0.43333333333333357,0.0,0.05,0.0,0.0,0.09523809523809523,0.5
2039,,0.0,0.15384615384615385,0.8000000000000007,0.0,0.075,0.0,0.0,0.10317460317460318,0.16666666666666963
2040,,0.0,0.14102564102564102,0.6666666666666673,0.0,0.15,0.5500000000000007,0.0,0.16666666666666666,1.0
2041,,0.0,0.0,0.0,0.0,0.1,0.10000000000000142,0.0,0.1349206349206349,0.3333333333333357
