year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,0.0,570.3158867938281,657.2971312930923,718.7663722400919,520.3132908845417,657.9960786335618,747.143279715518,526.1706517288753,675.646623418978,756.5790198430833
1992,,566.2385992998602,653.2661760484458,712.9819641788062,527.7508174783528,660.401254329246,740.9136540777391,537.6616598948674,681.1567520774463,752.8198076725373
1993,,531.5637223030631,633.5355711437735,700.4719766649412,499.6848302346152,652.8866355173053,750.0140596209498,505.92623368293255,671.6523241044943,760.9367275922122
1994,,541.6054443779267,633.1821238748569,694.9048138628542,505.3309580167138,645.4736313193911,730.0005867430173,513.0408191200141,664.5521137276359,738.1719846116879
1995,,569.1664633133288,651.3541504429703,705.3310175167904,535.6993977913984,656.7319132501021,734.7414831709553,542.891312370863,675.9174816759478,748.2893754824046
1996,,559.1555891630951,646.9235285140501,706.5201597290273,502.95685610398726,650.4883743911417,746.9794601019235,516.1378134826053,670.0602788517906,763.6359442124101
1997,,553.905921803046,633.6888305583004,687.9369144138263,503.61106240255606,642.5554285742337,721.7487737076098,515.836779085524,662.6675428116093,734.315756609483
1998,,551.0764850082865,624.6206555600162,680.8494944890385,510.69044450837725,641.0100791761128,711.6733916802888,520.2036081968207,658.6697677887474,724.3398198421601
1999,,541.4771538622845,628.4385604647414,681.3799785741774,511.6081366973926,649.8439398590692,746.9526282175948,520.5014386246329,667.9241864485173,764.4276099579223
2000,,529.6570832505229,623.7983847932092,695.6433795558637,500.6157016190979,649.4763392048999,746.504419937485,507.47253391704373,670.4245225716948,764.6874388104148
2001,,557.6818100607479,637.5248624704438,706.1425963447673,513.5896285481205,641.5795604487832,722.0931485433262,525.3450793462695,660.7148957632155,753.0083915298384
2002,,590.67530244422,649.6422568143041,694.9030482700978,524.6091626298879,658.0922549111598,735.0575583596774,542.152272999508,680.2116170373305,762.2274883188059
2003,,569.2073520353396,631.0014243929276,680.3878640531652,517.0744705491517,646.0694664874087,726.7856855887394,527.3596239461942,666.0696123539358,735.7327766419914
2004,,553.0332499206555,628.1128693784901,679.560113866802,501.03562302825776,632.6262413142616,701.8769582309134,512.7803487000912,655.6098583219531,727.0049907859457
2005,,530.0935833185704,630.4528674616165,696.3458007836462,493.65591590791666,642.7101430333008,735.6930819860567,502.6547896411896,664.1050965107545,764.0295190144834
2006,,535.3384268058825,625.5640247324897,691.3486898028484,498.9764379864488,645.0474969475251,726.6397569918012,505.9525371167333,662.6219355638099,740.7695490429422
2007,,550.2723976289706,620.3918920023767,666.5692261584892,514.703505000436,642.8915849554533,721.6047200678719,527.302468812898,654.5752851977398,728.311378940336
2008,,538.6522495055591,613.5638581068339,681.6248995137942,510.85446574547063,629.6302500703769,715.2895499486752,532.1738868263856,666.0086615009177,740.1612626791563
2009,,548.9418696083621,629.0791436324963,682.0760299865158,524.2420762042044,646.7342840400021,741.7259440088097,549.7275365165466,678.3789897901054,753.0854108557152
2010,,546.6991033982392,637.1376452331733,705.8262295084144,499.0459857658696,630.9333773318855,705.4225959064908,511.0085238793255,660.6659327244237,744.6117341651592
2011,,543.6740596651098,623.2159641770552,686.0529290043808,526.1802958734489,636.2490270379656,723.3970684495894,517.3492188095119,662.5020034530278,752.0951480846134
2012,,568.0204540258312,635.1597734406541,678.7593900337181,521.2213692744604,646.5196419548496,722.7779209937053,519.1687479734989,657.4488253595371,736.6007090552368
2013,,539.4934762772268,619.8814819486028,683.7173994422176,501.575934514274,640.5659071052074,719.3280109008829,537.5508797538675,662.5904605998758,726.2106671174485
2014,,545.175050605919,624.9259283405448,674.5362075637652,506.4147083561443,635.8952120783417,724.933736638733,512.1387554843765,656.1984423091768,730.1714725313304
2015,,525.9255592743787,632.3651585063909,705.6930636372992,511.5746859026909,627.8549443665992,696.3606182337364,500.54282755586354,670.4636911618006,734.9773556416336
2016,,552.0111235307915,624.8443162215026,678.1327228693397,518.3066735074177,635.2303198197211,718.1349951386796,467.8514446871102,649.1782404143958,749.8605619590243
2017,,526.0322784979774,615.6867664538806,675.4431026523681,502.28991363806153,644.3141936422111,751.360926906576,509.46660591390844,659.0742389235986,737.6379340897074
2018,,568.4104879057414,631.4474800435028,681.6980611779034,510.1480789477333,633.5067493344206,730.6104347400749,522.0358395244941,662.2086348209107,732.1146033215169
2019,,516.5944107206162,613.7665695639023,683.4465537596069,518.9709245283441,634.4221548998215,706.7700567856359,494.8923258526702,650.5516571938185,727.7305312256763
2020,,539.1798606861944,624.7434277104783,696.1588624431483,504.8681735474411,633.8352350297679,706.5222970544522,499.0692932311663,655.2291249202387,725.8704481143657
2021,,560.6355190642998,624.7599180323241,675.0283343104268,492.51092898055856,627.8711146967331,714.979504834476,524.8103230205352,661.8048671811733,744.81884543119
2022,,543.5254660371132,620.6799179973393,676.0287754827721,468.56611638091215,628.6965490567594,723.0474207960441,504.6233936785776,649.329156863784,753.3270703466806
2023,,531.5119014680629,605.3699404391805,653.8934406151313,474.43226965820054,629.7355978276652,725.5621188879686,523.6326521700257,647.5860860867093,712.6232251085695
2024,,531.8365030538099,620.6970419539467,685.0000355587124,508.246933759694,630.9892017479406,696.681265165359,510.90060540540946,651.0089114384234,732.6576461851514
2025,,549.7180279964497,628.4248264509935,691.9688609165328,499.3108841473353,634.1922663728816,699.8017565359191,512.4812895023517,651.0439878953275,732.2741480941951
2026,,531.4230907765949,624.3388187303005,687.0100440130288,476.64964329846083,619.9301644566065,718.9341923066268,507.61760736534404,648.8769158227153,722.5618834146818
2027,,530.4980974374316,618.965864756606,676.1634761134512,482.4862178288816,631.5120406073595,716.1074513863925,527.4806844142722,657.333800514663,731.535972452587
2028,,535.1305901591704,622.9284713773554,701.9131077223653,506.4062688581526,618.3529340250843,707.5929979306321,518.1573304996094,646.6724089091043,734.2474921153862
2029,,514.183024752935,602.8419851366197,659.0326194357724,508.93298820682685,624.8075280875124,702.6582385149303,517.0736178080848,644.0005422431861,731.2941889449105
2030,,554.2501193411597,614.8397744094702,657.6958540219501,449.8354803847038,620.3016597256367,695.083367607858,509.408715055341,641.584447427988,699.1911253806742
2031,,535.476096570552,618.4286504944101,680.6715921857347,504.020628984699,634.3198925666735,730.9741915984381,511.7338192594742,653.0633252613285,726.5276683619034
2032,,529.7401058483033,607.2648479785676,667.1100738849558,493.49233066126,627.5298473099314,720.093216476752,529.6111061741168,633.4522484207719,698.0923503840082
2033,,564.3599546139241,612.5105324738238,641.9641496459063,472.01729104319804,626.9631676415353,706.0630095956091,506.6673670795442,655.2021806212955,746.8132917828227
2034,,558.6259415601206,639.5345983159248,686.629162789417,509.19423094344825,631.8686369504327,709.522058745581,515.7167825130846,639.1295001857097,731.0838939458619
2035,,558.771758925769,627.3766098935118,678.1907970115326,487.1161881354964,631.4653466677985,725.00980672406,518.7347221125631,653.3480117165315,744.5751006088343
2036,,535.4715371672696,601.8230250410357,643.5904877827735,527.7348823162732,626.4305245167794,705.3608494915267,471.03727854168733,647.9976072223981,744.2480767943871
2037,,559.8954866560421,629.9223067729329,692.5800894631084,495.320558740185,636.0443163505706,717.5895538289145,529.1094742198285,640.3426691857081,724.8322739312184
2038,,548.2148158981494,615.4561469672328,670.672684750798,468.1273464507138,628.9685319990629,714.6962592616661,513.5154945708911,651.8325443183718,722.8096082066824
2039,,537.9894831076838,595.5704020887604,634.884930454956,489.9813594673696,624.302065950623,706.7940030569314,526.9805567545828,659.0679680010442,741.0717932622184
2040,,548.2975927561573,605.4052255514245,656.0413137416452,485.3555416403977,622.4164919974799,729.3104870016956,488.6056396482618,636.2978613918219,730.6149083211475
2041,,552.0704524208429,624.2006920405695,677.2327528150911,500.090833705636,624.2616536744874,675.3686105938674,498.3435807577414,634.348818704475,713.96021274135
2042,,513.3384169161824,604.6296063515745,667.2479937736757,486.1623614204633,614.1375443844323,690.4452304500616,509.32873833097887,643.8719096694049,715.8769768934699
2043,,555.9627049991527,618.3922821009123,668.6107133322014,478.4879952072699,608.8845534627629,694.3772602634457,505.3374053297474,640.7542808983683,731.2221068992449
2044,,521.3205185900856,597.6606134961651,655.4018697342403,506.7781859146791,623.4878491556512,735.5452295912281,471.3085657344855,634.2026867496018,718.3101054308546
2045,,545.7303979282217,614.1887528062243,663.5922877350924,485.2643111570913,626.7263522487399,719.5738943726866,465.67736785654387,634.939842282423,717.7649759360087
2046,,544.8794689436131,612.5753474445033,662.7916166686762,492.80666851039337,622.4381563752125,686.9762288947034,499.1651339133631,646.1570452545517,725.7670564896666
2047,,521.7627587102944,606.4612820509841,669.8449324422581,492.13307694841313,605.5591242438231,686.5044260614243,497.1230812127213,623.7581265123623,708.6785723130062
2048,,529.7719924531661,614.0992306572799,666.4065373001404,502.8786171016961,608.539282851033,673.708208501537,505.51096935016346,620.898978778376,683.0682764830799
2049,,534.5253658719372,619.3413292389114,677.8220403775454,517.0678881495893,618.8731413878311,694.2596874370619,473.288206615419,631.7782054007181,712.7296493244351
2050,,551.8424029827456,620.7183392524432,670.976006218657,503.3207742124939,619.198492392582,708.8745659944368,493.62620911300144,643.6113032803208,715.3422705271655
2051,,519.5499075961343,592.2746049436654,647.8880275494005,507.7945163770526,620.1498157224639,703.3147165222349,466.7294278073443,635.1114912315194,716.9429781300082
2052,,502.34234336493415,601.1321940677817,677.3575161024442,484.1270809268282,602.8183882110843,659.2563380211618,484.7317646007585,618.1548263467005,687.5223944018162
2053,,515.1559264871855,603.0539983019393,665.0909046416054,487.05695968948646,601.9394887649847,696.0491468801883,483.19096359939596,630.7805504939628,723.9486223760266
2054,,526.802715495808,598.5756684582118,655.6835072119467,492.5886410312955,617.133089723305,686.8418280699353,517.5574344098413,627.1101919356395,699.7069771599263
2055,,531.3888796578915,602.8482897250658,658.5127263883614,496.89279141789063,605.6850955357247,684.9516356071521,489.1265029906066,630.2441794968047,694.8758279175468
2056,,522.7445893268725,606.5425063893416,672.2867041746939,513.789852287664,619.4696932181993,727.4205598290636,492.82985460518194,617.2715302269189,708.46024581782
2057,,544.4549231157675,606.9742573150791,658.263849993981,523.5998858858626,632.6129925546717,716.4279497841352,523.7972393646738,638.1219872132232,720.4501395555442
2058,,520.5439912633528,604.1136282433902,666.3005122556608,507.45410405459825,611.336844620362,679.1233949258659,494.9631814784112,631.3253599641372,716.6778625303825
2059,,560.888592587394,636.1529367488745,684.1669066382879,492.801185203257,607.1287091715642,714.6136536100781,476.5018162679647,630.6585573963833,705.932346135456
2060,,528.2423276521813,603.6373311921017,672.208447844863,508.12950876617026,595.4379486523616,668.0673833545319,516.1273663664607,608.5406723047299,686.6915239187801
2061,,512.5100839439427,608.1950205453694,685.6154857638091,487.6052312807889,621.7588646191246,707.6278571725069,488.6296354741413,619.9503638738772,706.1025960468836
2062,,565.6111695547526,614.8238101303103,649.9053298858678,497.2148440671087,598.5052857061803,678.0482206863787,490.32753856322495,614.3654009072985,684.5200165975237
2063,,544.5592347456413,604.9880556669943,655.0618239527007,512.097820041873,615.0177969077243,705.4602736578596,493.3604496340848,611.4084781544055,689.1188317082962
2064,,552.958040852071,621.2740821507936,687.5680716372452,490.0821527453578,604.6075667166804,687.3321028439107,469.672800893052,608.119951611085,692.4557443152709
2065,,538.445267825003,597.9832571709862,646.1392684596735,505.4602964863893,617.5783060440866,715.8451891323017,479.1454872780638,608.0440152423337,687.5728208583539
2066,,547.6778845427841,605.709522794052,660.1462190739437,490.15108553833863,599.5069403729773,673.9264724794718,481.31249459579067,611.7569044129359,669.71027810783
2067,,544.885108140629,604.1065219968793,643.3016314482977,482.3669703738933,610.0353605820956,689.6740427108401,461.2001017546092,598.379877777061,669.910023566898
2068,,533.2922091341879,612.017482578009,678.1233831527857,475.7815763300338,595.5599871315726,678.9095895792802,512.7236526824335,618.4644985813482,711.69229177467
2069,,534.4488944123499,617.1747722970914,674.6308350043471,485.96638196784204,594.1222560481144,678.6288666124309,458.2224609693523,604.836028190881,693.6634952823216
2070,,534.3754771695831,606.2742731299057,670.6221403566271,486.9498590341374,592.7462314605834,678.0892254803334,500.76507750512275,606.7046317235709,668.5907522802244
2071,,545.9661792282162,625.5986082630706,678.8106407507804,462.5282137112874,599.8744267623972,704.7672871394625,492.83411834413175,614.966825382369,698.399438657374
2072,,539.1615187379214,620.8304158553517,692.4773724014531,454.65505868835766,606.6874717500593,688.9876715878079,475.5538485554927,606.496492324112,698.9910398373786
2073,,551.8589592032233,624.556062674248,682.3304872445832,489.5652751873097,596.4780748535761,667.1577207326588,483.80208418775635,615.7839432742081,679.24066493559
2074,,506.0173550102937,579.4538878045554,625.5417552581736,479.61041066260947,595.4772769799426,701.7392866104419,473.1159261587122,605.2381780427771,714.2232193212195
2075,,561.1580605708486,627.7841902686305,674.6207557785319,514.8180390679393,613.9954659594121,679.3392580684664,480.7654339331786,597.3133029297089,674.8392500518607
2076,,504.67851532138377,592.7712809015662,651.2005863491179,474.6094174567454,603.6062451862933,683.4553688863222,457.48817530909014,575.5136535885825,635.5731105543607
2077,,558.4996361685133,623.1071073863676,677.8966999455295,487.0253660306421,601.7209514384356,670.4550826785422,453.0238070706674,596.6216022839617,674.0544704310687
2078,,556.0864222514646,623.5952201218089,677.0186087936935,500.06172751457814,606.7588007328746,679.6969509041746,463.2206599520187,604.9174147300093,683.0005807963262
2079,,546.9261944657236,612.6660210997918,664.7021842916615,473.4666577605755,608.9366585051455,707.061918495307,455.29307630910466,594.4000659073259,668.1717609706418
2080,,535.3368142938156,597.3617607295818,637.2117386973457,452.55810611314683,587.7993895017528,689.0935291000762,472.0918078135897,594.9246291140232,667.7819215395465
