year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1991,2728.2361167271933,2716.6436849200095,2721.3876865593725,2764.0999196803773,2786.594415717211,2747.327921713709,2784.0959247072783,2724.6784365381086,2737.4185413448727,2754.935428511764,2710.021481869066,2725.899075558135,2724.800882316084,2719.8788027096766,2726.2776247410193,2731.612091488229,2721.924486372045,2752.950963024621,2748.6713822026372,2750.884902320609,2793.1191901995467,2701.028587825966,2731.0858778883935,2725.400055368589,2772.591707781941,2777.722410067326
1992,,2720.4260343364663,2724.4016028782376,2747.8116213345675,2767.7547078684274,2830.9621966108316,2887.1954691071664,2718.26179204214,2733.692734345967,2750.1317044168695,2703.431664517535,2719.697883930624,2719.94169133494,2723.895364388762,2730.876282550056,2706.950004305411,2677.8865519931373,2704.597977924042,2726.3750510167206,2734.3521996144373,2771.987125862817,2657.468516312419,2676.9061476870297,2686.110837103925,2719.113238305454,2733.2791389740246
1993,,2698.5151611981123,2706.825480116146,2718.987677574012,2736.6022124869264,2760.8362464855945,2807.1350459586643,2707.8386866688584,2721.4744280212904,2733.410561775225,2750.832734473621,2767.241023550179,2725.730140628639,2737.534168599062,2746.1102219530235,2741.7780866618073,2720.6476302418305,2755.2384431150895,2752.9485539161137,2763.279581700454,2796.4718550958787,2722.3691002991986,2741.6795599563925,2746.7913094460164,2710.963150296327,2716.581070921437
1994,,2696.3906452521046,2704.0410986770466,2750.2208429996767,2767.259226597491,2742.3487392857555,2790.3741598694855,2728.998163032527,2742.3068046159256,2758.805433219357,2716.4211226469397,2728.7930752159587,2682.9697779209696,2695.6274942743685,2699.3706673969214,2729.9614337440375,2696.8746917604894,2734.2141713630554,2729.391350159034,2748.332760375575,2778.3264905118067,2722.3378534162603,2743.428547645431,2750.6203985858738,2736.1687204289537,2747.100471930671
1995,,2690.9035523013767,2704.4351427991473,2723.3798097828003,2745.374745493343,2820.4544658239024,2872.488577948308,2701.8701259314944,2718.2969787511734,2727.5686244167387,2706.760095895212,2717.1730710657807,2735.3133230435833,2747.272518828587,2746.3733303254044,2739.0635380843305,2707.3650341123416,2734.1269012419343,2696.1195813786676,2709.9585970738553,2743.078307488298,2704.388655574719,2728.61151507769,2735.0453552209037,2778.21536665767,2797.4095625632094
1996,,2765.244142314128,2777.981750509302,2758.639524473909,2769.7118285631573,2760.5173594924913,2809.147933406182,2678.270512026425,2692.4179570994415,2709.53957439295,2821.8207460835765,2838.991846113193,2727.300829847969,2718.213702366817,2726.3708097704034,2761.7880845852524,2739.6057956736017,2768.411077879347,2771.2775363567075,2776.628273851685,2814.345795304562,2710.750877622244,2733.3742836391934,2734.5764061965515,2728.9865466288616,2742.090354094548
1997,,2737.587297513362,2756.9238552275674,2741.650823209255,2767.1697457907376,2822.5168321782617,2854.9475196484614,2741.8218547130314,2755.314335265344,2775.1049867951137,2760.412186743628,2778.5025021368115,2736.614389044112,2737.7091913839176,2746.815549426897,2740.075045030697,2714.795530120296,2736.3265520011355,2725.6553718936516,2735.901038028802,2776.637302140612,2759.7350257079565,2774.297227955011,2778.5176869877937,2759.909035332908,2770.2689399494116
1998,,2737.22434220496,2740.91300378552,2741.4027380849343,2755.6295765895397,2787.500452224831,2824.0006669986865,2772.4033953500125,2788.0672584341296,2806.074292890183,2777.303373854144,2797.6274269227456,2730.3793026012813,2733.493092984984,2743.5113226344124,2750.9545996085963,2738.01939261926,2764.804482972017,2686.045171796112,2705.708432830358,2727.3930729729054,2748.0690032578073,2762.691316113544,2771.0032698708587,2734.781209861459,2751.8313797020833
1999,,2696.2566110595676,2701.2093249499226,2712.094808845767,2735.014899252698,2772.7553103743962,2811.350353135142,2724.7175256714922,2749.4098430932886,2759.3247776672247,2699.946749712401,2713.667554167328,2737.5226489714937,2744.2458722898405,2754.737396211858,2736.733466134763,2718.214932472136,2748.2668054527635,2740.2336435748566,2755.3298704604986,2782.000132314328,2734.4586837216048,2751.3860537533888,2759.742966510886,2704.2186902393537,2719.346998532968
2000,,2698.6869279866446,2705.7193965256242,2786.101781551161,2820.419346127341,2744.5445286136123,2796.0461429628685,2761.820318603606,2783.9608301411445,2798.685319784328,2734.74034061119,2749.158124391058,2707.132206600716,2717.2190325411834,2731.699985250077,2781.7645210889914,2773.6510876839898,2795.99790335039,2748.7273575155136,2766.7611046028874,2804.447278113563,2761.924020525337,2778.7517712659574,2784.7684978436896,2708.5434710676473,2715.5007153844267
