year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1991,0.0,527.6472030245627,532.3912046639257,628.4456281697953,650.9401242066292,946.1654791487449,982.933482142314,689.9848795141065,702.7249843208706,720.2418714877617,454.30808162435324,470.18567531342205,729.9517816071225,725.0297020007151,731.4285240320578,701.9882581895458,692.3006530733619,723.327129725938,642.1027774949193,644.316297612891,686.5505854918288,522.4579596597673,552.5152497221948,546.8294272023904,706.5075076381268,711.638209923512
1992,,566.6643911651558,570.6399597069271,646.4909999632982,666.4340864971582,938.4248054250711,994.658077921406,683.2910287164486,698.7219710202758,715.1609410911783,467.4901412040126,483.75636061710156,715.0142975408803,718.9679705947024,725.9488887559964,709.933464135695,680.8700118234215,707.5814377543261,643.0832730483139,651.0604216460306,688.6953478944101,515.008816800891,534.4464481755017,543.6511375923969,700.87538227499,715.0412829435604
1993,,566.8415092644423,575.151828182476,639.0896182058787,656.7041531187929,964.3590598057544,1010.6578592788242,707.6180600762223,721.2538014286542,733.1899351825887,430.7495633443941,447.15785242095217,689.7528515480194,701.5568795184422,710.1329328724037,685.4145606751358,664.284104255159,698.874917128418,596.8585387431553,607.1895665274956,640.3818399229203,488.03384467633487,507.3443043335287,512.4560538231526,726.197948489305,731.8158691144149
1994,,539.8811862333973,547.5316396583394,650.2229261820116,667.2613097798258,935.1462034180645,983.1716240017945,667.4433556079816,680.7519971913803,697.2506257948116,449.22118911803955,461.5931416870585,694.54891298128,707.2066293346788,710.9498024572317,695.142081117237,662.0553391336889,699.3948187362548,618.3015871137231,637.2429973302642,667.2367274664957,490.4746825540624,511.5653767832332,518.7572277236759,681.442468469153,692.3742199708704
1995,,544.3655271606144,557.897117658385,676.628811285791,698.6237469963339,931.5916205222743,983.6257326466798,696.4423928677966,712.8692456874755,722.1408913530408,457.7042334684543,468.1172086390229,686.4268570172771,698.386052802281,697.4868642990982,711.2567672827863,679.5582633107974,706.3201304403901,642.101888574331,655.9409042695188,689.0606146839614,520.5428464726606,544.7657059756316,551.1995461188453,665.5087680181819,684.7029639237212
1996,,509.97631063096924,522.7139188261431,645.04664350963,656.1189475988781,938.961035725783,987.5916096394735,685.4139707504469,699.5614158234634,716.6830331169717,439.78176536114916,456.9528653907655,715.4374312960281,706.350303814876,714.5074112184625,693.1442523785263,670.9619634668757,699.7672456726209,626.0880186202726,631.4387561152503,669.1562775681273,514.5339695249768,537.1573755419263,538.3594980992843,725.6481739214946,738.7519813871809
1997,,509.15861482846367,528.495172542669,635.612759444683,661.1316820261654,947.9215685779122,980.3522560481119,660.4490363622394,673.9415169145523,693.7321684443218,453.6830905693878,471.77340596257136,682.9314359248342,684.0262382646397,693.1325963076192,691.2739000731544,665.9943851627536,687.5254070435931,631.8397322785927,642.085398413743,682.8216625255532,501.9500481526816,516.5122503997359,520.7327094325187,696.6184631664651,706.9783677829687
1998,,531.7757802981455,535.4644418787052,671.5561765338402,685.7830150384457,948.212634746651,984.7128495205066,621.1896093440387,636.8534724281558,654.8605068842094,436.2940103220776,456.61806339067925,682.2774631781017,685.3912535618042,695.4094832112328,678.7075414554438,665.7723344661076,692.5574248188645,636.5942617047117,656.257522738958,677.9421628815053,504.334402117785,518.9567149735217,527.2686687308365,659.0308916918652,676.0810615324895
1999,,524.7135850891086,529.6662989794636,659.1725302031127,682.0926206100435,949.611574846404,988.2066176071498,682.129100988875,706.8214184106714,716.7363529846075,453.3933346523577,467.1141391072847,676.6890607289629,683.4122840473096,693.9038079693273,680.2562949521307,661.7377612895034,691.789634270131,601.9692676497925,617.0654945354345,643.7357563892638,501.14907800394576,518.0764480357298,526.4333607932272,724.4349674810605,739.5632757746748
2000,,565.4700134520758,572.5024819910554,605.2860103290463,639.6035749052267,947.1739249330017,998.6755392822579,667.9269753933859,690.0674869309241,704.7919765741076,479.6980827061834,494.1158664860518,714.1209823308491,724.2078082713165,738.6887609802102,655.8573234943487,647.7438900893471,670.0907057557474,594.974511989772,613.0082590771458,650.6944325878212,486.11213075769,502.93988149831057,508.9566080760428,719.1680347616475,726.125279078427
2001,,520.8952727653855,531.7691107167252,618.4719451948554,637.5726115858383,907.96380460504,959.4432342924833,687.2782450382683,701.440853425358,718.5042113259005,447.83883059273603,467.52879701216807,649.7190992079045,669.1113980650371,666.6191896212199,718.7188305491,697.0026392497934,730.0711867784335,607.3153623670987,621.056752387211,651.7705281610051,524.5927751898475,543.0289870893143,546.1630195544858,688.9851211131027,697.7070685838953
2002,,533.1974043217801,550.9286031037086,680.6745872329343,702.2872558947201,940.2178705016449,991.7092332530715,654.8092967913344,670.9981409829447,682.5144656612224,447.31498740285815,463.16530206170273,707.4220446888266,712.2619681216811,736.7295166594431,676.1245536420047,653.9602458817953,683.3063211546573,661.9360827365444,672.7811740853417,704.155174638247,547.9193062128106,562.4634651196288,570.6360688445166,707.0527054609879,716.6842291020171
2003,,527.8978171735685,537.2076896573362,662.8774295606108,683.4015959755329,984.1497553023305,1020.775667495252,665.4475885678603,680.6600313856507,699.1232454755777,419.6643509294008,438.7270325459158,690.3480477100352,698.1896778427849,701.6834819584437,624.8138885417097,597.4696822833916,628.0579256155579,642.2612694472732,648.9298201840556,691.226240041151,532.1363276977595,548.9897341218734,556.4319004496283,691.8663660904203,704.0613443249626
2004,,507.3325492865747,518.3566685374758,616.8137497856478,643.6267847433046,949.470241776562,1002.1922924431406,657.6857188630274,673.0565744991145,695.1700128514294,444.36328670340527,462.59347016362926,675.9105583154501,674.3665933925081,693.0968353477983,681.9931509010366,667.7394619259398,696.4286239351463,609.7585068355324,621.8426910320618,657.717670348673,515.2164119774043,535.8171760755044,541.8333181557682,635.4600886652975,645.0829066931651
2005,,498.445846919572,512.942683730626,659.3697853031535,672.4785797155087,937.3648166945882,982.3189088352356,700.4613752282971,713.2851114628866,739.7751423677332,460.8914338530117,483.7814562119056,690.1724391166699,698.2997933880083,709.2409292869056,678.1582804403256,671.2998170901792,702.2931778478487,599.948810975518,612.7696553156165,649.4411090828212,483.52343154727214,497.2964139140172,504.75182668888783,678.0787563919753,684.0271513400726
2006,,533.4416712027669,547.0047454646647,653.1843860610916,714.7979536483604,907.5443442160708,968.7738208677761,657.7670455641551,685.374190833998,715.4357410624052,468.01602678000427,468.19429181072155,664.6643456559191,706.5392473002157,641.5346257291553,709.138252567468,665.8452303061713,712.903203172446,612.0593055953054,623.9634344486803,684.3193828623084,484.19117427960055,502.41648367605376,510.1478977062902,704.1499546501987,663.1076933139707
2007,,537.2952365069727,541.9050159492085,642.5147959876535,667.3902048124583,944.6182539937977,1008.8525471338785,650.3018088705089,680.5736387336224,697.1401380299426,461.68355509256025,446.7775060843942,656.7937629561898,691.0972375558449,616.0422232428004,673.0862016266888,633.8659362471103,694.2087421328047,613.9710715306351,619.8471463706683,684.7859024452496,507.80661502786097,520.5946105457556,536.2496868938429,696.8254385205469,652.4008852528191
2008,,550.3918906999534,540.1509085840589,643.6905960747486,678.6897066445922,937.6116192589161,1002.5874618415005,686.3877016504753,653.813508229628,693.9007763568511,401.9970216619863,460.38069100732537,615.8612932711908,690.587097803093,670.2961424935106,674.4806963087726,589.8302826799904,658.6305043557459,580.0075503833964,638.0108324152211,682.0908842794797,511.0820489203343,522.9497373103022,562.3567433405501,667.4199145699299,711.0027961055625
2009,,530.5658823351728,573.3100600793882,656.8341506164093,691.9300715115319,923.4002349168863,998.4201326985853,673.3882427533949,717.3031462742642,710.3986037485811,467.3278210254898,471.30050207109343,687.8678881419296,721.5399116856902,725.8259973176187,644.3192253884749,616.0187923332364,671.8900148803732,654.4633961237282,607.1389646922034,696.6939016881147,485.35696575495376,531.6425402510117,558.4416514549303,695.5713962696559,685.5789624508357
2010,,523.4141647026431,521.7983954732085,643.9488877668919,685.6170002689473,894.8787000725183,933.8966542151702,657.0769630654336,684.371917665821,698.2618398339014,460.66060056921424,495.2468407559495,654.4216400909568,663.1799763761724,723.5800763818247,730.5200593959748,628.0648425498089,652.474325644112,668.7854846770738,639.4358863372368,690.0364544523295,474.8840789364276,503.31102856549796,512.759822004145,668.0677687130506,692.9879182146492
2011,,545.7847206842202,520.005750013725,626.519277513295,705.9952430110056,926.1096933052627,982.0850543887123,680.8486946173366,700.8734434656258,726.5407140508246,458.01323220464883,509.8280521509664,643.2684905338515,657.9198144999609,685.3821032191481,689.5224185957436,645.1200948164364,653.0895344510523,588.9503530894831,591.4311170089604,689.6214937673867,513.4898640488609,533.7544140588711,518.1849039937947,676.9644628223741,634.2871854836626
2012,,553.4098852412167,522.200870577572,685.9787625498784,643.6526502620636,947.0633282146405,1000.2019003321147,670.8531747693755,657.9432354806054,689.2707202574907,473.64758803400446,491.8796445368407,628.64380416936,697.8573201913791,642.0436656971192,684.0302002099465,639.403244312391,691.2285914425665,664.6668007911098,606.7473102656681,648.5871165855001,527.6048872634788,526.5073449678443,538.1114061018525,676.638400290869,707.3116878022506
2013,,560.4243091144099,541.9921578945564,622.0195569482057,659.6236195323581,909.3405470751732,980.3943792813957,661.4121197147629,698.2155068815173,696.6895489991707,437.180793658541,497.57937648766847,640.2150511503455,670.0852874444554,668.7489912359706,698.5875859271873,667.6826702125704,670.5538483489231,600.1105774660205,647.4040502652911,697.9680324325655,499.0820754846977,508.73095016491106,544.1024285932012,684.5753992869991,668.2522231929474
2014,,541.3444531352343,538.6386421774473,666.4495401587105,645.6535776705673,888.9760210360109,1001.0675282931497,671.6794665780453,666.5450828924568,688.2918938656294,461.24586044243324,442.7425777152275,665.0176531827797,684.8763992786212,673.4942829872639,676.4407015542452,589.4064866469143,662.0576793333407,608.6002081333677,641.9679918074439,700.0719107800173,502.89161225428643,511.4334692354455,519.8494419031708,706.7068161501466,690.1168883659539
2015,,520.3316009150708,566.6675605403975,640.3814497604508,676.8718255233275,916.4315919041096,998.2103475748058,687.7232575163703,671.9082878259173,700.2829886236705,432.7624507912715,469.74830843041855,716.1512863656171,652.3528641678427,698.9076054795055,690.0057295448223,622.4156901276888,699.026103768168,574.2087609435407,643.1043288554688,685.228485458852,493.73675816160403,552.8321270828164,503.9644407920241,626.0290522353553,705.7292454268368
2016,,531.8286137363975,494.91884475223924,662.1113385534095,638.7920725066574,928.5599600331047,1013.5375117942472,640.4808224562316,679.3984556505725,693.6068527012208,465.58918564352143,468.79188294564983,674.2699363049492,642.612808062031,720.5631230884442,680.7079139122666,624.5527538140236,676.325358924099,626.2331076482396,598.7314670614455,634.7197231680498,502.52980078582596,524.1641721589617,459.3875003602534,694.7544434837437,691.1395339030969
2017,,510.1784214893537,576.9460397815924,647.7727326292111,708.2933204595988,958.5200183899583,1001.7394567606857,656.4771210118802,728.3432500750891,661.8299925673132,431.2933429764321,486.13670570378963,659.6297120214872,672.1742259791095,670.860866778819,685.9853630729554,645.9590568766721,673.144898796179,598.8635159993537,655.8188042599345,632.0373774316836,477.47812016372654,518.8518432323867,512.0588170483661,674.2302405139635,667.6949139079593
2018,,556.7090908982959,538.0727766281684,675.2718779606671,658.0299493305106,912.8202022645114,967.640797528617,698.9927773273375,710.3649050151375,705.9450261873949,457.08936097254673,518.0533111442182,647.990619907569,667.7084408604096,645.7266882778058,655.7559869537522,625.2297481052478,699.1977345768769,621.4416085578582,603.8215541181999,663.3724193988605,533.0564074709969,516.0434920560874,522.4783426778581,610.008821093103,703.5693024587968
2019,,531.7943229552307,529.9885634548277,660.2564025819702,677.8026420080132,937.3269376757326,942.6698054771855,648.164503042271,681.1526255756253,703.8483896421753,462.23474571151564,473.78349193284384,675.3381821524149,673.1791929712458,656.3257280219455,688.8521348310683,611.1282468779027,691.2254388961555,586.4620297781898,595.8585170438678,662.2960336951178,470.0159980155672,525.2749443968805,497.237751843762,666.0156132082448,670.3387269661575
2020,,528.0630543252305,529.1829156614754,643.6880818932027,665.85529659134,936.355601995851,1019.9415108026446,650.4901548752882,660.515655930607,693.1958855934458,458.6523132442612,468.81958354290737,651.8922680197916,674.6982458182174,620.8292222303803,725.6699253920528,608.5360026926924,692.8986922472473,591.0950673648035,636.8548620888587,682.1260240218362,504.56972290045496,510.00326913668323,502.4303720854173,680.9852631720746,677.011746425695
2021,,527.1178059425497,547.226629771696,639.9865286265012,667.6753867662742,957.6912982288181,963.3426338176628,685.7424900511674,680.4047801557895,708.6391337855616,457.1767873984754,473.8433843741841,658.957100699316,688.0115277906602,671.3808569322969,637.2006196138641,623.9328491140991,704.9720986062798,622.5205440703194,565.4746193814622,629.9568070549558,519.3788357269536,496.4369447119011,530.4733162034631,642.4780056170748,720.5384244993597
2022,,533.0579444316395,548.4183543849272,636.849669945123,679.8152599811729,944.7872766430223,958.5803751465905,683.0945332352026,698.4096590352688,730.5211475911351,410.2053420482184,470.7137765543607,656.1863741556467,691.3007338640873,631.5121348065272,665.4301388541262,617.9412252868083,664.6236616437259,578.4383010395964,629.1796510098516,661.0167225722184,520.2502427021245,475.05064686232254,508.3911289146017,650.1833414412522,639.6990070425795
2023,,506.38804454745014,533.7423030708283,632.3585312445234,657.1177434652614,944.5391038093999,947.2168113104999,660.2552622148328,664.4295894245097,655.2044054659796,446.55282350002426,495.5035646789929,636.2128168748095,701.2313427855875,667.4627098056503,644.3507082155793,618.7071901680815,643.5501833657258,600.5332373317283,620.5579270373983,662.7477622823262,485.49767755895255,477.5299858979979,526.7581063356961,685.0614398616785,686.5572710861329
2024,,520.9021339957485,539.6906354929474,657.3706590454422,661.4549348701617,908.3208902062556,939.4401592928084,698.8050081632696,673.1657512719262,685.8489616148349,416.247919422472,491.85134059843404,664.2925766518765,665.76070065559,661.555838422606,654.1538234505492,640.7289642712644,670.5859854853384,599.5188892430647,667.8754350532381,636.96225682773,486.7149122609735,518.4690464638297,513.0171903839623,641.050517093639,709.6818113954118
2025,,526.9458399545474,543.700613973419,642.42110609558,707.1198079153587,926.6903274591641,958.6632097037236,640.8863833408054,674.5919153222253,667.2459093598559,417.6188968907504,437.7213234406536,701.2450454713212,664.4134540042487,640.3759285909564,678.0545840843502,672.334009892802,659.3922776069503,617.224218093223,654.9360712609796,670.2093872605151,504.7139012652674,508.3877716202892,520.787952398096,653.5832712282281,705.2234687037476
2026,,513.7179872469401,555.5981004673536,628.7418945664372,648.8396732727383,895.3106867852689,965.0558703027159,677.8466145942725,699.3368040312221,695.6181070937891,442.9954203242705,469.4306918260286,668.0482476039178,646.3423445274943,679.3214124764595,693.1189969588663,628.5631758885324,658.4512846068778,590.9252496003642,647.1963990556283,664.223162533694,491.7549848940821,480.3890014067042,511.8605979808235,616.7079307335675,640.3702576666724
2027,,551.3475409491962,558.3125738108574,654.9732423330929,639.8697715356325,940.7701985597832,968.428003184401,670.6601377276029,667.6378044632161,680.4699901212593,446.56325941162095,466.8667749080837,679.8323683706835,651.3790686397783,664.284146038442,662.660354987172,600.813741210568,693.3604449115642,592.5389009055575,624.0129689306336,662.3161016834893,489.13756179201437,486.47765765302165,534.2155632482932,691.1449239226827,705.2146357046076
2028,,519.0051773287701,528.5823017320649,645.5432654509691,627.2881582687314,918.7050887229511,971.0948791900169,630.3655700284617,684.1360989537079,681.5963463115145,393.0160926225958,469.4106233396801,671.3504748720429,625.7566131316021,607.1581836513237,722.288196289247,609.8081466027343,646.0056171252377,596.2613962952241,607.3683478589337,704.0832324035559,494.37671940180144,528.3715371914332,523.5736312951572,651.8189723871451,707.9311157737607
2029,,517.611551185018,562.9884260767399,656.9789098894757,614.4782205244478,872.4035440395401,1015.2901154826418,661.2301517441992,683.797649012196,699.7390859962738,430.82592140310635,463.23208381282484,655.736320973132,664.0297977061837,617.9020627144255,645.7726436437115,635.0785704005734,667.1134649634823,583.4973042014917,614.3563172154986,606.9401877498494,467.9735051205639,527.5432726150011,523.0560104742249,645.4497474085315,669.2657646369494
2030,,532.8855659243254,560.1675926589596,636.7904115333895,646.619975628601,880.8460290167186,932.1178547958352,666.5354072967543,655.2446603772873,669.913737220932,431.33299584632414,450.05924640207695,643.5737105541812,674.4430718957624,647.6902751416042,644.4365241097439,627.3406860420123,673.3103776678786,587.709093554216,644.1162315746988,648.436090806792,531.9441365324556,451.8913120000793,516.0031004612592,668.1256330457691,671.5262234959414
2031,,522.2732457655038,528.1679076794608,667.301707727218,657.921595424345,899.1332928148404,995.8344521249983,649.3381779805641,712.2898470188379,696.6046923882263,451.3142460481031,437.0305916639063,690.0229725447116,619.9354170573279,668.1123003120633,666.6445216472694,662.0940642416604,678.1756968139616,581.0322580457573,613.5565589943803,695.7287267636566,505.10532225374845,509.87689375543187,520.034177881204,685.4236522434312,653.0231115614624
2032,,500.51670104195,539.7311476509581,588.55046627095,675.5266829367615,923.0914985904951,901.1833574092288,674.7080026013282,697.5378517974473,669.0840700639187,430.2729972350503,438.53073288254564,655.7131808103973,641.0572360026617,660.2074811905463,624.1182322260361,637.1437146148182,625.4357668523357,596.6539435237123,646.4888752412608,642.7083600926762,485.13088073136396,540.3593889162098,541.7231211006642,670.2797433884712,640.3917640280833
2033,,524.6780031676021,542.3735239031598,683.8862670256544,658.1648130995891,894.8063708388122,960.3647482295928,647.1992205037282,662.0726676080212,691.1110873573766,409.61925565104366,485.3117772290111,634.1115433591735,685.0915250130311,681.3303633155433,624.7739754269828,646.5984097278329,661.7846936222127,632.3839823406829,608.5049797409533,639.4552368825739,524.0839407385515,478.9504060867707,509.04021039627014,675.4237915556291,723.0853521776262
2034,,547.0554766405676,525.2191844447575,613.8857733565474,667.40265538015,930.3120939126943,928.7339507890179,691.098045942133,681.808217576181,671.7082543162501,434.91671821262617,458.62257204147136,656.0628993644509,684.9898326159018,643.3817067571049,676.9182385221302,625.5011482916493,709.1227765188446,679.9258380603428,616.7931842436956,615.8471170835742,493.66796969056713,517.4472879135396,522.0605836765972,665.9766367409252,649.1962008493306
2035,,492.36343181468465,527.34252699217,645.5793848756698,670.2154957322255,896.4722685334505,979.7851921107599,672.4439861877404,646.5122887001176,653.7220340790627,439.89099502280214,445.10115808728233,682.0220042273941,675.074441356177,663.9566953515655,643.9118826734534,681.9830256837099,718.4406459975094,621.6567345080698,614.4314214807814,653.6098471315231,516.8484418709018,516.3877871320183,526.9162292264832,705.9584220785723,694.3902924567337
