year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
1991,0.0,-313.6877093950987,84.74979289797321,380.3195935580138,-400.55822159103104,73.63459728901692,568.652822405473,-333.7405640406557,131.29997054180106,549.9672585575452
1992,,-303.25142156003903,139.24451344468204,458.0287255245051,-406.23301856401184,89.5337287978889,517.6391632497337,-360.5650596659418,139.77530547064023,468.63936509760055
1993,,-226.47944821017572,130.17108213175104,407.6789585609356,-268.4678939511824,83.68768347839054,356.54304889756344,-319.5150520477871,141.79394382905286,493.51107660799573
1994,,-286.5643331900137,38.613499063163324,315.8779506787588,-568.950671961225,34.31080353903386,442.9209494814035,-540.9937247137883,65.79328031142552,391.40178384167024
1995,,-321.67538588892796,48.05222820514619,490.13008107946973,-445.45489956944283,21.07324200132149,391.06814107157095,-483.75413115261745,78.96445698874781,508.27491300422884
1996,,-362.19895851039325,25.58347211530832,326.54366192769066,-424.8838880020798,25.424627536714656,565.3017413615918,-414.6111329931009,92.7654265608381,552.9007704627218
1997,,-245.5660649223735,160.20086124280093,400.7306613225802,-421.9396156688354,98.16156892971762,476.8429868509288,-438.837473926523,169.10722838651077,541.557114616257
1998,,-364.8725953986365,15.991753083533249,301.56617359388605,-465.0886858172428,11.108847382800997,417.88829412964526,-513.1399408776152,56.581548617979834,407.17312995118414
1999,,-295.0936908393522,107.55069536766571,519.2557031402575,-351.14749091517155,139.99159631335425,433.59623935229047,-431.0845082454359,159.38581590735345,473.13240552263915
2000,,-260.56992776915183,43.71625613331934,288.0937377995434,-306.308415833279,48.43338599076943,468.43765434747985,-283.03708930947073,104.44494399112331,502.47102450893317
2001,,-389.7852802736149,73.23857051125623,318.90684446671037,-441.4996384896731,79.41204859854044,438.18392448050133,-456.5253272960206,121.20067402041998,392.1271421445114
2002,,-374.10254739334556,7.656326396646093,357.0669306823018,-400.75422965829586,74.47086110597657,605.5489558909304,-427.9504715448345,86.88921148086304,600.8564608840328
2003,,-326.5137398547176,51.42198688996905,279.8870166742054,-513.0489476480411,18.897463507503506,347.4266762540819,-519.0921842169892,64.61902700563417,403.5253593262521
2004,,-240.48167917404427,75.45529007509847,374.0713331603735,-276.9634688243601,78.08127479004263,536.1187747575328,-314.71172422236714,115.63680441668326,489.5515224987777
2005,,-422.36397159269643,62.537993358107194,438.7564956826481,-429.5496768957709,66.8006814828409,409.5579413575252,-444.1049095676267,127.82689793793168,467.3485288002565
2006,,-216.91248755342798,75.76625978042931,294.3887160368132,-238.4737675502903,86.74602100336435,352.0298429406673,-320.7309317103636,144.03212529462795,472.8745491920489
2007,,-242.14168986624975,36.536892923181355,262.54757439009103,-333.2298386867547,52.873782117388124,316.5311898425405,-271.4432803822299,132.86634399009057,599.1944578626059
2008,,-175.89822451032833,147.02255472976864,558.7708591327935,-365.73199624716256,76.85792510129889,460.9655591733116,-467.9880324417502,131.89182881399438,521.8346612593263
2009,,-280.8750959015891,39.45145848591844,333.00870673391506,-389.6705162317116,66.38450376885132,490.33993532700924,-540.8602795725956,125.01557597895317,439.0781315100583
2010,,-289.2418413805311,69.2821536972647,409.60671878092154,-422.7586767491474,37.22168061014948,295.39432241729725,-323.6750784943363,120.03733218293826,406.15710544191506
2011,,-301.9523007091473,35.13415781530882,430.8406277791267,-297.67181106863814,101.21840578605743,498.1654940965105,-357.844828558724,86.70648333022349,428.09439700971507
2012,,-248.0989681425549,58.23649902147778,344.855899218764,-333.15674931846536,10.119759824683285,325.9238031058533,-388.7157530232423,114.15022075867962,467.35358730327357
2013,,-222.94274829637058,91.10088802910519,463.55060684779295,-286.96724139039367,78.82445729920481,436.2508739290604,-364.87238683772773,93.372159397067,393.7813737961344
2014,,-205.8748008499083,62.77387145728585,317.38208468986915,-370.47956883112096,45.26640096145652,355.2119082672545,-233.31726801634818,161.50037942091512,445.42295094025354
2015,,-238.69374298573015,87.53548842727767,458.8243449851574,-239.62441984067783,55.56695661101945,563.0402601051063,-364.78207365435946,140.49673257420014,493.38907506560844
2016,,-271.2525636033286,101.86134136913059,413.64969994092576,-313.68906479792304,113.12213332873338,402.5138692035345,-320.1284044865728,63.74022733430369,382.8697486634795
2017,,-291.7946633641975,68.94889644164627,371.2251222710965,-348.97993915398536,44.528860459978794,575.6459230079118,-266.48431230921574,127.7457640912987,425.0339947873109
2018,,-322.20756234773745,-3.3952984499732812,319.1772382174746,-397.2375221208251,76.44636307068687,435.8955937402785,-396.2049974173799,90.28290912778833,388.22671500199385
2019,,-327.0119532169984,32.05377126304292,337.74152504348547,-361.76646317240835,13.744349870122198,455.5075129627975,-348.58868881093827,124.21515148727897,414.446714329719
2020,,-200.14012456268406,149.51829051107705,489.83411641530176,-471.39725242796015,28.989497483001525,464.1697074853353,-386.2748509883297,125.59761240395162,430.4299897502411
2021,,-308.7336735151964,55.28977201306638,452.21957798028063,-364.33498550548626,95.99487664097674,530.5645426363985,-260.73985744743663,141.7600630979688,401.42382920833376
2022,,-307.19510906882,71.35218496378987,383.9311644926172,-444.1507299146265,77.55290197303148,529.6363011835991,-407.97572481431894,95.08431663226168,402.53749082083607
2023,,-165.0645836756062,85.13775908463751,373.8956383032149,-501.91532010661325,31.541288225292117,468.4452539742679,-389.8083890257551,62.58500982490297,435.02595872705365
2024,,-303.30026231690624,-1.6441903575524834,365.80668075416736,-436.68456783950177,66.20640854955263,384.93868939315485,-269.8001975463485,171.21936133363764,520.0053027147076
2025,,-260.0147188758726,66.79191127843015,328.3532279468593,-381.0209138043008,50.85693992751012,391.29967344928326,-518.2255730982916,123.75408827235255,495.09580004219663
2026,,-143.85251431115307,128.78415470931398,368.4671347791157,-400.9683458572635,116.01267442970263,423.8794059755845,-287.96547095429855,152.4563967133297,439.4351331624631
2027,,-330.3848172216316,45.45632392535772,321.88493722497697,-309.3114085706838,82.9571149707514,405.38463542396903,-397.1830600517686,164.1424277013447,646.7121850871615
2028,,-117.35076233459272,134.3166147519706,430.0900443277518,-355.86023847701426,72.50990293561959,385.9103596317358,-380.13742366724546,129.9904055912122,456.2663668789713
