year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,1214.8519866427912,1782.3653435212243,1638.44715722432,1238.9543085911184,1101.4268063208176,977.5560055719396,947.497006454405,1178.1154970302714,991.2888733028009,1079.2975066130223,1060.5996790943555,1137.039199306424,1354.4711774187508,1370.1607138121624,1430.937947175993,1264.4741951511976,1264.801345086257,1031.8980286121437,1007.4727868477985,1084.4863443544966,898.2435760209399,1037.9597121019517,993.4352806163109,1053.2995848457265,1117.5183087019682,1090.6425471091757,1088.5264368869155,1191.8726572731084,1081.3502983912665,1204.6170409818476,1164.5852704336191,1246.012798887926,1090.3390235206741,1200.3949744834572,1281.4949309484978,1131.0363639278592,1152.4225887557557,1365.916109770039,1550.7151529556534,1446.047153235136,1196.2425967869372,1172.490064236253,1186.0606204943708,1058.1425481009037,958.5800848397226,1107.372492403247,1074.9819516834689,1163.756304280407,786.9371239073344,800.8860619303902,1152.1172885596816,1229.8714682345608,1357.1202695895583,1405.719862267243,1201.3566867044326
1992,,509.8786756687839,489.6197585156842,667.4330243785311,692.4809656012864,1301.4007218454751,1292.0016353188666,1309.7744261124235,1169.2458073969544,1241.675935563229,1268.2983537123855,1327.839600988312,904.4222603379538,936.265160365364,991.2965299765325,1386.2348975639945,1378.5953420499454,782.0939839199988,813.8804491031136,832.7584146707021,1172.3796578927386,1284.653668572437,1254.8563075437146,1185.9151823918512,1192.7013134589824,860.5496195425745,816.6109833529531,517.9082628964693,471.26214853163765,1108.6051114116194,1154.876180036147,1162.082891963438,1626.2936280598249,1518.722869161237,1387.5769102259649,1234.0679640067735,1275.0056293869372,1696.0695133552392,1812.2599815861922,1739.5731806301446,1061.492461250028,1065.9697400892405,1037.6012719828848,1627.7972971144507,1434.3583909050085,1507.8305634465994,877.0989156045249,896.5419960368504,877.6254064989465,986.0392520250844,1599.2859278157348,1773.997386199894,1537.0238017294616,1542.357912795983,1141.0710842354401
1993,,965.4050854934139,939.778745016103,940.0402547922002,969.7267186473094,958.323774795352,1014.1104120400483,1301.0934480617632,1144.3255765588472,930.8096106015987,921.1829598324026,896.3872819823051,1060.0608442081677,1120.831575991442,1189.6257528957583,1213.3908899998487,1215.105451306202,1061.0634680154214,1087.819339906349,1118.0085346431886,596.8391654972635,661.4717154688877,644.1670496469642,1301.8705112069315,1385.4360888441122,1120.5766560916331,1090.659369326603,1373.5601686519458,1212.8179180657655,1168.5237431115586,1182.6251696663774,1228.9581762150426,1036.921994118913,979.4195504636141,1619.5491273308287,1465.3554583970763,1472.7715734933681,1120.8767051826192,1094.6717966328613,1042.031845558958,1084.7340734137179,1104.2597695823933,1104.1476611222645,928.8968668240082,837.2666810403289,852.7197289577447,878.7664900142735,879.4593649960249,862.8534183338747,941.7179253089372,1504.6719121489657,1618.5428506062528,1089.996716690719,1092.44147795222,1166.6066558318932
1994,,783.5099631946723,779.5329064452341,1141.8946325208938,1140.477836677864,695.813175899672,743.1116581039154,1254.1725926909041,1120.555043645688,1164.286770997413,1174.3465845417484,1203.4711481223526,1149.640447419494,1192.2930631814481,1186.7142341101815,1243.9741937151343,1201.4218436774593,745.7760749778372,869.3819534022541,816.8172026758294,680.6022343826611,724.0453654571733,719.7194916733847,1193.3211420478808,1272.1884508724895,1099.6999028631174,1052.754677271116,1115.1552554860264,1014.0390435960009,1000.2271553364902,952.0051405425633,1029.5708158324912,1322.5297704472744,1265.8828181205397,992.6832367764893,829.8641498670949,855.8407560486934,999.1477148099185,1059.3355494664345,961.5264178658099,927.4851778407395,926.1054714478536,918.3926088775193,934.7094869407632,818.9177754055855,853.1241521033975,1189.2095615054625,1207.0296807486475,877.4987373109034,912.3839573923489,982.5017678833793,1051.970535813656,897.1978143590986,936.9581436140332,1178.4658377705398
1995,,932.8743357089566,992.2566767013672,534.3074439976394,550.2827714445758,1006.039383091973,1056.8602735643328,1183.6478855284522,1194.4755867564202,821.4530712261236,884.1970694513303,893.0933424573342,1096.2755017411314,1046.4573622958317,1144.1807987787229,1128.9410192909452,1274.4279223318958,1008.3305904835778,1009.5315813655162,1053.5791392578506,1274.592495925774,1432.4677205146247,1239.984929666408,1279.0764949231911,1342.745058239037,1167.82200370678,1148.5446435243864,1017.5374880397466,928.3263743376856,746.8755663205924,762.9118363705494,744.7755324387452,1669.2193529304925,1589.3216879876347,638.8855277599039,537.7590030843866,544.2805690318512,1231.1490053914802,1313.04777706285,1193.2364037198718,941.9152144521987,959.6331572788198,943.4624229680562,798.561076980776,738.4885847174601,776.3116741678124,1281.0579571594424,1287.893915429645,1253.08394293967,1330.660110411068,1014.8496751441626,1119.8537926077734,1182.588246688371,1292.525262887116,1167.4397743123043
1996,,1258.256108123144,1445.5378760580577,729.6703055686991,717.6986166935616,1417.6091981845268,1430.7592537009632,1306.0774822344902,1278.0558004969125,918.1466906542246,887.5993378378126,956.2286107854353,969.7290994156041,969.8130487936338,1017.6052304543709,1077.85066990069,1019.6536233813055,1023.0746154261543,1039.9519978022788,1071.539251972534,738.22526865902,941.9144163300695,915.555840886801,864.9620088151313,915.3087525488214,1086.4410127406995,1089.936701784166,888.2944247368578,819.1827469977616,756.7795196364531,724.7841772121596,819.7899007336356,866.4892076317425,839.7905523580175,1188.381289250513,1102.010505917009,1156.6535690885794,845.2456508716924,880.7601922369303,832.8709372464123,1232.5229998702325,1234.2721085876626,1192.237828643455,1139.7479571413726,1017.6808008164966,1138.4091598819853,937.3953518993311,906.3100245242262,686.2635463913363,746.42137834209,1157.2519978948064,1228.7886094017401,646.0607086127019,708.336832033838,1086.5619260153283
1997,,960.2875188337699,925.3207861516244,1031.4253117042492,989.0644212938678,938.2391331441723,1017.493897120825,1138.5138666233681,1039.2257099117564,1163.6350717181826,1109.1027110507712,1180.3758397050112,1225.7774167834102,1251.59748632027,1379.906209516075,1241.259643048689,1241.6292354286932,1058.9098616443064,1115.71206571918,1084.5979482695352,1358.3989497438442,1427.1993110846904,1325.7019994205555,1276.7186187200746,1303.4109337252619,1269.6275545104475,1274.3639809949689,927.7952645968338,883.5064252691104,1272.7438464901159,1219.003119011333,1361.9919251306735,1075.720935583195,1048.3694463895938,1463.3667905148577,1245.0034893638756,1261.6246272429257,1296.8579746201215,1372.9138903091605,1293.8373553291624,1455.9427106250498,1380.5025066975077,1395.527738990805,768.4519780660161,688.7525827043138,693.8782084747783,899.0958706905158,889.8292043387746,1121.6113097443836,1203.6012687759796,1129.2338749585454,1182.9552639622086,1173.7677473952538,1309.1509394796908,1416.0488977314146
1998,,1321.8555749349625,1374.043843050639,597.8105918449501,588.9735897908432,410.320512377687,420.47029312912315,1228.793721311695,779.3369056164702,1101.5533403132697,980.6815155312488,1141.549664101695,863.5635142531954,866.620384372488,923.7027924837745,1154.3388829851008,1146.0737288348128,860.7617729809308,895.7901504005877,879.2526621455551,969.4489044363758,1163.9391483240242,1029.3886353575065,907.8438718344196,1017.5077451260707,1074.4095733433808,970.6771068945278,1669.028370996905,1646.5100103791708,1153.6658502358503,1135.0414547226096,1181.4630334944907,984.5287522545581,950.2156435125562,1075.8673634941104,965.5154757541186,917.6908424605376,1001.4865798077284,1057.9749620297625,984.4739808699255,1010.1512353907543,1001.7825743281774,1016.8250717988207,784.618405995236,671.1458507875201,763.9114444379123,603.6916758891161,597.5925042431962,777.3139664322389,919.849740303259,1028.6915336831628,1025.1277365328147,1201.8460702958243,1256.1095823677028,1151.3287223169111
1999,,874.0654005612005,858.4091261954846,595.7218088376154,595.2409061092925,896.3555438898416,933.7050764334717,1106.1209721126709,1178.662194404274,791.8129664948879,828.6445685927838,842.9728406892974,920.2714263567432,940.007125433829,955.4759737462356,1345.0102063698685,1413.2023443434655,1079.9906826185359,1229.0039702135257,1138.5494325617067,1502.260332537825,1673.3824268026412,1471.5940723561425,1661.4535013747754,1640.0112802580522,1193.5623722269404,1126.9060086245283,1359.4329199669598,1274.9171549625719,928.2680310471986,983.8693607323149,999.5554951489293,1503.334117288674,1539.779100032589,1217.8118502688114,1099.2460203850476,1089.5835722010368,1645.2945193397138,1694.9604906515858,1664.6998674251838,1058.7858122512516,1091.1543815382545,1036.7264714809605,1344.20909458524,1270.2004712679648,1319.703811347559,938.105431925109,948.8557806298714,1123.6535299971931,1158.5822073970937,888.1164717358114,1037.8279523536746,1454.272269458456,1495.3526570402562,1223.223584393299
2000,,882.2107751437155,875.5024069511164,1208.2676638470311,1228.4036815149573,1175.7194634980397,1209.9526829676427,1138.691457696926,1382.4541712868056,1015.4741750415782,986.9717350047516,1023.715985597731,1257.6220892355548,1245.836936498669,1315.2007304052688,1095.8362970172075,1099.3013654512476,1159.2597734692533,1222.0408529635272,1220.0637689931107,526.3582249362819,533.650005809284,527.3543823780534,1381.0776006826975,1459.917580146097,1318.4112405629846,1269.3407155964428,944.0923826827161,886.190641503738,1211.2152824090022,1197.6865466256993,1250.7202652239023,1025.5953148949354,886.3480159158956,1353.4121782739492,1197.8891863346269,1176.0031829263996,907.6060920111418,976.7032393534423,878.4245331808107,1047.2052125261432,1043.0873923583163,1048.6057407912274,717.844970326911,668.7689432234303,677.3274353996518,1348.313023302035,1349.6255669812808,1114.9502277121803,1311.6809908223297,868.5104667261993,961.6055416887135,593.578952681238,691.058344256512,1157.6130006922167
