year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,0.0,4.427003807311742,4.620407982952507,3.413858755869434,3.6401481879247726,1.9079390352154277,1.997590537572023,2.570958036657828,2.612286470178013,0.505508758405476,2.1985700119227545,3.1966402819211552,3.398527685156836,3.4741797281901157,2.775744347977316,2.8654973823164838,2.7132030320537126,4.302820335492804,4.422546976307302,5.260070273691106,5.34241721744624,5.472291942370106,3.0366586674381537,2.8701435381050544,3.0560018704906895,0.6027000967923115,0.6285642177634543,2.4372039198504964,2.4936114936724607,3.6671320990296508,3.8194007030469947,3.3090733969438375,3.3517157938848072,3.362649189430904,-0.25728818501502104,-0.25987556255460476,2.7989435508413933,2.7398539850940935,2.914945808027369,2.51704807452208,2.4212994143690523,2.4131593098400757,2.604195935671804,2.648239544733485,2.606887698657033,1.2503368796431502,1.3438816494876562,1.2970853830276425,3.067728350495649,3.1465335469006774,0.68993821695409,0.707481890674039,2.094351515539209,2.211888666301128,1.8138701981497434,1.9104082297408596,3.706807486059425
1992,,3.0306711089725766,3.2932848573226394,3.3231863753256263,3.53222517680684,1.445461939006151,1.5773081259532375,3.3448845198122683,3.268861102239221,0.46879279149730024,2.6869723395081664,3.4630641953281653,3.589056515070986,3.7101583916650327,2.852152295165787,2.900593402789376,2.8106771602543503,4.3447571784590195,4.460065696960214,5.210936875922563,5.322887182157224,5.431889100026844,3.2188437267285295,3.0708563515302387,3.258934090392252,0.6475479675014313,0.6756888933572824,2.3884065656270863,2.4833305997109107,3.6647936471042897,3.8403373163650656,3.1667911970583376,3.270844062840105,3.2668886355047206,0.010814560563694897,0.0007096632866350205,2.606065518035308,2.6995320792698294,2.8143936644951353,2.4926744791667304,2.3242431435780873,2.363583041674538,2.5924047323427644,2.640984990786336,2.581146821461907,1.1995950635100385,1.2373805013858146,1.282603830415887,3.031753150974801,3.1013065259402666,0.7895405195401892,0.7119531452058254,2.3060122931493297,2.3246323902705015,2.2370219484094207,2.3165163826441315,4.088635453873003
1993,,3.590837594924956,3.7923136776440387,3.5099645789855956,3.7240701603302213,1.183256259447937,1.3380350245646397,3.3149129798923624,3.253677054487987,0.5003861118821291,2.422338827194231,3.7010722890357286,3.8037591852336092,3.949441086581949,2.6856157016144735,2.719735881230548,2.639631663283204,4.373919990713738,4.492378219534906,5.069363365277894,5.1435350170396035,5.2864149770519475,2.754450377999895,2.5978718389920346,2.8334130570920593,0.8005531627358593,0.8246790091457399,2.4732074086090634,2.5675771145755206,3.7972716051912485,4.019553157998068,3.2365083535948216,3.2719145442318265,3.268236462597514,-0.2987113817466778,-0.2968133390243608,2.080343803092383,2.168000956217405,2.3155293276712356,2.3499701673256084,2.195004452639999,2.27609457829454,2.5269863335596767,2.603225528107373,2.5771249059389802,1.1042600560297373,1.1623262141397745,1.1801741650725504,3.0928730236036373,3.211091411573072,0.49234642306127085,0.5201709916624608,1.8351955510666826,1.8954832326113475,1.8358988985872386,2.0202454305849926,4.082641672770194
1994,,3.5404117289503816,3.7683242764408362,3.8373554634547915,3.9915654489178323,1.6268093256146514,1.724970863655841,2.674349562832134,2.6726164465777416,0.544624591566162,2.2614650350771157,3.8352506496482235,3.983236553174777,4.0713041000017895,2.4737468144246506,2.5280979583600853,2.421229813249255,4.214082116950131,4.329580016671848,4.945357078378045,5.119573079566379,5.241793032432689,2.6765261538431915,2.510840286185328,2.735423143500128,0.7253058663981449,0.7733475064491415,2.466705434024135,2.53169957144393,3.7289409193622802,3.8853576667124017,3.245869217685396,3.319918619373773,3.2840534471486578,-0.2548921719207513,-0.2476821489725367,2.3393364926689983,2.332354130853787,2.5261759933401606,2.3628069993110614,2.237538661451623,2.2792322393269373,2.404319529215506,2.5069911738704818,2.4998971277524262,1.153241388895303,1.2353220372309082,1.1972822386859647,3.126660940231311,3.1983531241918186,0.40959284138576635,0.35362519899132394,1.9341848157073613,2.005167950773888,1.6872057031083827,1.7902899001308512,3.915560718971875
1995,,2.765218383638569,3.092923841781392,3.202216783776059,3.4526254728135726,1.5144745295276323,1.6037686799629896,3.030170675199436,2.9753588963339155,0.4469708920831579,2.271467832243019,3.397389612624657,3.5773700280037914,3.6894262851383743,2.7496975101836583,2.825028534910949,2.7254337566497426,4.1662093348394365,4.318995327187444,5.2218905209058235,5.321206088270856,5.43386193081232,2.8830896290122254,2.74778726572535,2.955304048024395,0.7058483028325568,0.7440398459239645,2.3883575241577617,2.52402360374402,3.4926938854200316,3.6610472278333717,3.2152513895949753,3.270739974905922,3.2475909426614535,-0.1423403409496018,-0.15222441999884495,2.2983412025486203,2.367985589432415,2.486324150050656,2.4073953776599026,2.2628622500625326,2.3151305395673774,2.579222774697193,2.630019693313727,2.560700779187556,0.9978172407371559,1.1106193328189136,1.1101572060781066,2.9034730304038234,3.02666521394638,1.071770464614218,1.020330357660491,1.955160608718451,2.050744002390182,1.6109852170900467,1.708822565923498,3.2294117268810894
1996,,3.6160706820552946,3.7932603122937323,3.0440275972270783,3.2996690895395275,0.9865935932317029,1.1309210917155426,3.4951347076555024,3.3650769015097595,0.41859988208224763,2.494091000909698,2.95144961423275,3.2153169079172628,3.331268206034629,2.878570666448155,2.9829273008582433,2.883420167966598,4.232881180158039,4.376130288319992,5.275922188188382,5.373626194296428,5.509532797129793,2.709981960766889,2.476582214634284,2.791924580613248,0.6644710803447254,0.719606533242235,2.359300139544878,2.481088884745567,3.4637740231866516,3.6340841808580606,3.2809016465250735,3.3518410380631636,3.35096799347059,-0.11771911145491032,-0.157000240935524,2.6508465215255796,2.6846401771302695,2.8117624090883453,2.3820455327841046,2.244213459311048,2.264844231592541,2.670778963689969,2.718828383493552,2.6488913854311917,1.197780165998914,1.3095552272012938,1.2482650205012291,2.8821930486252327,2.974257562506743,0.9614377052564862,1.072651795687733,2.096550243917676,2.117929468024357,0.9625770959695501,1.1657860780481641,3.5532871997042363
1997,,3.415588596152361,3.6728865538992963,3.4908832514516064,3.7567949668850034,1.6408261401033428,1.7368974128618433,3.0741831715205308,3.0442020971568766,0.4144103367079026,2.5125320073654223,3.172544371173494,3.360190760224924,3.444848793900718,2.9327741275595898,3.0257319064206385,2.926067662905325,4.331821292128247,4.454641887926186,4.96111891483406,5.029631540761528,5.196246998686782,3.005893176510547,2.7912691926303737,2.9405899224826726,0.7655111428178429,0.8092479805445976,2.473819926640722,2.560528003013353,3.3436895926140835,3.5028776537751014,3.2169499457372766,3.247323362864428,3.2528493528322926,-0.18736717593399277,-0.19099253016085527,2.4526332160566895,2.5064661259063357,2.6285087901774844,2.253936417392346,2.0986737191534246,2.1559589485621515,2.7438267995057686,2.78857941732889,2.750565332142692,1.0583155645473497,1.1576781266290936,1.1213790143853757,2.8126005859207552,2.8779342668089996,1.1558356309308024,1.113508810382939,1.9792527822556778,2.0561584801521917,1.712284510225068,1.801517122730388,3.868738163167812
1998,,3.2266422939910413,3.4836848296421934,2.931393070726216,3.219727200582078,1.2462840874380348,1.4330986634694156,2.0918851745104874,2.2176007513454934,0.5304591425369338,2.089226952053501,3.018976378449736,3.223437791798254,3.2819586014421134,2.84062925378808,2.881656510723154,2.802649720492532,4.113269913346862,4.23199295712832,4.734032560598884,5.0289089172670245,5.247646572583314,3.1097900307014186,2.930454359916837,3.137911915818286,0.6552270229113617,0.6936663163414991,2.442474560881344,2.5312793579102717,3.3803978217137214,3.562791992048183,3.101533263463409,3.162683681818976,3.165288182924833,-0.09892049543821457,-0.10050177294591123,2.319525492350273,2.3722839963034588,2.534974344610731,2.569833762669731,2.4194776173770904,2.447974545552853,2.4169539122545913,2.495273208716931,2.47447844483537,0.9696560557508676,1.0850393651576908,1.0274292762387915,2.9130610210819086,3.036345679017664,0.871540057010769,0.8531215292177023,1.617826861098571,1.7121617375901792,1.9025635222692117,2.0064756861299315,3.231818143381645
1999,,3.465445551624043,3.6921727320005076,2.9015276155752545,3.1996663286043727,1.5062601558041422,1.6514708003911025,2.3771145944811636,2.4250728081132777,0.4820270771742017,1.8392790763347264,2.9443765151658283,3.2039876866450143,3.3067010431159716,2.1203023217760304,2.219581063187924,2.1077868628655665,4.103942528851036,4.248505198021583,4.649330784499739,4.7928006516549075,4.965413080920904,3.365195404470761,3.2182743062058634,3.37556973991218,0.7032290352600157,0.7187979847808137,2.433145243048223,2.523053216664316,3.5152731051509036,3.6773548075357994,3.1322387929616013,3.197185563308601,3.205341193908872,-0.16627497313348982,-0.18506117492400875,2.4558814574638106,2.459750702182923,2.615322077642425,2.474698291656672,2.3978325100555082,2.415608253374508,2.359095766905483,2.4520385208938578,2.444891726837824,1.168336629327996,1.2058191982808069,1.1827338351594747,2.99433108506571,3.086177527580226,1.3902385305464975,1.3286760199558856,1.7035488688151474,1.787547513500158,2.1806142249259537,2.273550103174472,3.6434187372634312
2000,,3.256564478486723,3.4955411690489697,3.6701616913259514,3.877858493613381,0.9482373494187115,1.1451268102916785,3.1229297599618917,3.0796421946348076,0.5275469951194154,2.275757569195541,3.0475086123670465,3.3008853177284507,3.387197319832147,2.614026053819316,2.6685076965611856,2.576229863415044,4.093797465506867,4.262040479825508,5.0729385239414455,5.240819225990542,5.382762550249488,2.4343785567820078,2.3820919175518114,2.7374004211426097,0.6806167716805973,0.7327275213651419,2.353859080414786,2.4492540758385246,3.4748571176745955,3.6770999860372413,3.376765931708597,3.4163307006000494,3.39372117984027,-0.15950267607106383,-0.17588789890226764,2.360584504149209,2.380399077533035,2.523453568968108,2.4760336766352893,2.30749177836946,2.3423388437768082,2.447685402090684,2.499020342265119,2.4889878216749466,1.0425305712333923,1.1742759714400606,1.1183490711745279,3.1364559861274586,3.178695807191474,0.7814410853278844,0.774691177159184,1.5627021078297858,1.647672360912388,1.329642333844987,1.4947879334889862,3.439373647020595
